row_label,Normal,AAH,AIS,MIA,LUAD
MIF-CD74/CXCR4 (source-side),0.0614584002569869,0.090002537898567,0.1293119442954469,0.1467633943469775,0.2612410858222888
MIF-CD74/CXCR4 (receptor-side),0.0914198522325731,0.0808555871290471,0.1128599097602578,0.1832813861014644,0.1521267169991323
SPP1/TREM2/PLA2G7 (source-side),-0.0663796980404753,0.008575027067515,0.0400566151689098,0.1264205297868945,0.0988910333823138
SPP1/TREM2/PLA2G7 (receptor-side),0.1240636042402826,0.11653495799693,0.1464028378360787,0.1852733828107529,0.2052622760858756
C1Q/APOE/TREM2 (source-side),-0.051060070671378,-0.0029113503994268,0.0168113914584057,0.0952687483575764,0.0466265962436882
C1Q/APOE/TREM2 (receptor-side),0.0860263411500161,0.0813219347395894,0.1159809252091937,0.1743521452014175,0.147195719698583
CXCL9/10-CXCR3 (source-side),-0.020905878573723,0.0049237684589728,0.0286996059699518,0.0689978092406549,0.0407854688482395
CXCL9/10-CXCR3 (receptor-side),0.00804690009637,0.0184449316971515,0.0189278166723795,0.0231964804449558,0.0275870090626385
IL1B/TNF/CXCL8 (source-side),0.065615162222936,0.0259790281599676,0.0210624002562858,0.0108663302685414,0.0606350437220583
IL1B/TNF/CXCL8 (receptor-side),0.1507998715065853,0.1193638280813181,0.1329632197001473,0.1463434497809372,0.1394082637958227
