stage,context,score,n_samples,mean_score,sd_score,total_cells
AAH,all_cells,c1q_macrophage,9,0.4742845325756402,0.19674967061469173,62892
AAH,all_cells,epithelial,9,1.0123320609613407,0.2697904665750272,62892
AAH,all_cells,epithelial_progenitor_like,9,0.489295953991432,0.10667649446476621,62892
AAH,all_cells,inflammatory_macrophage,9,0.24765804389997237,0.13140723789831452,62892
AAH,all_cells,macrophage,9,0.42236760273058216,0.159331377341981,62892
AAH,all_cells,refined_c1q_macrophage,9,0.3011785056432936,0.06032502961758378,62892
AAH,all_cells,refined_epithelial_progenitor_like,9,0.36868376220628213,0.055069979938079175,62892
AAH,all_cells,refined_inflammatory_macrophage,9,0.16712785919671433,0.06294727443548793,62892
AAH,all_cells,refined_spp1_macrophage,9,0.13816748098854892,0.028515225073037186,62892
AAH,all_cells,spp1_macrophage,9,0.5106685183119698,0.16045146290821383,62892
AAH,epithelial,c1q_macrophage,9,0.19633899269622568,0.13374974388538236,21552
AAH,epithelial,epithelial,9,1.9400476170638956,0.2122038551890615,21552
AAH,epithelial,epithelial_progenitor_like,9,1.1848783307656905,0.12688538161994875,21552
AAH,epithelial,inflammatory_macrophage,9,0.2680330540027847,0.13957373834017292,21552
AAH,epithelial,macrophage,9,0.18683852860045982,0.11289166887309804,21552
AAH,epithelial,refined_c1q_macrophage,9,0.2990331354016395,0.03809829821769811,21552
AAH,epithelial,refined_epithelial_progenitor_like,9,0.670620561087997,0.0932178693198844,21552
AAH,epithelial,refined_inflammatory_macrophage,9,0.14849527412273264,0.05884035777043978,21552
AAH,epithelial,refined_spp1_macrophage,9,0.18080514688041027,0.023001699561090216,21552
AAH,epithelial,spp1_macrophage,9,0.5919357778461676,0.11485040600806529,21552
AAH,macrophage,c1q_macrophage,9,2.5102316953222417,0.22314825824083118,7192
AAH,macrophage,epithelial,9,0.5363047576793983,0.22095132352211005,7192
AAH,macrophage,epithelial_progenitor_like,9,0.117130166011463,0.05983756455524235,7192
AAH,macrophage,inflammatory_macrophage,9,0.3399137357054367,0.10078805291752291,7192
AAH,macrophage,macrophage,9,2.1429183926992708,0.17773635862672083,7192
AAH,macrophage,refined_c1q_macrophage,9,0.8715646843968515,0.2398431107246813,7192
AAH,macrophage,refined_epithelial_progenitor_like,9,0.21286746078666108,0.03234989267283271,7192
AAH,macrophage,refined_inflammatory_macrophage,9,0.21957219286950275,0.062399528402203516,7192
AAH,macrophage,refined_spp1_macrophage,9,0.19699118294406837,0.07866537779120088,7192
AAH,macrophage,spp1_macrophage,9,1.2751738600006937,0.25641925505769647,7192
AIS,all_cells,c1q_macrophage,14,0.3907281647606037,0.18019666781122265,146987
AIS,all_cells,epithelial,14,0.9364541516847537,0.23245923122932027,146987
AIS,all_cells,epithelial_progenitor_like,14,0.49690607349282373,0.12534418767276914,146987
AIS,all_cells,inflammatory_macrophage,14,0.21522166571608795,0.05471865278548833,146987
AIS,all_cells,macrophage,14,0.3545494605549563,0.16742281393023148,146987
AIS,all_cells,refined_c1q_macrophage,14,0.2777073999581628,0.0948746816088503,146987
AIS,all_cells,refined_epithelial_progenitor_like,14,0.38078753383743014,0.056514460573627384,146987
AIS,all_cells,refined_inflammatory_macrophage,14,0.16593672685895147,0.03425704305952454,146987
AIS,all_cells,refined_spp1_macrophage,14,0.13621223575151975,0.023178125453481208,146987
AIS,all_cells,spp1_macrophage,14,0.4676849734605087,0.13871466382362602,146987
AIS,epithelial,c1q_macrophage,14,0.1684899003146059,0.10615131942748257,47943
AIS,epithelial,epithelial,14,1.745259894027246,0.30724590425807197,47943
AIS,epithelial,epithelial_progenitor_like,14,1.1482700447420804,0.15430190957692355,47943
AIS,epithelial,inflammatory_macrophage,14,0.25345406315307145,0.07417249178500844,47943
AIS,epithelial,macrophage,14,0.16034488239155584,0.10560536373050367,47943
AIS,epithelial,refined_c1q_macrophage,14,0.28023097949720976,0.06647855220524701,47943
AIS,epithelial,refined_epithelial_progenitor_like,14,0.6845065107882611,0.06646356229639658,47943
AIS,epithelial,refined_inflammatory_macrophage,14,0.15898661049575563,0.03624584925679552,47943
AIS,epithelial,refined_spp1_macrophage,14,0.17531857825867334,0.017399292150172132,47943
AIS,epithelial,spp1_macrophage,14,0.5469964826539659,0.10307347316697069,47943
AIS,macrophage,c1q_macrophage,14,2.2371637777567006,0.515909748479637,17712
AIS,macrophage,epithelial,14,0.49931211342340526,0.19183808628037555,17712
AIS,macrophage,epithelial_progenitor_like,14,0.12644080860034368,0.06206577504039032,17712
AIS,macrophage,inflammatory_macrophage,14,0.34778861739885053,0.10529534028378126,17712
AIS,macrophage,macrophage,14,1.9300785920182104,0.40797132496310445,17712
AIS,macrophage,refined_c1q_macrophage,14,0.7890920448212693,0.32462700574411185,17712
AIS,macrophage,refined_epithelial_progenitor_like,14,0.20357290679823462,0.035581598127550816,17712
AIS,macrophage,refined_inflammatory_macrophage,14,0.22747528036769232,0.0685264577196775,17712
AIS,macrophage,refined_spp1_macrophage,14,0.21260767720104706,0.07285439195363878,17712
AIS,macrophage,spp1_macrophage,14,1.253203069688423,0.32634784799929945,17712
LUAD,all_cells,c1q_macrophage,24,0.46539567441560514,0.24434178704674384,378480
LUAD,all_cells,epithelial,24,0.8216574651330721,0.32290801428028554,378480
LUAD,all_cells,epithelial_progenitor_like,24,0.5795615999703166,0.216248855883394,378480
LUAD,all_cells,inflammatory_macrophage,24,0.20906933256501667,0.07554545336509158,378480
LUAD,all_cells,macrophage,24,0.41271131249014587,0.20041483310172772,378480
LUAD,all_cells,refined_c1q_macrophage,24,0.27358523663041684,0.08856294569542715,378480
LUAD,all_cells,refined_epithelial_progenitor_like,24,0.3948656666057179,0.11771122296582794,378480
LUAD,all_cells,refined_inflammatory_macrophage,24,0.18650284756780688,0.0437471829156755,378480
LUAD,all_cells,refined_spp1_macrophage,24,0.14007283910026985,0.03918337335191891,378480
LUAD,all_cells,spp1_macrophage,24,0.5082523742482604,0.16253093668432403,378480
LUAD,epithelial,c1q_macrophage,24,0.22224305998363836,0.13571689492166394,101812
LUAD,epithelial,epithelial,24,1.7859145525155464,0.28010231364426685,101812
LUAD,epithelial,epithelial_progenitor_like,24,1.4774653541962655,0.22223753540923813,101812
LUAD,epithelial,inflammatory_macrophage,24,0.2652875893510184,0.08286806888481955,101812
LUAD,epithelial,macrophage,24,0.21076464511876025,0.11295249533677798,101812
LUAD,epithelial,refined_c1q_macrophage,24,0.3251689885781807,0.06815235239949774,101812
LUAD,epithelial,refined_epithelial_progenitor_like,24,0.8332964808313215,0.08743754271352025,101812
LUAD,epithelial,refined_inflammatory_macrophage,24,0.17864178277524326,0.0381335954479562,101812
LUAD,epithelial,refined_spp1_macrophage,24,0.2042804600695945,0.033589588491628665,101812
LUAD,epithelial,spp1_macrophage,24,0.6360517542066071,0.1037356467511042,101812
LUAD,macrophage,c1q_macrophage,24,2.4891686370206845,0.4469286716867578,39111
LUAD,macrophage,epithelial,24,0.4440282502887604,0.18800854553089455,39111
LUAD,macrophage,epithelial_progenitor_like,24,0.20992184148040235,0.09065439894094414,39111
