observed_fraction,null_mean,null_sd,enrichment_delta,empirical_p_greater,empirical_p_less,n_permutations,radius,sample,sample_name,stage,source,target,quantile,radius_multiplier,n_spots,n_source_high,n_target_high,n_overlap_high,overlap_fraction_of_source,target_to_source_fraction
0.40234375,0.543798828125,0.018327034030027417,-0.14145507812500002,1.0,0.001996007984031936,500,200.0,GSM5702473,GSM5702473_TD1,IAC,epithelial_progenitor_like,spp1_macrophage,0.75,1.0,4095,1024,1024,157,0.1533203125,0.3203125
0.208984375,0.543251953125,0.01778828060487932,-0.33426757812499996,1.0,0.001996007984031936,500,200.0,GSM5702473,GSM5702473_TD1,IAC,epithelial_progenitor_like,c1q_macrophage,0.75,1.0,4095,1024,1024,53,0.0517578125,0.1826171875
0.5380859375,0.54438671875,0.016896914484004502,-0.006300781249999998,0.6327345309381237,0.3872255489021956,500,200.0,GSM5702473,GSM5702473_TD1,IAC,epithelial_progenitor_like,inflammatory_macrophage,0.75,1.0,4095,1024,1024,233,0.2275390625,0.4443359375
0.412109375,0.54487890625,0.01775957539732926,-0.13276953125000002,1.0,0.001996007984031936,500,200.0,GSM5702473,GSM5702473_TD1,IAC,epithelial_progenitor_like,resident_macrophage,0.75,1.0,4095,1024,1024,162,0.158203125,0.3134765625
0.6096014492753623,0.5956340579710145,0.015519630679219226,0.013967391304347765,0.2215568862275449,0.7964071856287425,500,200.0,GSM5702474,GSM5702474_TD2,IAC,epithelial_progenitor_like,spp1_macrophage,0.75,1.0,4416,1104,1104,341,0.3088768115942029,0.5833333333333334
0.5181159420289855,0.5986086956521739,0.015537257946549763,-0.08049275362318842,1.0,0.001996007984031936,500,200.0,GSM5702474,GSM5702474_TD2,IAC,epithelial_progenitor_like,c1q_macrophage,0.75,1.0,4416,1104,1104,219,0.1983695652173913,0.5027173913043478
0.5552536231884058,0.5979945652173912,0.015254619567599988,-0.042740942028985485,1.0,0.001996007984031936,500,200.0,GSM5702474,GSM5702474_TD2,IAC,epithelial_progenitor_like,inflammatory_macrophage,0.75,1.0,4416,1104,1104,288,0.2608695652173913,0.5226449275362319
0.6005434782608695,0.5979800724637683,0.01498003588285263,0.002563405797101237,0.43912175648702595,0.5868263473053892,500,200.0,GSM5702474,GSM5702474_TD2,IAC,epithelial_progenitor_like,resident_macrophage,0.75,1.0,4416,1104,1104,282,0.2554347826086957,0.5452898550724637
0.5964912280701754,0.5228070175438597,0.02952827927852879,0.07368421052631569,0.007984031936127744,0.9940119760479041,500,200.0,GSM5702475,GSM5702475_TD3,MIA,epithelial_progenitor_like,spp1_macrophage,0.75,1.0,1140,285,285,104,0.3649122807017544,0.6070175438596491
0.41403508771929826,0.5229052631578948,0.029530622063210263,-0.1088701754385965,1.0,0.001996007984031936,500,200.0,GSM5702475,GSM5702475_TD3,MIA,epithelial_progenitor_like,c1q_macrophage,0.75,1.0,1140,285,285,69,0.24210526315789474,0.47368421052631576
0.5403508771929825,0.523438596491228,0.031123610409901678,0.016912280701754434,0.313373253493014,0.7265469061876247,500,200.0,GSM5702475,GSM5702475_TD3,MIA,epithelial_progenitor_like,inflammatory_macrophage,0.75,1.0,1140,285,285,75,0.2631578947368421,0.519298245614035
0.5754385964912281,0.5264350877192983,0.03032729161935732,0.04900350877192983,0.05788423153692615,0.9500998003992016,500,200.0,GSM5702475,GSM5702475_TD3,MIA,epithelial_progenitor_like,resident_macrophage,0.75,1.0,1140,285,285,83,0.2912280701754386,0.512280701754386
0.2776470588235294,0.5644329411764707,0.026069489901712668,-0.2867858823529413,1.0,0.001996007984031936,500,200.0024999843752,GSM5702476,GSM5702476_TD5,AIS,epithelial_progenitor_like,spp1_macrophage,0.75,1.0,1700,425,425,51,0.12,0.28
0.4894117647058824,0.5651952941176471,0.02577827132402296,-0.07578352941176475,0.998003992015968,0.007984031936127744,500,200.0024999843752,GSM5702476,GSM5702476_TD5,AIS,epithelial_progenitor_like,c1q_macrophage,0.75,1.0,1700,425,425,78,0.18352941176470589,0.44
0.4423529411764706,0.5648470588235295,0.023242432392966448,-0.12249411764705886,1.0,0.001996007984031936,500,200.0024999843752,GSM5702476,GSM5702476_TD5,AIS,epithelial_progenitor_like,inflammatory_macrophage,0.75,1.0,1700,425,425,78,0.18352941176470589,0.36705882352941177
0.5364705882352941,0.5652894117647058,0.027548173526187027,-0.028818823529411675,0.8702594810379242,0.15768463073852296,500,200.0024999843752,GSM5702476,GSM5702476_TD5,AIS,epithelial_progenitor_like,resident_macrophage,0.75,1.0,1700,425,425,96,0.22588235294117648,0.4541176470588235
0.6186094069529653,0.5765112474437627,0.01631305554804464,0.04209815950920259,0.003992015968063872,0.998003992015968,500,200.0,GSM5702477,GSM5702477_TD6,MIA,epithelial_progenitor_like,spp1_macrophage,0.75,1.0,3911,978,978,318,0.32515337423312884,0.5521472392638037
0.4274028629856851,0.5781738241308795,0.016750720753181094,-0.1507709611451944,1.0,0.001996007984031936,500,200.0,GSM5702477,GSM5702477_TD6,MIA,epithelial_progenitor_like,c1q_macrophage,0.75,1.0,3911,978,978,148,0.15132924335378323,0.4120654396728016
0.6421267893660532,0.5777157464212678,0.016709834701229317,0.06441104294478539,0.001996007984031936,1.0,500,200.0,GSM5702477,GSM5702477_TD6,MIA,epithelial_progenitor_like,inflammatory_macrophage,0.75,1.0,3911,978,978,296,0.30265848670756645,0.5695296523517382
0.48568507157464214,0.5777321063394684,0.01674814490555479,-0.09204703476482623,1.0,0.001996007984031936,500,200.0,GSM5702477,GSM5702477_TD6,MIA,epithelial_progenitor_like,resident_macrophage,0.75,1.0,3911,978,978,161,0.16462167689161555,0.4723926380368098
0.5659090909090909,0.5671227272727273,0.024514873951676616,-0.0012136363636363612,0.5409181636726547,0.4870259481037924,500,200.0024999843752,GSM5702478,GSM5702478_TD8,AIS,epithelial_progenitor_like,spp1_macrophage,0.75,1.0,1760,440,440,129,0.29318181818181815,0.4659090909090909
0.2818181818181818,0.5659318181818181,0.025097927995459724,-0.28411363636363635,1.0,0.001996007984031936,500,200.0024999843752,GSM5702478,GSM5702478_TD8,AIS,epithelial_progenitor_like,c1q_macrophage,0.75,1.0,1760,440,440,40,0.09090909090909091,0.2545454545454545
0.5386363636363637,0.56505,0.026084193101640302,-0.02641363636363636,0.8522954091816367,0.16766467065868262,500,200.0024999843752,GSM5702478,GSM5702478_TD8,AIS,epithelial_progenitor_like,inflammatory_macrophage,0.75,1.0,1760,440,440,113,0.25681818181818183,0.4636363636363636
0.42045454545454547,0.5670818181818181,0.025367435140299665,-0.14662727272727266,1.0,0.001996007984031936,500,200.0024999843752,GSM5702478,GSM5702478_TD8,AIS,epithelial_progenitor_like,resident_macrophage,0.75,1.0,1760,440,440,69,0.15681818181818183,0.34545454545454546
