stage,n_samples,total_cells,mean_total_counts,median_total_counts,epithelial_progenitor_score_mean,proliferation_emt_score_mean,macrophage_niche_score_mean,ligand_receptor_axes_score_mean
AIS,3,38107,3928.255368180388,2366.0,0.4183525475264321,1.0381984645934355,0.481993908933356,0.3526523772090328
MIA,3,33413,5819.25104649144,3006.0,0.22677142354505817,0.9287755287375332,0.4083937297495212,0.3914507124891185
IAC,3,50853,3858.8462801502315,2311.0,0.331763985608484,0.8739341011920172,0.3415966932690407,0.3113569234917474
