sample,sample_name,stage,macrophage_state,n_cells,denominator,fraction
GSM5019481,GSM5019481_CXL-A,Adjacent,ambiguous_macrophage,38,547,0.06946983546617916
GSM5019481,GSM5019481_CXL-A,Adjacent,c1q_macrophage,249,547,0.45521023765996343
GSM5019481,GSM5019481_CXL-A,Adjacent,inflammatory_macrophage,242,547,0.4424131627056673
GSM5019481,GSM5019481_CXL-A,Adjacent,other_macrophage,4,547,0.007312614259597806
GSM5019481,GSM5019481_CXL-A,Adjacent,resident_macrophage,4,547,0.007312614259597806
GSM5019481,GSM5019481_CXL-A,Adjacent,spp1_macrophage,10,547,0.018281535648994516
GSM5019482,GSM5019482_CXL-T,Tumor,ambiguous_macrophage,27,485,0.05567010309278351
GSM5019482,GSM5019482_CXL-T,Tumor,c1q_macrophage,218,485,0.44948453608247424
GSM5019482,GSM5019482_CXL-T,Tumor,inflammatory_macrophage,194,485,0.4
GSM5019482,GSM5019482_CXL-T,Tumor,other_macrophage,13,485,0.026804123711340205
GSM5019482,GSM5019482_CXL-T,Tumor,resident_macrophage,3,485,0.006185567010309278
GSM5019482,GSM5019482_CXL-T,Tumor,spp1_macrophage,30,485,0.061855670103092786
GSM5019483,GSM5019483_CZX-A,Adjacent,ambiguous_macrophage,37,819,0.045177045177045176
GSM5019483,GSM5019483_CZX-A,Adjacent,c1q_macrophage,322,819,0.39316239316239315
GSM5019483,GSM5019483_CZX-A,Adjacent,inflammatory_macrophage,417,819,0.5091575091575091
GSM5019483,GSM5019483_CZX-A,Adjacent,other_macrophage,4,819,0.004884004884004884
GSM5019483,GSM5019483_CZX-A,Adjacent,resident_macrophage,7,819,0.008547008547008548
GSM5019483,GSM5019483_CZX-A,Adjacent,spp1_macrophage,32,819,0.03907203907203907
GSM5019484,GSM5019484_CZX-T,Tumor,ambiguous_macrophage,35,917,0.03816793893129771
GSM5019484,GSM5019484_CZX-T,Tumor,c1q_macrophage,269,917,0.29334787350054525
GSM5019484,GSM5019484_CZX-T,Tumor,inflammatory_macrophage,553,917,0.6030534351145038
GSM5019484,GSM5019484_CZX-T,Tumor,other_macrophage,2,917,0.0021810250817884407
GSM5019484,GSM5019484_CZX-T,Tumor,resident_macrophage,1,917,0.0010905125408942203
GSM5019484,GSM5019484_CZX-T,Tumor,spp1_macrophage,57,917,0.062159214830970554
GSM5019485,GSM5019485_HJY-A,Adjacent,ambiguous_macrophage,78,753,0.10358565737051793
GSM5019485,GSM5019485_HJY-A,Adjacent,c1q_macrophage,414,753,0.549800796812749
GSM5019485,GSM5019485_HJY-A,Adjacent,inflammatory_macrophage,199,753,0.2642762284196547
GSM5019485,GSM5019485_HJY-A,Adjacent,other_macrophage,12,753,0.01593625498007968
GSM5019485,GSM5019485_HJY-A,Adjacent,resident_macrophage,15,753,0.0199203187250996
GSM5019485,GSM5019485_HJY-A,Adjacent,spp1_macrophage,35,753,0.04648074369189907
GSM5019486,GSM5019486_HJY-T,Tumor,ambiguous_macrophage,35,313,0.11182108626198083
GSM5019486,GSM5019486_HJY-T,Tumor,c1q_macrophage,124,313,0.3961661341853035
GSM5019486,GSM5019486_HJY-T,Tumor,inflammatory_macrophage,112,313,0.35782747603833864
GSM5019486,GSM5019486_HJY-T,Tumor,other_macrophage,15,313,0.04792332268370607
GSM5019486,GSM5019486_HJY-T,Tumor,resident_macrophage,3,313,0.009584664536741214
GSM5019486,GSM5019486_HJY-T,Tumor,spp1_macrophage,24,313,0.07667731629392971
GSM5019487,GSM5019487_HYS-A,Adjacent,ambiguous_macrophage,60,1567,0.03828972559029994
GSM5019487,GSM5019487_HYS-A,Adjacent,c1q_macrophage,1239,1567,0.7906828334396937
GSM5019487,GSM5019487_HYS-A,Adjacent,inflammatory_macrophage,222,1567,0.14167198468410977
GSM5019487,GSM5019487_HYS-A,Adjacent,other_macrophage,2,1567,0.0012763241863433313
GSM5019487,GSM5019487_HYS-A,Adjacent,resident_macrophage,5,1567,0.003190810465858328
GSM5019487,GSM5019487_HYS-A,Adjacent,spp1_macrophage,39,1567,0.02488832163369496
GSM5019488,GSM5019488_HYS-T,Tumor,ambiguous_macrophage,61,835,0.07305389221556886
GSM5019488,GSM5019488_HYS-T,Tumor,c1q_macrophage,598,835,0.7161676646706587
GSM5019488,GSM5019488_HYS-T,Tumor,inflammatory_macrophage,98,835,0.11736526946107785
GSM5019488,GSM5019488_HYS-T,Tumor,other_macrophage,6,835,0.00718562874251497
GSM5019488,GSM5019488_HYS-T,Tumor,resident_macrophage,23,835,0.027544910179640718
GSM5019488,GSM5019488_HYS-T,Tumor,spp1_macrophage,49,835,0.058682634730538925
GSM5019489,GSM5019489_HYY-A1,Adjacent,ambiguous_macrophage,102,1556,0.06555269922879177
GSM5019489,GSM5019489_HYY-A1,Adjacent,c1q_macrophage,1213,1556,0.7795629820051414
GSM5019489,GSM5019489_HYY-A1,Adjacent,inflammatory_macrophage,158,1556,0.10154241645244216
GSM5019489,GSM5019489_HYY-A1,Adjacent,other_macrophage,11,1556,0.007069408740359897
GSM5019489,GSM5019489_HYY-A1,Adjacent,resident_macrophage,12,1556,0.007712082262210797
GSM5019489,GSM5019489_HYY-A1,Adjacent,spp1_macrophage,60,1556,0.038560411311053984
GSM5019490,GSM5019490_HYY-A2,Adjacent,ambiguous_macrophage,104,1382,0.07525325615050651
GSM5019490,GSM5019490_HYY-A2,Adjacent,c1q_macrophage,1129,1382,0.816931982633864
GSM5019490,GSM5019490_HYY-A2,Adjacent,inflammatory_macrophage,78,1382,0.056439942112879886
GSM5019490,GSM5019490_HYY-A2,Adjacent,other_macrophage,5,1382,0.00361794500723589
