contrast,gene,group_sum,background_sum,group_detected,background_detected,n_group,n_background,mean_group,mean_background,pct_group,pct_background,log2fc,delta_pct,marker_score
epithelial_progenitor_like_vs_other_epithelial,KRT7,13570,30432,1427,5666,1840,11006,7.375,2.7650372524077778,0.7755434782608696,0.5148101035798656,1.4153438056870575,0.260733374681004,0.3690273667906417
epithelial_progenitor_like_vs_other_epithelial,TACSTD2,18566,50685,1757,7267,1840,11006,10.090217391304348,4.60521533708886,0.9548913043478261,0.660276212974741,1.13161656444625,0.29461509137308506,0.3333913175336285
epithelial_progenitor_like_vs_other_epithelial,CLDN3,6400,15445,1233,4603,1840,11006,3.4782608695652173,1.4033254588406323,0.6701086956521739,0.4182264219516627,1.30951588836535,0.2518822737005112,0.3298438394084091
epithelial_progenitor_like_vs_other_epithelial,KRT19,20194,50051,1769,7795,1840,11006,10.975,4.547610394330365,0.9614130434782608,0.7082500454297656,1.2710401887892901,0.2531629980484953,0.3217803448340221
epithelial_progenitor_like_vs_other_epithelial,KRT8,14041,37574,1764,7630,1840,11006,7.630978260869565,3.413956023986916,0.9586956521739131,0.6932582227875704,1.1604233083424143,0.2654374293863426,0.30801977996640567
epithelial_progenitor_like_vs_other_epithelial,CLDN4,15715,44146,1754,7777,1840,11006,8.540760869565217,4.011084862802108,0.9532608695652174,0.7066145738687989,1.0903719203086641,0.2466462956964185,0.2689361950755224
epithelial_progenitor_like_vs_other_epithelial,GDF15,10517,27270,1260,5164,1840,11006,5.715760869565218,2.4777394148646192,0.6847826086956522,0.4691986189351263,1.2059207632973792,0.2155839897605259,0.25997720948670777
epithelial_progenitor_like_vs_other_epithelial,TNFRSF12A,3017,7659,862,2850,1840,11006,1.6396739130434783,0.6958931491913501,0.46847826086956523,0.25894966381973467,1.2364700271157034,0.20952859704983057,0.25907583007571927
epithelial_progenitor_like_vs_other_epithelial,ANXA3,2643,6097,739,2368,1840,11006,1.436413043478261,0.5539705615119026,0.4016304347826087,0.21515536979829183,1.3745878414644201,0.18647506498431685,0.2563263570637296
epithelial_progenitor_like_vs_other_epithelial,CLDN7,4865,13939,1262,4905,1840,11006,2.6440217391304346,1.2664910049064146,0.6858695652173913,0.4456660003634381,1.0618966147147284,0.24020356485395317,0.25507135236082257
epithelial_progenitor_like_vs_other_epithelial,CRIP2,2733,7158,810,2569,1840,11006,1.4853260869565217,0.6503725240777758,0.44021739130434784,0.2334181355624205,1.191440231532197,0.20679925574192734,0.24638895314184794
epithelial_progenitor_like_vs_other_epithelial,EPCAM,6777,21796,1534,6251,1840,11006,3.6831521739130433,1.980374341268399,0.8336956521739131,0.5679629293112848,0.8951675061278781,0.2657327228626283,0.23787529882150954
epithelial_progenitor_like_vs_other_epithelial,CD24,7426,21144,1000,3664,1840,11006,4.035869565217391,1.921133926948937,0.5434782608695652,0.3329093221878975,1.0709210591063505,0.2105689386816677,0.22550271082787177
