sample,sample_name,stage,epithelial_state,n_cells,denominator,fraction
GSM5699777,GSM5699777_TD1,IAC,at2_mature_like,458,2064,0.22189922480620156
GSM5699777,GSM5699777_TD1,IAC,other_epithelial,796,2064,0.3856589147286822
GSM5699777,GSM5699777_TD1,IAC,progenitor_like,294,2064,0.14244186046511628
GSM5699777,GSM5699777_TD1,IAC,proliferating_epithelial,516,2064,0.25
GSM5699778,GSM5699778_TD2,IAC,at2_mature_like,177,936,0.1891025641025641
GSM5699778,GSM5699778_TD2,IAC,other_epithelial,462,936,0.4935897435897436
GSM5699778,GSM5699778_TD2,IAC,progenitor_like,123,936,0.13141025641025642
GSM5699778,GSM5699778_TD2,IAC,proliferating_epithelial,174,936,0.1858974358974359
GSM5699779,GSM5699779_TD3,MIA,at2_mature_like,98,605,0.16198347107438016
GSM5699779,GSM5699779_TD3,MIA,other_epithelial,264,605,0.43636363636363634
GSM5699779,GSM5699779_TD3,MIA,progenitor_like,98,605,0.16198347107438016
GSM5699779,GSM5699779_TD3,MIA,proliferating_epithelial,145,605,0.2396694214876033
GSM5699780,GSM5699780_TD4,MIA,at2_mature_like,61,343,0.17784256559766765
GSM5699780,GSM5699780_TD4,MIA,other_epithelial,146,343,0.42565597667638483
GSM5699780,GSM5699780_TD4,MIA,progenitor_like,50,343,0.1457725947521866
GSM5699780,GSM5699780_TD4,MIA,proliferating_epithelial,86,343,0.25072886297376096
GSM5699781,GSM5699781_TD5,AIS,at2_mature_like,269,1318,0.20409711684370258
GSM5699781,GSM5699781_TD5,AIS,other_epithelial,655,1318,0.4969650986342944
GSM5699781,GSM5699781_TD5,AIS,progenitor_like,180,1318,0.13657056145675264
GSM5699781,GSM5699781_TD5,AIS,proliferating_epithelial,214,1318,0.16236722306525037
GSM5699782,GSM5699782_TD6,MIA,at2_mature_like,217,1110,0.1954954954954955
GSM5699782,GSM5699782_TD6,MIA,other_epithelial,438,1110,0.3945945945945946
GSM5699782,GSM5699782_TD6,MIA,progenitor_like,177,1110,0.15945945945945947
GSM5699782,GSM5699782_TD6,MIA,proliferating_epithelial,278,1110,0.25045045045045045
GSM5699783,GSM5699783_TD7,AIS,at2_mature_like,180,816,0.22058823529411764
GSM5699783,GSM5699783_TD7,AIS,other_epithelial,415,816,0.508578431372549
GSM5699783,GSM5699783_TD7,AIS,progenitor_like,139,816,0.17034313725490197
GSM5699783,GSM5699783_TD7,AIS,proliferating_epithelial,82,816,0.10049019607843138
GSM5699784,GSM5699784_TD8,AIS,at2_mature_like,147,763,0.1926605504587156
GSM5699784,GSM5699784_TD8,AIS,other_epithelial,298,763,0.3905635648754915
GSM5699784,GSM5699784_TD8,AIS,progenitor_like,127,763,0.16644823066841416
GSM5699784,GSM5699784_TD8,AIS,proliferating_epithelial,191,763,0.2503276539973788
GSM5699785,GSM5699785_TD9,IAC,at2_mature_like,890,4891,0.18196687793907176
GSM5699785,GSM5699785_TD9,IAC,other_epithelial,2126,4891,0.4346759353915355
GSM5699785,GSM5699785_TD9,IAC,progenitor_like,652,4891,0.13330607237783684
GSM5699785,GSM5699785_TD9,IAC,proliferating_epithelial,1223,4891,0.2500511142915559
