gene,mean_expression,n_reference_samples
AGR3,0.011155580183854822,5
AGRN,0.02719436378626471,5
AGRP,0.0004948727951664524,5
AGT,0.003912523112675462,5
AGTPBP1,0.013039609219084616,5
AGTR1,0.0007358792098214705,5
AGTR2,0.0013244527798298845,5
AGTRAP,0.007669385722610155,5
AGXT,6.830680290802779e-05,5
AGXT2,9.061852129052205e-05,5
AHCTF1,0.0014267929082637512,5
AHCY,0.014487919484791487,5
AHCYL1,0.016017646921044508,5
AHCYL2,0.01885507031154538,5
AHDC1,0.005368971685130946,5
AHI1,0.004746635460574793,5
AHNAK,0.10631670247988616,5
AHNAK2,0.0028161825387450095,5
AHR,0.044390441698054096,5
AHRR,0.000736695063759104,5
AHSA1,0.022937146930238506,5
AHSG,0.00010560373483299694,5
AHSP,0.00012280753757249542,5
AICDA,0.00023516500909286949,5
AIDA,0.005526206075980757,5
AIF1,0.011287909705949225,5
AIF1L,0.0028733614822940767,5
AIFM1,0.006296418893035595,5
AIFM2,0.0027751636658370714,5
AIFM3,0.000938806409983956,5
AIG1,0.0091402826836578,5
AIM2,0.0019829521824417996,5
AIMP1,0.015957184286081897,5
AIMP2,0.005385900688484618,5
AIP,0.010809259975502762,5
AIPL1,0.00021220660231287123,5
AIRE,0.0001658267603928255,5
AJAP1,0.0006266311095318874,5
AJM1,0.0008378094193430073,5
AJUBA,0.004274074333189861,5
AK1,0.020402645722678754,5
AK4,0.015950828283753403,5
AK5,0.00027343291369739335,5
AK6,0.0034161587052372626,5
AK7,0.0032852867603779825,5
AK8,0.0012071939409526963,5
AK9,0.005064851065887943,5
AKAIN1,0.00014127259215688967,5
AKAP1,0.024743283440603316,5
AKAP10,0.00826270332799347,5
AKAP11,0.02150396621953926,5
AKAP12,0.011359961797693927,5
AKAP13,0.02587061083864946,5
AKAP14,0.0010702589382328084,5
AKAP17A,0.011342156926032422,5
AKAP3,0.00037108500515076334,5
AKAP4,0.00014193073604107622,5
AKAP5,0.001118465293913436,5
AKAP6,0.0029414874228720013,5
AKAP7,0.012216870004616192,5
AKAP8,0.004774984276658261,5
AKAP8L,0.016712094080869877,5
AKAP9,0.031008132161950024,5
AKIP1,0.005737424004432811,5
AKIRIN1,0.009732094906650017,5
AKIRIN2,0.009535282332333583,5
AKNA,0.02245349852822196,5
AKR1A1,0.021279701208586417,5
AKR1B1,0.01503835560157434,5
AKR1B10,0.0034822171515698818,5
AKR1B15,4.5050313280943726e-05,5
AKR1C2,0.00044538997944475005,5
AKR1C3,0.0032918589565780814,5
AKR1C4,4.6144313931281806e-05,5
AKR1C8P,0.00030991564509348077,5
AKR1D1,9.501228938367885e-05,5
AKR1E2,0.0023471819371873597,5
AKR7A2,0.005726122049349052,5
AKT1,0.031034836406923606,5
AKT1S1,0.006299653147875892,5
AKT2,0.011000887226771349,5
AKT3,0.01285346612324742,5
AKTIP,0.008859732759233295,5
AL032819.3,0.0002998799237360298,5
AL109810.2,0.00015695711401793205,5
AL121578.2,9.57507809917701e-05,5
AL135905.2,0.0003556600309266705,5
AL160269.1,0.0006681679314003959,5
AL162231.1,0.0004147307006314979,5
AL162596.1,0.00013319794944611807,5
AL353572.3,0.00010702625642928568,5
AL354761.1,9.87021700761571e-05,5
AL391650.1,0.00014359855920348456,5
AL445238.1,0.00014721989667224598,5
AL451007.3,0.000268603639752221,5
AL590560.2,6.870262475307903e-05,5
AL603764.2,0.0001235064238423972,5
AL772284.2,0.00015398500213033875,5
AL845331.2,0.00020006669000646022,5
ALAD,0.0058944087121776765,5
ALAS1,0.009968224370401258,5
ALAS2,0.00012840834745888566,5
ALB,0.0002328501686328733,5
ALCAM,0.034671891913226956,5
ALDH16A1,0.005377838136173297,5
ALDH18A1,0.010287830154412815,5
ALDH1A1,0.033238165612322755,5
ALDH1A2,0.0012378476064337353,5
ALDH1A3,0.00213467704611773,5
ALDH1B1,0.0033907618770053598,5
ALDH1L1,0.0004363267633320461,5
ALDH1L2,0.0010716326210704244,5
ALDH2,0.03948775272024117,5
ALDH3A1,0.001293970130109413,5
ALDH3A2,0.020144449047807243,5
ALDH3B1,0.011511486412426029,5
ALDH3B2,0.00027827130710942954,5
ALDH4A1,0.0018723957040346166,5
ALDH5A1,0.00658757301103105,5
ALDH6A1,0.007414920497754639,5
ALDH7A1,0.003382428370043616,5
ALDH8A1,0.0004139515402425884,5
ALDH9A1,0.017345345989714767,5
ALDOB,0.002697845431589894,5
ALDOC,0.003702089267540522,5
ALG1,0.003220756218760708,5
ALG11,0.003277079740699064,5
ALG12,0.005501396088872878,5
ALG13,0.016004699032978485,5
ALG14,0.004735000483349409,5
ALG1L,0.0006714878355909054,5
ALG2,0.009387264816584926,5
ALG3,0.005699976846202863,5
ALG5,0.015333803711636996,5
ALG6,0.007027421761745779,5
ALG8,0.005160226256628918,5
ALG9,0.0038219246745675194,5
ALK,0.00015004269008398404,5
ALKAL1,0.000992811972186434,5
ALKAL2,0.001498081758955779,5
ALKBH1,0.0023826231852156305,5
ALKBH2,0.0023917979951528284,5
ALKBH3,0.003175184117702121,5
ALKBH4,0.002374800868992839,5
ALKBH5,0.015562961751819699,5
ALKBH6,0.005564541827702786,5
ALKBH7,0.010383487253945124,5
ALKBH8,0.0007622609144275706,5
ALLC,6.806656916966792e-05,5
ALMS1,0.007951413801252414,5
ALOX12,8.726955937632184e-05,5
ALOX12B,9.71736515410104e-05,5
ALOX15,0.0013833238070706934,5
ALOX15B,0.004582576812579045,5
ALOX5,0.020872971222721907,5
ALOX5AP,0.008272008015851645,5
ALOXE3,0.0001294619195770763,5
ALPG,0.00046631810231575235,5
ALPI,0.00029015166955891644,5
ALPK1,0.005156002825173303,5
ALPK2,0.0001612062363225673,5
ALPK3,0.003974196431182712,5
ALPL,0.011170484155329475,5
ALPP,0.0006626419629228065,5
ALS2,0.007609639825382609,5
ALS2CL,0.009018499058756747,5
ALX1,0.0002436262698943291,5
ALX3,0.00011752311936249018,5
ALX4,0.0002749372895320534,5
ALYREF,0.002641995571936743,5
AMACR,0.006428572274740181,5
AMBN,0.00012747530997417615,5
AMBP,0.0006959377492485529,5
AMBRA1,0.006097267342562465,5
AMD1,0.009952305935339875,5
AMDHD1,0.0003503016383111557,5
AMDHD2,0.0061508352454630825,5
AMELX,0.00014051530583254822,5
AMELY,0.0,5
AMER1,0.0016389193304607468,5
AMER2,0.0002130906020749267,5
AMER3,0.00015180619185501833,5
AMFR,0.015473866937985387,5
AMH,0.0012031470287082729,5
AMHR2,0.00012147054262653977,5
AMIGO1,0.0014162902623103837,5
AMIGO2,0.005660252138108819,5
AMMECR1,0.0027062983622710922,5
AMMECR1L,0.003986282510142606,5
AMN,0.006868232439815311,5
AMN1,0.03889753521092574,5
AMOT,0.0017138644337891316,5
