sample,sample_name,stage,context,gene,n_cells,mean_expression,detection_fraction,status
GSM9237902,P3_AIS,AIS,macrophage,SPP1,493,0.5067310301625904,0.16024340770791076,present
GSM9237902,P3_AIS,AIS,macrophage,TREM2,493,0.23719282241721346,0.12981744421906694,present
GSM9237902,P3_AIS,AIS,macrophage,PLA2G7,493,0.9319467847760304,0.39148073022312374,present
GSM9237902,P3_AIS,AIS,macrophage,IL1B,493,0.3192879720773581,0.10344827586206896,present
GSM9237902,P3_AIS,AIS,macrophage,TNF,493,0.040254294673464544,0.02434077079107505,present
GSM9237902,P3_AIS,AIS,macrophage,CXCL8,493,0.9023728175364301,0.25963488843813387,present
GSM9237903,P3_LUAD,LUAD,all_cells,MIF,3877,0.0230717688718574,0.014186226463760639,present
GSM9237903,P3_LUAD,LUAD,all_cells,CD74,3877,0.7908707341387206,0.2961052360072221,present
GSM9237903,P3_LUAD,LUAD,all_cells,CD44,3877,1.4134615913826971,0.4841372194996131,present
GSM9237903,P3_LUAD,LUAD,all_cells,CXCR4,3877,0.5008602441167253,0.1771988651018829,present
GSM9237903,P3_LUAD,LUAD,all_cells,SPP1,3877,0.07596413079407305,0.025793139025019344,present
GSM9237903,P3_LUAD,LUAD,all_cells,TREM2,3877,0.04387611173718716,0.02476141346401857,present
GSM9237903,P3_LUAD,LUAD,all_cells,PLA2G7,3877,0.10707596631026997,0.0474593758060356,present
GSM9237903,P3_LUAD,LUAD,all_cells,IL1B,3877,0.12296832296289635,0.03817384575702863,present
GSM9237903,P3_LUAD,LUAD,all_cells,TNF,3877,0.024930748375464606,0.011091049780758318,present
GSM9237903,P3_LUAD,LUAD,all_cells,CXCL8,3877,0.261972509438741,0.08614908434356461,present
GSM9237903,P3_LUAD,LUAD,epithelial,MIF,1021,0.037416606718700486,0.030362389813907934,present
GSM9237903,P3_LUAD,LUAD,epithelial,CD74,1021,0.6778675038478555,0.3232125367286974,present
GSM9237903,P3_LUAD,LUAD,epithelial,CD44,1021,1.2556066607278857,0.49167482859941236,present
