sample,sample_name,stage,context,gene,n_cells,mean_expression,detection_fraction,status
GSM9237920,P8_LUAD,LUAD,epithelial,PLA2G7,4890,0.007576180618715001,0.007361963190184049,present
GSM9237920,P8_LUAD,LUAD,epithelial,IL1B,4890,0.008391625938441,0.006543967280163599,present
GSM9237920,P8_LUAD,LUAD,epithelial,TNF,4890,0.001732339050305061,0.0016359918200408998,present
GSM9237920,P8_LUAD,LUAD,epithelial,CXCL8,4890,0.10410924293377555,0.05787321063394683,present
GSM9237920,P8_LUAD,LUAD,macrophage,MIF,755,0.20123476298928608,0.10596026490066225,present
GSM9237920,P8_LUAD,LUAD,macrophage,CD74,755,4.346912743053793,0.9549668874172186,present
GSM9237920,P8_LUAD,LUAD,macrophage,CD44,755,1.393888110764489,0.5152317880794702,present
GSM9237920,P8_LUAD,LUAD,macrophage,CXCR4,755,0.8896655681979917,0.3509933774834437,present
GSM9237920,P8_LUAD,LUAD,macrophage,SPP1,755,1.248485029073844,0.31920529801324504,present
GSM9237920,P8_LUAD,LUAD,macrophage,TREM2,755,0.5884378860566472,0.24635761589403973,present
GSM9237920,P8_LUAD,LUAD,macrophage,PLA2G7,755,0.29980802773064,0.13509933774834437,present
GSM9237920,P8_LUAD,LUAD,macrophage,IL1B,755,0.14688503233029784,0.06490066225165562,present
GSM9237920,P8_LUAD,LUAD,macrophage,TNF,755,0.03666680000787841,0.017218543046357615,present
GSM9237920,P8_LUAD,LUAD,macrophage,CXCL8,755,0.12974997465686375,0.052980132450331126,present
GSM9237921,P9_Normal,Normal,all_cells,MIF,3000,0.20742025884232737,0.129,present
GSM9237921,P9_Normal,Normal,all_cells,CD74,3000,1.8424237547127116,0.595,present
GSM9237921,P9_Normal,Normal,all_cells,CD44,3000,1.097515662797077,0.428,present
GSM9237921,P9_Normal,Normal,all_cells,CXCR4,3000,0.38736814642850964,0.14266666666666666,present
GSM9237921,P9_Normal,Normal,all_cells,SPP1,3000,0.00891089399075535,0.004333333333333333,present
GSM9237921,P9_Normal,Normal,all_cells,TREM2,3000,0.038644109984731646,0.02033333333333333,present
GSM9237921,P9_Normal,Normal,all_cells,PLA2G7,3000,0.03363464575971792,0.015333333333333332,present
GSM9237921,P9_Normal,Normal,all_cells,IL1B,3000,0.03924535010980968,0.021,present
GSM9237921,P9_Normal,Normal,all_cells,TNF,3000,0.05350088002747554,0.03,present
GSM9237921,P9_Normal,Normal,all_cells,CXCL8,3000,0.08401152603333306,0.03766666666666667,present
GSM9237921,P9_Normal,Normal,epithelial,MIF,919,0.27055531252128606,0.191512513601741,present
GSM9237921,P9_Normal,Normal,epithelial,CD74,919,1.969867931326457,0.675734494015234,present
GSM9237921,P9_Normal,Normal,epithelial,CD44,919,1.280158961810575,0.4940152339499456,present
GSM9237921,P9_Normal,Normal,epithelial,CXCR4,919,0.10371297670184934,0.05005440696409141,present
GSM9237921,P9_Normal,Normal,epithelial,SPP1,919,0.000982178473489731,0.001088139281828074,present
GSM9237921,P9_Normal,Normal,epithelial,TREM2,919,0.004171545144763213,0.003264417845484222,present
GSM9237921,P9_Normal,Normal,epithelial,PLA2G7,919,0.009136291589082952,0.003264417845484222,present
GSM9237921,P9_Normal,Normal,epithelial,IL1B,919,0.007488806421853716,0.003264417845484222,present
GSM9237921,P9_Normal,Normal,epithelial,TNF,919,0.0065042187117644685,0.003264417845484222,present
GSM9237921,P9_Normal,Normal,epithelial,CXCL8,919,0.13625613556404667,0.06746463547334058,present
GSM9237921,P9_Normal,Normal,macrophage,MIF,199,0.2585247478780971,0.21608040201005024,present
GSM9237921,P9_Normal,Normal,macrophage,CD74,199,4.241435409594036,0.9547738693467337,present
GSM9237921,P9_Normal,Normal,macrophage,CD44,199,1.879091648944395,0.7236180904522613,present
GSM9237921,P9_Normal,Normal,macrophage,CXCR4,199,0.45023431761735644,0.24623115577889448,present
GSM9237921,P9_Normal,Normal,macrophage,SPP1,199,0.11400074128550816,0.05025125628140704,present
GSM9237921,P9_Normal,Normal,macrophage,TREM2,199,0.4428948290578459,0.23618090452261306,present
GSM9237921,P9_Normal,Normal,macrophage,PLA2G7,199,0.36824621798376117,0.16080402010050251,present
GSM9237921,P9_Normal,Normal,macrophage,IL1B,199,0.3190093368177041,0.21105527638190955,present
GSM9237921,P9_Normal,Normal,macrophage,TNF,199,0.2568569878387518,0.20100502512562815,present
GSM9237921,P9_Normal,Normal,macrophage,CXCL8,199,0.22007851812120927,0.10050251256281408,present
GSM9237922,P9_AAH,AAH,all_cells,MIF,1730,0.17176647174545284,0.11271676300578035,present
GSM9237922,P9_AAH,AAH,all_cells,CD74,1730,1.8033112414896315,0.5497109826589596,present
GSM9237922,P9_AAH,AAH,all_cells,CD44,1730,1.0162935248190341,0.3988439306358382,present
GSM9237922,P9_AAH,AAH,all_cells,CXCR4,1730,0.27769980178645587,0.10867052023121387,present
GSM9237922,P9_AAH,AAH,all_cells,SPP1,1730,0.007784712895208417,0.0023121387283236996,present
GSM9237922,P9_AAH,AAH,all_cells,TREM2,1730,0.05560607501044315,0.03526011560693642,present
GSM9237922,P9_AAH,AAH,all_cells,PLA2G7,1730,0.015854445901630373,0.008092485549132947,present
GSM9237922,P9_AAH,AAH,all_cells,IL1B,1730,0.03759013613018565,0.023699421965317918,present
GSM9237922,P9_AAH,AAH,all_cells,TNF,1730,0.07395307551849502,0.03930635838150289,present
GSM9237922,P9_AAH,AAH,all_cells,CXCL8,1730,0.038561238132163014,0.021965317919075144,present
GSM9237922,P9_AAH,AAH,epithelial,MIF,452,0.23054126449209236,0.16371681415929204,present
GSM9237922,P9_AAH,AAH,epithelial,CD74,452,2.082784155768109,0.7035398230088495,present
GSM9237922,P9_AAH,AAH,epithelial,CD44,452,1.5811545244245524,0.6216814159292036,present
GSM9237922,P9_AAH,AAH,epithelial,CXCR4,452,0.049270908000918164,0.022123893805309734,present
GSM9237922,P9_AAH,AAH,epithelial,SPP1,452,0.0,0.0,present
GSM9237922,P9_AAH,AAH,epithelial,TREM2,452,0.008911799317441895,0.00663716814159292,present
GSM9237922,P9_AAH,AAH,epithelial,PLA2G7,452,0.002823644818994783,0.0022123893805309734,present
GSM9237922,P9_AAH,AAH,epithelial,IL1B,452,0.0019512378713880322,0.0022123893805309734,present
GSM9237922,P9_AAH,AAH,epithelial,TNF,452,0.006123702725466343,0.0022123893805309734,present
GSM9237922,P9_AAH,AAH,epithelial,CXCL8,452,0.007017076883762851,0.0022123893805309734,present
GSM9237922,P9_AAH,AAH,macrophage,MIF,138,0.2832349016903155,0.30434782608695654,present
GSM9237922,P9_AAH,AAH,macrophage,CD74,138,4.524196457458525,0.9565217391304348,present
GSM9237922,P9_AAH,AAH,macrophage,CD44,138,1.6695123099837246,0.6666666666666666,present
GSM9237922,P9_AAH,AAH,macrophage,CXCR4,138,0.3531145763449805,0.2246376811594203,present
GSM9237922,P9_AAH,AAH,macrophage,SPP1,138,0.07733807164837656,0.021739130434782608,present
GSM9237922,P9_AAH,AAH,macrophage,TREM2,138,0.620393713088618,0.38405797101449274,present
GSM9237922,P9_AAH,AAH,macrophage,PLA2G7,138,0.17187484330938074,0.08695652173913043,present
GSM9237922,P9_AAH,AAH,macrophage,IL1B,138,0.23747449491054412,0.1956521739130435,present
GSM9237922,P9_AAH,AAH,macrophage,TNF,138,0.18564072119941455,0.18115942028985507,present
GSM9237922,P9_AAH,AAH,macrophage,CXCL8,138,0.3687170000190207,0.2246376811594203,present
GSM9237923,P9_AIS,AIS,all_cells,MIF,5986,0.19050053848271656,0.11677246909455397,present
GSM9237923,P9_AIS,AIS,all_cells,CD74,5986,1.834388718714216,0.580688272636151,present
GSM9237923,P9_AIS,AIS,all_cells,CD44,5986,1.0985192250809004,0.43451386568660205,present
GSM9237923,P9_AIS,AIS,all_cells,CXCR4,5986,0.29479617934146574,0.11560307383895757,present
GSM9237923,P9_AIS,AIS,all_cells,SPP1,5986,0.06114513710868997,0.021383227530905446,present
GSM9237923,P9_AIS,AIS,all_cells,TREM2,5986,0.06836726474661112,0.029903107250250586,present
GSM9237923,P9_AIS,AIS,all_cells,PLA2G7,5986,0.053559285576071335,0.02505846976277982,present
GSM9237923,P9_AIS,AIS,all_cells,IL1B,5986,0.03491999625789436,0.017206815903775475,present
GSM9237923,P9_AIS,AIS,all_cells,TNF,5986,0.05419744135721835,0.028065486134313398,present
GSM9237923,P9_AIS,AIS,all_cells,CXCL8,5986,0.059595891236536545,0.02522552622786502,present
GSM9237923,P9_AIS,AIS,epithelial,MIF,1845,0.24625722369632472,0.16802168021680217,present
GSM9237923,P9_AIS,AIS,epithelial,CD74,1845,2.0986123443027926,0.6883468834688347,present
GSM9237923,P9_AIS,AIS,epithelial,CD44,1845,1.426742225953839,0.564769647696477,present
GSM9237923,P9_AIS,AIS,epithelial,CXCR4,1845,0.12613746594471162,0.054742547425474256,present
GSM9237923,P9_AIS,AIS,epithelial,SPP1,1845,0.011855300190242425,0.007588075880758808,present
GSM9237923,P9_AIS,AIS,epithelial,TREM2,1845,0.004078992316720809,0.0027100271002710027,present
GSM9237923,P9_AIS,AIS,epithelial,PLA2G7,1845,0.004406116204647525,0.003794037940379404,present
GSM9237923,P9_AIS,AIS,epithelial,IL1B,1845,0.009533995381118848,0.004878048780487805,present
GSM9237923,P9_AIS,AIS,epithelial,TNF,1845,0.011032525526822356,0.005420054200542005,present
GSM9237923,P9_AIS,AIS,epithelial,CXCL8,1845,0.09571163017853825,0.04390243902439024,present
GSM9237923,P9_AIS,AIS,macrophage,MIF,413,0.20973990432805162,0.1549636803874092,present
GSM9237923,P9_AIS,AIS,macrophage,CD74,413,4.195924046707693,0.9515738498789347,present
GSM9237923,P9_AIS,AIS,macrophage,CD44,413,1.572325341082189,0.6101694915254238,present
GSM9237923,P9_AIS,AIS,macrophage,CXCR4,413,0.48779305234703796,0.2324455205811138,present
GSM9237923,P9_AIS,AIS,macrophage,SPP1,413,0.7187955036730065,0.22760290556900725,present
GSM9237923,P9_AIS,AIS,macrophage,TREM2,413,0.9054608271994444,0.38256658595641646,present
GSM9237923,P9_AIS,AIS,macrophage,PLA2G7,413,0.6711338982041879,0.3026634382566586,present
GSM9237923,P9_AIS,AIS,macrophage,IL1B,413,0.22292352571618493,0.11864406779661017,present
GSM9237923,P9_AIS,AIS,macrophage,TNF,413,0.1685177105295553,0.11138014527845036,present
GSM9237923,P9_AIS,AIS,macrophage,CXCL8,413,0.18566351522050523,0.0774818401937046,present
GSM9237924,P9_LUAD,LUAD,all_cells,MIF,9231,0.2548503487749092,0.14147979633842486,present
GSM9237924,P9_LUAD,LUAD,all_cells,CD74,9231,2.736451959350349,0.7562560935976601,present
GSM9237924,P9_LUAD,LUAD,all_cells,CD44,9231,1.2599969015797454,0.4755714440472322,present
GSM9237924,P9_LUAD,LUAD,all_cells,CXCR4,9231,0.8241769282487633,0.2702849095439281,present
GSM9237924,P9_LUAD,LUAD,all_cells,SPP1,9231,0.052782056304693833,0.022532770014082982,present
GSM9237924,P9_LUAD,LUAD,all_cells,TREM2,9231,0.06785839731300183,0.03174087314483805,present
GSM9237924,P9_LUAD,LUAD,all_cells,PLA2G7,9231,0.050043103984429814,0.023399415014624635,present
GSM9237924,P9_LUAD,LUAD,all_cells,IL1B,9231,0.03233771557084567,0.016249593760155997,present
GSM9237924,P9_LUAD,LUAD,all_cells,TNF,9231,0.017053379722149868,0.009641425631025892,present
GSM9237924,P9_LUAD,LUAD,all_cells,CXCL8,9231,0.2894076108430078,0.11645542194778463,present
GSM9237924,P9_LUAD,LUAD,epithelial,MIF,2681,0.3605152955962945,0.226781051846326,present
GSM9237924,P9_LUAD,LUAD,epithelial,CD74,2681,3.003051294554869,0.8362551286833271,present
GSM9237924,P9_LUAD,LUAD,epithelial,CD44,2681,1.4444809877964968,0.5788884744498322,present
GSM9237924,P9_LUAD,LUAD,epithelial,CXCR4,2681,0.3201891935591145,0.12831033196568445,present
GSM9237924,P9_LUAD,LUAD,epithelial,SPP1,2681,0.02674774650151851,0.017903767251025736,present
GSM9237924,P9_LUAD,LUAD,epithelial,TREM2,2681,0.012550985050895464,0.00969787392763894,present
GSM9237924,P9_LUAD,LUAD,epithelial,PLA2G7,2681,0.00564866246267507,0.004102946661693398,present
GSM9237924,P9_LUAD,LUAD,epithelial,IL1B,2681,0.013753831798770271,0.007832898172323759,present
GSM9237924,P9_LUAD,LUAD,epithelial,TNF,2681,0.007012685848856573,0.005221932114882507,present
GSM9237924,P9_LUAD,LUAD,epithelial,CXCL8,2681,0.3999817341270981,0.1782916822081313,present
GSM9237924,P9_LUAD,LUAD,macrophage,MIF,839,0.22322344018282492,0.15256257449344457,present
GSM9237924,P9_LUAD,LUAD,macrophage,CD74,839,4.325847989288295,0.929678188319428,present
GSM9237924,P9_LUAD,LUAD,macrophage,CD44,839,1.5673491529908519,0.5923718712753278,present
GSM9237924,P9_LUAD,LUAD,macrophage,CXCR4,839,0.6399289860715014,0.2729439809296782,present
GSM9237924,P9_LUAD,LUAD,macrophage,SPP1,839,0.2888598439121798,0.10250297973778308,present
GSM9237924,P9_LUAD,LUAD,macrophage,TREM2,839,0.6031665390446316,0.26817640047675806,present
GSM9237924,P9_LUAD,LUAD,macrophage,PLA2G7,839,0.427535954927111,0.19308700834326578,present
GSM9237924,P9_LUAD,LUAD,macrophage,IL1B,839,0.17719062481925688,0.09535160905840286,present
GSM9237924,P9_LUAD,LUAD,macrophage,TNF,839,0.0630603605285149,0.04767580452920143,present
GSM9237924,P9_LUAD,LUAD,macrophage,CXCL8,839,0.28549032232644134,0.13468414779499405,present
GSM9237925,P10_Normal,Normal,all_cells,MIF,2067,0.1565894362991108,0.09240445089501693,present
GSM9237925,P10_Normal,Normal,all_cells,CD74,2067,1.7712921545988478,0.5370101596516691,present
GSM9237925,P10_Normal,Normal,all_cells,CD44,2067,1.4992452572196275,0.5191098209966134,present
GSM9237925,P10_Normal,Normal,all_cells,CXCR4,2067,0.32126992408239535,0.10595065312046444,present
GSM9237925,P10_Normal,Normal,all_cells,SPP1,2067,0.015590903632901445,0.005805515239477504,present
GSM9237925,P10_Normal,Normal,all_cells,TREM2,2067,0.0625880690739171,0.03289791969037252,present
GSM9237925,P10_Normal,Normal,all_cells,PLA2G7,2067,0.016716656270092018,0.00822447992259313,present
GSM9237925,P10_Normal,Normal,all_cells,IL1B,2067,0.10452557405137002,0.036768263183357526,present
GSM9237925,P10_Normal,Normal,all_cells,TNF,2067,0.026962604296594847,0.01741654571843251,present
GSM9237925,P10_Normal,Normal,all_cells,CXCL8,2067,0.19366487601450702,0.07498790517658442,present
GSM9237925,P10_Normal,Normal,epithelial,MIF,815,0.1901478447308288,0.11901840490797547,present
GSM9237925,P10_Normal,Normal,epithelial,CD74,815,1.7970485006886208,0.6073619631901841,present
GSM9237925,P10_Normal,Normal,epithelial,CD44,815,1.444078017701565,0.5435582822085889,present
GSM9237925,P10_Normal,Normal,epithelial,CXCR4,815,0.09005442107367939,0.04049079754601227,present
GSM9237925,P10_Normal,Normal,epithelial,SPP1,815,0.0029866910219471655,0.00245398773006135,present
GSM9237925,P10_Normal,Normal,epithelial,TREM2,815,0.010500455601716108,0.0049079754601227,present
GSM9237925,P10_Normal,Normal,epithelial,PLA2G7,815,0.003206343269443043,0.001226993865030675,present
GSM9237925,P10_Normal,Normal,epithelial,IL1B,815,0.019513979497601728,0.007361963190184049,present
GSM9237925,P10_Normal,Normal,epithelial,TNF,815,0.0022478965269928687,0.001226993865030675,present
GSM9237925,P10_Normal,Normal,epithelial,CXCL8,815,0.22265101095392137,0.08834355828220859,present
GSM9237925,P10_Normal,Normal,macrophage,MIF,168,0.2257371283625217,0.17857142857142858,present
GSM9237925,P10_Normal,Normal,macrophage,CD74,168,4.697801582516498,0.9702380952380952,present
GSM9237925,P10_Normal,Normal,macrophage,CD44,168,2.8529850941112995,0.8630952380952381,present
GSM9237925,P10_Normal,Normal,macrophage,CXCR4,168,0.4087095565053451,0.17261904761904762,present
GSM9237925,P10_Normal,Normal,macrophage,SPP1,168,0.1440955192041614,0.047619047619047616,present
GSM9237925,P10_Normal,Normal,macrophage,TREM2,168,0.63025375483484,0.34523809523809523,present
GSM9237925,P10_Normal,Normal,macrophage,PLA2G7,168,0.1773445942616029,0.08928571428571429,present
GSM9237925,P10_Normal,Normal,macrophage,IL1B,168,0.42973694935965717,0.17857142857142858,present
GSM9237925,P10_Normal,Normal,macrophage,TNF,168,0.18531794998297343,0.15476190476190477,present
GSM9237925,P10_Normal,Normal,macrophage,CXCL8,168,0.6668361810227968,0.23809523809523808,present
GSM9237926,P10_MIA,MIA,all_cells,MIF,4661,0.19979092078514335,0.11907316026603733,present
GSM9237926,P10_MIA,MIA,all_cells,CD74,4661,2.2053481912012294,0.6299077451190732,present
GSM9237926,P10_MIA,MIA,all_cells,CD44,4661,1.0615944389681164,0.4164342415790603,present
GSM9237926,P10_MIA,MIA,all_cells,CXCR4,4661,0.7606399033706952,0.23943359794035615,present
GSM9237926,P10_MIA,MIA,all_cells,SPP1,4661,0.011002313804013075,0.004720017163698777,present
GSM9237926,P10_MIA,MIA,all_cells,TREM2,4661,0.04362765471815869,0.021025531001930917,present
GSM9237926,P10_MIA,MIA,all_cells,PLA2G7,4661,0.018617351223448802,0.00815275691911607,present
GSM9237926,P10_MIA,MIA,all_cells,IL1B,4661,0.03431200673177713,0.014803690195237074,present
GSM9237926,P10_MIA,MIA,all_cells,TNF,4661,0.018520262122360624,0.009010941857970392,present
GSM9237926,P10_MIA,MIA,all_cells,CXCL8,4661,0.036248679429384,0.0167346063076593,present
GSM9237926,P10_MIA,MIA,epithelial,MIF,1325,0.3277198426363851,0.22867924528301886,present
GSM9237926,P10_MIA,MIA,epithelial,CD74,1325,2.2331957736237267,0.7018867924528301,present
GSM9237926,P10_MIA,MIA,epithelial,CD44,1325,1.1495701578563868,0.5169811320754717,present
GSM9237926,P10_MIA,MIA,epithelial,CXCR4,1325,0.23785594801346746,0.09886792452830188,present
GSM9237926,P10_MIA,MIA,epithelial,SPP1,1325,0.0056898985609614115,0.0037735849056603774,present
GSM9237926,P10_MIA,MIA,epithelial,TREM2,1325,0.004456782969919219,0.0037735849056603774,present
GSM9237926,P10_MIA,MIA,epithelial,PLA2G7,1325,0.002135316836997536,0.0015094339622641509,present
GSM9237926,P10_MIA,MIA,epithelial,IL1B,1325,0.009079870557999638,0.005283018867924529,present
GSM9237926,P10_MIA,MIA,epithelial,TNF,1325,0.0023049784676875797,0.0007547169811320754,present
GSM9237926,P10_MIA,MIA,epithelial,CXCL8,1325,0.061940636598833254,0.033962264150943396,present
GSM9237926,P10_MIA,MIA,macrophage,MIF,294,0.11959670279317253,0.08503401360544217,present
GSM9237926,P10_MIA,MIA,macrophage,CD74,294,4.7750309042103165,0.9659863945578231,present
GSM9237926,P10_MIA,MIA,macrophage,CD44,294,1.7275109881584243,0.6326530612244898,present
GSM9237926,P10_MIA,MIA,macrophage,CXCR4,294,1.023955130214974,0.40816326530612246,present
GSM9237926,P10_MIA,MIA,macrophage,SPP1,294,0.07130212618017301,0.027210884353741496,present
GSM9237926,P10_MIA,MIA,macrophage,TREM2,294,0.5490073495590992,0.2619047619047619,present
GSM9237926,P10_MIA,MIA,macrophage,PLA2G7,294,0.22527393491788136,0.09183673469387756,present
GSM9237926,P10_MIA,MIA,macrophage,IL1B,294,0.32261467839291713,0.1292517006802721,present
GSM9237926,P10_MIA,MIA,macrophage,TNF,294,0.09255907399891011,0.061224489795918366,present
GSM9237926,P10_MIA,MIA,macrophage,CXCL8,294,0.16554949981088649,0.06462585034013606,present
GSM9237927,P10_LUAD,LUAD,all_cells,MIF,22403,0.5251032841623403,0.29723697719055486,present
GSM9237927,P10_LUAD,LUAD,all_cells,CD74,22403,3.176633672474647,0.8916662946926751,present
GSM9237927,P10_LUAD,LUAD,all_cells,CD44,22403,1.5327309012371018,0.6239342945141275,present
GSM9237927,P10_LUAD,LUAD,all_cells,CXCR4,22403,0.9113429539740805,0.3687452573316074,present
GSM9237927,P10_LUAD,LUAD,all_cells,SPP1,22403,0.08450845674266357,0.04450296835245279,present
GSM9237927,P10_LUAD,LUAD,all_cells,TREM2,22403,0.09008734368290748,0.04834173994554301,present
GSM9237927,P10_LUAD,LUAD,all_cells,PLA2G7,22403,0.0696260337656708,0.037718162746060796,present
GSM9237927,P10_LUAD,LUAD,all_cells,IL1B,22403,0.019731245860534694,0.012007320448154266,present
GSM9237927,P10_LUAD,LUAD,all_cells,TNF,22403,0.03786957489908674,0.021559612551890373,present
GSM9237927,P10_LUAD,LUAD,all_cells,CXCL8,22403,0.034068840731714824,0.01722983528991653,present
GSM9237927,P10_LUAD,LUAD,epithelial,MIF,7570,0.7903263259287859,0.44095112285336857,present
GSM9237927,P10_LUAD,LUAD,epithelial,CD74,7570,3.1499000188326756,0.9200792602377807,present
GSM9237927,P10_LUAD,LUAD,epithelial,CD44,7570,1.7228938431078038,0.6903566710700132,present
GSM9237927,P10_LUAD,LUAD,epithelial,CXCR4,7570,0.37043380457351155,0.20198150594451783,present
GSM9237927,P10_LUAD,LUAD,epithelial,SPP1,7570,0.07801214300012585,0.05785997357992074,present
GSM9237927,P10_LUAD,LUAD,epithelial,TREM2,7570,0.030872034146204676,0.025759577278731835,present
GSM9237927,P10_LUAD,LUAD,epithelial,PLA2G7,7570,0.02626817035187521,0.018890356671070013,present
GSM9237927,P10_LUAD,LUAD,epithelial,IL1B,7570,0.012657103501197805,0.010171730515191546,present
GSM9237927,P10_LUAD,LUAD,epithelial,TNF,7570,0.01885466314130791,0.01558784676354029,present
GSM9237927,P10_LUAD,LUAD,epithelial,CXCL8,7570,0.03168987599346635,0.021268163804491414,present
GSM9237927,P10_LUAD,LUAD,macrophage,MIF,1734,0.3851842342825146,0.26701268742791234,present
GSM9237927,P10_LUAD,LUAD,macrophage,CD74,1734,5.187079005529874,0.9826989619377162,present
GSM9237927,P10_LUAD,LUAD,macrophage,CD44,1734,1.6117730300212445,0.671280276816609,present
GSM9237927,P10_LUAD,LUAD,macrophage,CXCR4,1734,1.0059711423139932,0.47058823529411764,present
GSM9237927,P10_LUAD,LUAD,macrophage,SPP1,1734,0.38969405677951185,0.14417531718569782,present
GSM9237927,P10_LUAD,LUAD,macrophage,TREM2,1734,0.8273031439824444,0.39158016147635527,present
GSM9237927,P10_LUAD,LUAD,macrophage,PLA2G7,1734,0.5877481709832061,0.29988465974625145,present
GSM9237927,P10_LUAD,LUAD,macrophage,IL1B,1734,0.09645722520026992,0.06113033448673587,present
GSM9237927,P10_LUAD,LUAD,macrophage,TNF,1734,0.041563615959216975,0.029988465974625143,present
GSM9237927,P10_LUAD,LUAD,macrophage,CXCL8,1734,0.08530171110777869,0.0461361014994233,present
GSM9237928,P11_Normal,Normal,all_cells,MIF,2289,0.14232341654312555,0.08038444735692442,present
GSM9237928,P11_Normal,Normal,all_cells,CD74,2289,1.6063666854503025,0.4941022280471822,present
GSM9237928,P11_Normal,Normal,all_cells,CD44,2289,0.9645293143925654,0.36435124508519,present
GSM9237928,P11_Normal,Normal,all_cells,CXCR4,2289,0.3158536671690964,0.11577107907383137,present
GSM9237928,P11_Normal,Normal,all_cells,SPP1,2289,0.0020750983895932965,0.0017474879860200961,present
GSM9237928,P11_Normal,Normal,all_cells,TREM2,2289,0.021926953986298583,0.011358671909130624,present
GSM9237928,P11_Normal,Normal,all_cells,PLA2G7,2289,0.013757615204777258,0.00655307994757536,present
GSM9237928,P11_Normal,Normal,all_cells,IL1B,2289,0.03550440655768608,0.014853647881170816,present
GSM9237928,P11_Normal,Normal,all_cells,TNF,2289,0.021930870665719467,0.010048055919615552,present
GSM9237928,P11_Normal,Normal,all_cells,CXCL8,2289,0.040177825058459495,0.01529051987767584,present
GSM9237928,P11_Normal,Normal,epithelial,MIF,713,0.20997457711519968,0.1276297335203366,present
GSM9237928,P11_Normal,Normal,epithelial,CD74,713,1.6924963195913978,0.5553997194950911,present
GSM9237928,P11_Normal,Normal,epithelial,CD44,713,1.1723990648980447,0.4586255259467041,present
GSM9237928,P11_Normal,Normal,epithelial,CXCR4,713,0.17007351168571958,0.06732117812061711,present
GSM9237928,P11_Normal,Normal,epithelial,SPP1,713,0.0010695412215443248,0.002805049088359046,present
GSM9237928,P11_Normal,Normal,epithelial,TREM2,713,0.0034600820533027907,0.001402524544179523,present
GSM9237928,P11_Normal,Normal,epithelial,PLA2G7,713,0.008402507864361428,0.004207573632538569,present
GSM9237928,P11_Normal,Normal,epithelial,IL1B,713,0.016312306762510626,0.0070126227208976155,present
GSM9237928,P11_Normal,Normal,epithelial,TNF,713,0.019809426002331123,0.008415147265077139,present
GSM9237928,P11_Normal,Normal,epithelial,CXCL8,713,0.041001125771808845,0.021037868162692847,present
GSM9237928,P11_Normal,Normal,macrophage,MIF,121,0.13841729242575243,0.08264462809917356,present
GSM9237928,P11_Normal,Normal,macrophage,CD74,121,4.402352487550437,0.9669421487603306,present
GSM9237928,P11_Normal,Normal,macrophage,CD44,121,1.5851551108095694,0.5454545454545454,present
GSM9237928,P11_Normal,Normal,macrophage,CXCR4,121,0.3668669029290968,0.1652892561983471,present
GSM9237928,P11_Normal,Normal,macrophage,SPP1,121,0.010249090853941564,0.008264462809917356,present
GSM9237928,P11_Normal,Normal,macrophage,TREM2,121,0.33911736452182867,0.18181818181818182,present
GSM9237928,P11_Normal,Normal,macrophage,PLA2G7,121,0.13039771825680233,0.05785123966942149,present
GSM9237928,P11_Normal,Normal,macrophage,IL1B,121,0.2145041835627638,0.10743801652892562,present
GSM9237928,P11_Normal,Normal,macrophage,TNF,121,0.04932696064072414,0.03305785123966942,present
GSM9237928,P11_Normal,Normal,macrophage,CXCL8,121,0.09890640782213707,0.03305785123966942,present
GSM9237929,P11_AAH,AAH,all_cells,MIF,4317,0.24088173250654643,0.1498725967106787,present
GSM9237929,P11_AAH,AAH,all_cells,CD74,4317,2.0318379963802893,0.5939309705814223,present
GSM9237929,P11_AAH,AAH,all_cells,CD44,4317,1.171043181209629,0.453555709983785,present
GSM9237929,P11_AAH,AAH,all_cells,CXCR4,4317,0.46696323064565654,0.1723419041000695,present
GSM9237929,P11_AAH,AAH,all_cells,SPP1,4317,0.018990896771827234,0.00857076673615937,present
GSM9237929,P11_AAH,AAH,all_cells,TREM2,4317,0.07478943758376294,0.03891591382904795,present
GSM9237929,P11_AAH,AAH,all_cells,PLA2G7,4317,0.019989850358838133,0.010192263145703035,present
GSM9237929,P11_AAH,AAH,all_cells,IL1B,4317,0.04371996885619212,0.017604818160759785,present
GSM9237929,P11_AAH,AAH,all_cells,TNF,4317,0.020280642788733063,0.009728978457261988,present
GSM9237929,P11_AAH,AAH,all_cells,CXCL8,4317,0.04807163894421507,0.01992124160296502,present
GSM9237929,P11_AAH,AAH,epithelial,MIF,1620,0.3432623691453673,0.2308641975308642,present
GSM9237929,P11_AAH,AAH,epithelial,CD74,1620,2.1657634393491585,0.6833333333333333,present
GSM9237929,P11_AAH,AAH,epithelial,CD44,1620,1.3366032574946665,0.5376543209876543,present
GSM9237929,P11_AAH,AAH,epithelial,CXCR4,1620,0.18417984379067973,0.07592592592592592,present
GSM9237929,P11_AAH,AAH,epithelial,SPP1,1620,0.015793886221620212,0.009259259259259259,present
GSM9237929,P11_AAH,AAH,epithelial,TREM2,1620,0.020710727381564518,0.011111111111111112,present
GSM9237929,P11_AAH,AAH,epithelial,PLA2G7,1620,0.006756074642360336,0.003703703703703704,present
GSM9237929,P11_AAH,AAH,epithelial,IL1B,1620,0.013178682604445699,0.0049382716049382715,present
GSM9237929,P11_AAH,AAH,epithelial,TNF,1620,0.006514684019889592,0.0024691358024691358,present
GSM9237929,P11_AAH,AAH,epithelial,CXCL8,1620,0.033176379276129146,0.019753086419753086,present
