observed_fraction,null_mean,null_sd,enrichment_delta,empirical_p_greater,empirical_p_less,n_permutations,radius,sample,sample_name,stage,histological_type,radiological_type,source,target,quantile,radius_multiplier,n_spots,n_dropped_nonfinite_coordinates,n_source_high,n_target_high,n_overlap_high,overlap_fraction_of_source,target_to_source_fraction
0.2255859375,0.543630859375,0.017179209383983318,-0.318044921875,1.0,0.001996007984031936,500,200.0,GSM5702473,GSM5702473_TD1,IAC,IAC,SN,epithelial_progenitor_high,macrophage_niche_high,0.75,1.0,4095,0,1024,1024,36,0.03515625,0.2099609375
0.45018115942028986,0.5956503623188406,0.01578635380735671,-0.14546920289855075,1.0,0.001996007984031936,500,200.0,GSM5702474,GSM5702474_TD2,IAC,IAC,SN,epithelial_progenitor_high,macrophage_niche_high,0.75,1.0,4416,0,1104,1104,164,0.14855072463768115,0.42028985507246375
0.38596491228070173,0.5254596491228072,0.02964678626586613,-0.13949473684210545,1.0,0.001996007984031936,500,200.0,GSM5702475,GSM5702475_TD3,MIA,MIA,pGGN,epithelial_progenitor_high,macrophage_niche_high,0.75,1.0,1140,0,285,285,40,0.14035087719298245,0.3649122807017544
0.28941176470588237,0.5675529411764706,0.023414300530215742,-0.2781411764705882,1.0,0.001996007984031936,500,200.0024999843752,GSM5702476,GSM5702476_TD5,AIS,AIS,SSN,epithelial_progenitor_high,macrophage_niche_high,0.75,1.0,1700,0,425,425,12,0.02823529411764706,0.2541176470588235
0.401840490797546,0.5804253578732107,0.015428802159279867,-0.17858486707566468,1.0,0.001996007984031936,500,200.0,GSM5702477,GSM5702477_TD6,MIA,MIA,SSN,epithelial_progenitor_high,macrophage_niche_high,0.75,1.0,3911,0,978,978,104,0.10633946830265849,0.37321063394683024
0.40454545454545454,0.5598863636363636,0.024928006692209945,-0.15534090909090903,1.0,0.001996007984031936,500,200.0024999843752,GSM5702478,GSM5702478_TD8,AIS,AIS,pGGN,epithelial_progenitor_high,macrophage_niche_high,0.75,1.0,1760,0,440,440,66,0.15,0.4431818181818182
