observed_fraction,null_mean,null_sd,enrichment_delta,empirical_p_greater,empirical_p_less,n_permutations,radius,status,sample,sample_name,stage,source,target,quantile,radius_multiplier,n_spots,n_source_high,n_target_high,n_overlap_high,overlap_fraction_of_source,target_to_source_fraction,axis_id,axis_label,evidence_type,gene_panel,genes
0.37372742200328407,0.41029228243021343,0.007934976594375556,-0.03656486042692936,1.0,0.009900990099009901,100,395.2176615486712,ok,GSM9226189,P10_MIA,MIA,epithelial_progenitor_like,inflammatory_il1_tnf_cxcl8_source,0.75,1.0,12180,3045,3045,765,0.2512315270935961,0.34022988505747126,inflammatory_il1_tnf_cxcl8,IL1B/TNF/CXCL8 inflammatory myeloid program,source_near_epithelial_progenitor,source,"IL1B,TNF,CXCL8,CCL3,CCL4,NLRP3"
0.47651888341543513,0.41096223316912966,0.009567551608001866,0.06555665024630547,0.009900990099009901,1.0,100,395.2176615486712,ok,GSM9226189,P10_MIA,MIA,epithelial_progenitor_like,inflammatory_il1_tnf_cxcl8_target,0.75,1.0,12180,3045,3045,1075,0.3530377668308703,0.44170771756978655,inflammatory_il1_tnf_cxcl8,IL1B/TNF/CXCL8 inflammatory myeloid program,target_near_epithelial_progenitor,target,"IL1R1,IL1RAP,NFKBIA"
0.35205254515599343,0.408591133004926,0.008307426275333953,-0.056538587848932564,1.0,0.009900990099009901,100,395.2176615486712,ok,GSM9226189,P10_MIA,MIA,epithelial_progenitor_like,c1q_apoe_trem2_lgals3_source,0.75,1.0,12180,3045,3045,798,0.2620689655172414,0.3504105090311987,c1q_apoe_trem2_lgals3,C1Q/APOE/TREM2/LGALS3 immunoregulatory macrophage program,source_near_epithelial_progenitor,source,"C1QA,C1QB,C1QC,APOE,TREM2,LGALS3,MARCO"
0.49195402298850577,0.4104006568144499,0.008805295278567972,0.08155336617405584,0.009900990099009901,1.0,100,395.2176615486712,ok,GSM9226189,P10_MIA,MIA,epithelial_progenitor_like,c1q_apoe_trem2_lgals3_target,0.75,1.0,12180,3045,3045,1105,0.36288998357963875,0.4640394088669951,c1q_apoe_trem2_lgals3,C1Q/APOE/TREM2/LGALS3 immunoregulatory macrophage program,target_near_epithelial_progenitor,target,"LRP1,TREM2,CD44"
0.315927750410509,0.26567487684729063,0.00885598973512863,0.05025287356321839,0.009900990099009901,1.0,100,395.2176615486712,ok,GSM9226189,P10_MIA,MIA,epithelial_progenitor_like,mif_cd74_cxcr4_source,0.75,1.0,12180,3045,1858,622,0.20426929392446633,0.4354144241119483,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,source_near_epithelial_progenitor,source,MIF
0.4689655172413793,0.41043021346469616,0.008823348199311127,0.058535303776683145,0.009900990099009901,1.0,100,395.2176615486712,ok,GSM9226189,P10_MIA,MIA,epithelial_progenitor_like,mif_cd74_cxcr4_target,0.75,1.0,12180,3045,3045,1100,0.361247947454844,0.45320197044334976,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,target_near_epithelial_progenitor,target,"CD74,CXCR4,CD44"
0.10541871921182266,0.10791133004926108,0.006213772953884696,-0.0024926108374384165,0.6534653465346535,0.39603960396039606,100,395.2176615486712,ok,GSM9226189,P10_MIA,MIA,epithelial_progenitor_like,cxcl9_cxcl10_cxcr3_source,0.75,1.0,12180,3045,711,204,0.06699507389162561,0.379746835443038,cxcl9_cxcl10_cxcr3,CXCL9/CXCL10-CXCR3 interferon chemokine axis,source_near_epithelial_progenitor,source,"CXCL9,CXCL10"
0.04926108374384237,0.04938587848932677,0.0037198346692419635,-0.0001247947454844009,0.5445544554455446,0.4752475247524752,100,395.2176615486712,ok,GSM9226189,P10_MIA,MIA,epithelial_progenitor_like,cxcl9_cxcl10_cxcr3_target,0.75,1.0,12180,3045,321,78,0.02561576354679803,0.3644859813084112,cxcl9_cxcl10_cxcr3,CXCL9/CXCL10-CXCR3 interferon chemokine axis,target_near_epithelial_progenitor,target,CXCR3
0.5523426061493412,0.35781478770131775,0.008827093729508084,0.19452781844802342,0.009900990099009901,1.0,100,395.42508772206145,ok,GSM9226191,P11_AAH,AAH,epithelial_progenitor_like,spp1_trem2_macrophage_epithelial_source,0.75,1.0,10928,2732,2732,1338,0.48975109809663253,0.5585651537335286,spp1_trem2_macrophage_epithelial,SPP1/TREM2 macrophage program to epithelial-matrix receptors,source_near_epithelial_progenitor,source,"SPP1,TREM2,PLA2G7,CHIT1,APOE,LGALS3"
0.5830893118594437,0.35653367496339683,0.008903117402219987,0.22655563689604685,0.009900990099009901,1.0,100,395.42508772206145,ok,GSM9226191,P11_AAH,AAH,epithelial_progenitor_like,spp1_trem2_macrophage_epithelial_target,0.75,1.0,10928,2732,2732,1395,0.510614934114202,0.5808931185944363,spp1_trem2_macrophage_epithelial,SPP1/TREM2 macrophage program to epithelial-matrix receptors,target_near_epithelial_progenitor,target,"CD44,ITGAV,ITGB1,ITGA5"
0.4333821376281113,0.35774890190336756,0.008695531542911559,0.07563323572474373,0.009900990099009901,1.0,100,395.42508772206145,ok,GSM9226191,P11_AAH,AAH,epithelial_progenitor_like,inflammatory_il1_tnf_cxcl8_source,0.75,1.0,10928,2732,2732,901,0.32979502196193267,0.3953147877013177,inflammatory_il1_tnf_cxcl8,IL1B/TNF/CXCL8 inflammatory myeloid program,source_near_epithelial_progenitor,source,"IL1B,TNF,CXCL8,CCL3,CCL4,NLRP3"
0.5519765739385066,0.35916910688140563,0.00982021073614126,0.192807467057101,0.009900990099009901,1.0,100,395.42508772206145,ok,GSM9226191,P11_AAH,AAH,epithelial_progenitor_like,inflammatory_il1_tnf_cxcl8_target,0.75,1.0,10928,2732,2732,1241,0.4542459736456808,0.5234260614934114,inflammatory_il1_tnf_cxcl8,IL1B/TNF/CXCL8 inflammatory myeloid program,target_near_epithelial_progenitor,target,"IL1R1,IL1RAP,NFKBIA"
