observed_fraction,null_mean,null_sd,enrichment_delta,empirical_p_greater,empirical_p_less,n_permutations,radius,n_spots,n_source_high,n_target_high,n_overlap_high,overlap_fraction_of_source,target_to_source_fraction,sample,sample_name,stage,top_n,quantile,radius_multiplier
0.1838893409275834,0.2995077298616762,0.010664502728500462,-0.11561838893409276,1.0,0.004975124378109453,200,150.0,4095,1229,1229,226,0.1838893409275834,0.1838893409275834,GSM5702473,GSM5702473_TD1,IAC,10,0.7,0.75
0.4255492270138324,0.6198291293734745,0.01536240723556996,-0.19427990235964204,1.0,0.004975124378109453,200,200.0,4095,1229,1229,226,0.1838893409275834,0.323026851098454,GSM5702473,GSM5702473_TD1,IAC,10,0.7,1.0
0.7428803905614321,0.9166517493897477,0.011118113867476371,-0.17377135882831563,1.0,0.004975124378109453,200,250.0,4095,1229,1229,226,0.1838893409275834,0.4222945484133442,GSM5702473,GSM5702473_TD1,IAC,10,0.7,1.25
0.126953125,0.250537109375,0.01156220273681398,-0.12358398437500001,1.0,0.004975124378109453,200,150.0,4095,1024,1024,130,0.126953125,0.126953125,GSM5702473,GSM5702473_TD1,IAC,10,0.75,0.75
0.3095703125,0.5422900390625,0.017263473376328713,-0.23271972656249995,1.0,0.004975124378109453,200,200.0,4095,1024,1024,130,0.126953125,0.244140625,GSM5702473,GSM5702473_TD1,IAC,10,0.75,1.0
0.6259765625,0.8660791015625,0.01598002435581715,-0.2401025390625,1.0,0.004975124378109453,200,250.0,4095,1024,1024,130,0.126953125,0.34765625,GSM5702473,GSM5702473_TD1,IAC,10,0.75,1.25
0.07203907203907203,0.20093406593406596,0.012528938367978835,-0.12889499389499393,1.0,0.004975124378109453,200,150.0,4095,819,819,59,0.07203907203907203,0.07203907203907203,GSM5702473,GSM5702473_TD1,IAC,10,0.8,0.75
0.18803418803418803,0.45633089133089144,0.018823750195600276,-0.2682967032967034,1.0,0.004975124378109453,200,200.0,4095,819,819,59,0.07203907203907203,0.15262515262515264,GSM5702473,GSM5702473_TD1,IAC,10,0.8,1.0
0.43223443223443225,0.7881807081807082,0.019939853344488976,-0.3559462759462759,1.0,0.004975124378109453,200,250.0,4095,819,819,59,0.07203907203907203,0.25274725274725274,GSM5702473,GSM5702473_TD1,IAC,10,0.8,1.25
0.16029292107404394,0.3006427990235964,0.011117040310946074,-0.14034987794955248,1.0,0.004975124378109453,200,150.0,4095,1229,1229,197,0.16029292107404394,0.16029292107404394,GSM5702473,GSM5702473_TD1,IAC,20,0.7,0.75
0.402766476810415,0.6195199349064279,0.01643649330035758,-0.21675345809601287,1.0,0.004975124378109453,200,200.0,4095,1229,1229,197,0.16029292107404394,0.30431244914564687,GSM5702473,GSM5702473_TD1,IAC,20,0.7,1.0
0.7217249796582588,0.916118795768918,0.01078720689034029,-0.1943938161106592,1.0,0.004975124378109453,200,250.0,4095,1229,1229,197,0.16029292107404394,0.40683482506102525,GSM5702473,GSM5702473_TD1,IAC,20,0.7,1.25
0.111328125,0.250185546875,0.01218562232240981,-0.138857421875,1.0,0.004975124378109453,200,150.0,4095,1024,1024,114,0.111328125,0.111328125,GSM5702473,GSM5702473_TD1,IAC,20,0.75,0.75
0.302734375,0.544853515625,0.017709724596386756,-0.24211914062499995,1.0,0.004975124378109453,200,200.0,4095,1024,1024,114,0.111328125,0.240234375,GSM5702473,GSM5702473_TD1,IAC,20,0.75,1.0
0.59765625,0.865576171875,0.015168938407678275,-0.267919921875,1.0,0.004975124378109453,200,250.0,4095,1024,1024,114,0.111328125,0.3369140625,GSM5702473,GSM5702473_TD1,IAC,20,0.75,1.25
0.06349206349206349,0.1990964590964591,0.013009481240375742,-0.1356043956043956,1.0,0.004975124378109453,200,150.0,4095,819,819,52,0.06349206349206349,0.06349206349206349,GSM5702473,GSM5702473_TD1,IAC,20,0.8,0.75
0.21001221001221002,0.45509768009768015,0.020591577694770383,-0.24508547008547013,1.0,0.004975124378109453,200,200.0,4095,819,819,52,0.06349206349206349,0.16727716727716727,GSM5702473,GSM5702473_TD1,IAC,20,0.8,1.0
0.4627594627594628,0.7903601953601954,0.018054940193741174,-0.32760073260073264,1.0,0.004975124378109453,200,250.0,4095,819,819,52,0.06349206349206349,0.27472527472527475,GSM5702473,GSM5702473_TD1,IAC,20,0.8,1.25
0.22782750203417412,0.29989829129373474,0.010277782622412995,-0.07207078925956062,1.0,0.004975124378109453,200,150.0,4095,1229,1229,280,0.22782750203417412,0.22782750203417412,GSM5702473,GSM5702473_TD1,IAC,30,0.7,0.75
0.5134255492270138,0.6202318958502847,0.016348347341689114,-0.10680634662327093,1.0,0.004975124378109453,200,200.0,4095,1229,1229,280,0.22782750203417412,0.38812042310821804,GSM5702473,GSM5702473_TD1,IAC,30,0.7,1.0
0.7949552481692432,0.9167656631407649,0.011050647178330158,-0.12181041497152167,1.0,0.004975124378109453,200,250.0,4095,1229,1229,280,0.22782750203417412,0.48006509357200977,GSM5702473,GSM5702473_TD1,IAC,30,0.7,1.25
0.1533203125,0.2513525390625,0.012182982159986701,-0.09803222656249999,1.0,0.004975124378109453,200,150.0,4095,1024,1024,157,0.1533203125,0.1533203125,GSM5702473,GSM5702473_TD1,IAC,30,0.75,0.75
0.40234375,0.5447412109375,0.016263136683426695,-0.14239746093750005,1.0,0.004975124378109453,200,200.0,4095,1024,1024,157,0.1533203125,0.3203125,GSM5702473,GSM5702473_TD1,IAC,30,0.75,1.0
0.6806640625,0.863876953125,0.014319983481611313,-0.183212890625,1.0,0.004975124378109453,200,250.0,4095,1024,1024,157,0.1533203125,0.41796875,GSM5702473,GSM5702473_TD1,IAC,30,0.75,1.25
0.0927960927960928,0.19976190476190475,0.012417414665507043,-0.10696581196581195,1.0,0.004975124378109453,200,150.0,4095,819,819,76,0.0927960927960928,0.0927960927960928,GSM5702473,GSM5702473_TD1,IAC,30,0.8,0.75
0.29181929181929184,0.45497557997558,0.019640216076342247,-0.1631562881562882,1.0,0.004975124378109453,200,200.0,4095,819,819,76,0.0927960927960928,0.2258852258852259,GSM5702473,GSM5702473_TD1,IAC,30,0.8,1.0
0.5384615384615384,0.7886996336996337,0.01989932429591858,-0.25023809523809526,1.0,0.004975124378109453,200,250.0,4095,819,819,76,0.0927960927960928,0.32722832722832723,GSM5702473,GSM5702473_TD1,IAC,30,0.8,1.25
0.3071698113207547,0.2985962264150943,0.01157665083987333,0.008573584905660403,0.23383084577114427,0.8059701492537313,200,150.0,4416,1325,1325,407,0.3071698113207547,0.3071698113207547,GSM5702474,GSM5702474_TD2,IAC,10,0.7,0.75
0.6588679245283019,0.6738603773584905,0.012768282711524458,-0.014992452830188574,0.8756218905472637,0.13930348258706468,200,200.0,4416,1325,1325,407,0.3071698113207547,0.6188679245283019,GSM5702474,GSM5702474_TD2,IAC,10,0.7,1.0
0.8815094339622641,0.9143207547169812,0.009299217875346428,-0.032811320754717044,1.0,0.004975124378109453,200,250.0,4416,1325,1325,407,0.3071698113207547,0.8332075471698113,GSM5702474,GSM5702474_TD2,IAC,10,0.7,1.25
0.24456521739130435,0.24971920289855074,0.011670870335698805,-0.005153985507246384,0.6965174129353234,0.34328358208955223,200,150.0,4416,1104,1104,270,0.24456521739130435,0.24456521739130435,GSM5702474,GSM5702474_TD2,IAC,10,0.75,0.75
0.5797101449275363,0.5957472826086956,0.01624704624832522,-0.01603713768115933,0.8507462686567164,0.1890547263681592,200,200.0,4416,1104,1104,270,0.24456521739130435,0.5443840579710145,GSM5702474,GSM5702474_TD2,IAC,10,0.75,1.0
0.8188405797101449,0.8615896739130434,0.013167861397725562,-0.04274909420289852,1.0,0.009950248756218905,200,250.0,4416,1104,1104,270,0.24456521739130435,0.7545289855072463,GSM5702474,GSM5702474_TD2,IAC,10,0.75,1.25
0.1868629671574179,0.2004530011325028,0.012310509146385257,-0.013590033975084903,0.8955223880597015,0.13432835820895522,200,150.0,4416,883,883,165,0.1868629671574179,0.1868629671574179,GSM5702474,GSM5702474_TD2,IAC,10,0.8,0.75
0.4813137032842582,0.5061664779161948,0.01679243491960567,-0.024852774631936636,0.9303482587064676,0.0945273631840796,200,200.0,4416,883,883,165,0.1868629671574179,0.44847112117780297,GSM5702474,GSM5702474_TD2,IAC,10,0.8,1.0
0.7202718006795017,0.7858890147225368,0.015914131855870397,-0.06561721404303511,1.0,0.004975124378109453,200,250.0,4416,883,883,165,0.1868629671574179,0.6455266138165345,GSM5702474,GSM5702474_TD2,IAC,10,0.8,1.25
0.29132075471698116,0.3005207547169811,0.01100716455725175,-0.00919999999999993,0.8109452736318408,0.208955223880597,200,150.0,4416,1325,1325,386,0.29132075471698116,0.29132075471698116,GSM5702474,GSM5702474_TD2,IAC,20,0.7,0.75
0.6535849056603774,0.6745471698113207,0.013328047465836766,-0.020962264150943266,0.9502487562189055,0.06467661691542288,200,200.0,4416,1325,1325,386,0.29132075471698116,0.6052830188679246,GSM5702474,GSM5702474_TD2,IAC,20,0.7,1.0
0.8709433962264151,0.9149584905660378,0.00914365420758125,-0.044015094339622696,1.0,0.004975124378109453,200,250.0,4416,1325,1325,386,0.29132075471698116,0.7984905660377358,GSM5702474,GSM5702474_TD2,IAC,20,0.7,1.25
0.24094202898550723,0.24903532608695653,0.011625807779920989,-0.008093297101449293,0.7512437810945274,0.263681592039801,200,150.0,4416,1104,1104,266,0.24094202898550723,0.24094202898550723,GSM5702474,GSM5702474_TD2,IAC,20,0.75,0.75
0.572463768115942,0.5979076086956522,0.015381858195670636,-0.025443840579710164,0.9651741293532339,0.04975124378109453,200,200.0,4416,1104,1104,266,0.24094202898550723,0.5226449275362319,GSM5702474,GSM5702474_TD2,IAC,20,0.75,1.0
0.8278985507246377,0.8628985507246376,0.012684748287899684,-0.03499999999999992,0.9950248756218906,0.009950248756218905,200,250.0,4416,1104,1104,266,0.24094202898550723,0.7128623188405797,GSM5702474,GSM5702474_TD2,IAC,20,0.75,1.25
0.17893544733861835,0.1999660249150623,0.01332785936225509,-0.021030577576443943,0.9502487562189055,0.05970149253731343,200,150.0,4416,883,883,158,0.17893544733861835,0.17893544733861835,GSM5702474,GSM5702474_TD2,IAC,20,0.8,0.75
0.48357870894677235,0.5103963759909399,0.018625800361664738,-0.026817667044167548,0.9203980099502488,0.0945273631840796,200,200.0,4416,883,883,158,0.17893544733861835,0.4405436013590034,GSM5702474,GSM5702474_TD2,IAC,20,0.8,1.0
0.7508493771234428,0.7870498301245752,0.01690191565381884,-0.03620045300113239,0.9701492537313433,0.03980099502487562,200,250.0,4416,883,883,158,0.17893544733861835,0.6251415628539071,GSM5702474,GSM5702474_TD2,IAC,20,0.8,1.25
0.36150943396226415,0.3000641509433962,0.010600730674804692,0.061445283018867924,0.004975124378109453,1.0,200,150.0,4416,1325,1325,479,0.36150943396226415,0.36150943396226415,GSM5702474,GSM5702474_TD2,IAC,30,0.7,0.75
0.6852830188679245,0.6748226415094339,0.012372158833085886,0.010460377358490591,0.21890547263681592,0.8159203980099502,200,200.0,4416,1325,1325,479,0.36150943396226415,0.6498113207547169,GSM5702474,GSM5702474_TD2,IAC,30,0.7,1.0
0.8973584905660378,0.9146905660377359,0.008798957573126716,-0.017332075471698127,0.9701492537313433,0.03482587064676617,200,250.0,4416,1325,1325,479,0.36150943396226415,0.8279245283018868,GSM5702474,GSM5702474_TD2,IAC,30,0.7,1.25
0.3088768115942029,0.2494701086956522,0.010971981534937766,0.059406702898550684,0.004975124378109453,1.0,200,150.0,4416,1104,1104,341,0.3088768115942029,0.3088768115942029,GSM5702474,GSM5702474_TD2,IAC,30,0.75,0.75
0.6096014492753623,0.5967798913043478,0.015651003454631725,0.012821557971014474,0.21890547263681592,0.8009950248756219,200,200.0,4416,1104,1104,341,0.3088768115942029,0.5833333333333334,GSM5702474,GSM5702474_TD2,IAC,30,0.75,1.0
0.8387681159420289,0.8619112318840579,0.012866988338993843,-0.023143115942029002,0.9651741293532339,0.05472636815920398,200,250.0,4416,1104,1104,341,0.3088768115942029,0.7663043478260869,GSM5702474,GSM5702474_TD2,IAC,30,0.75,1.25
0.24122310305775765,0.19977916194790488,0.011922794390711451,0.04144394110985278,0.004975124378109453,1.0,200,150.0,4416,883,883,213,0.24122310305775765,0.24122310305775765,GSM5702474,GSM5702474_TD2,IAC,30,0.8,0.75
0.522083805209513,0.5094960362400905,0.017527449713016573,0.012587768969422486,0.24378109452736318,0.7810945273631841,200,200.0,4416,883,883,213,0.24122310305775765,0.5152887882219706,GSM5702474,GSM5702474_TD2,IAC,30,0.8,1.0
0.7519818799546999,0.7845300113250283,0.017379395219335958,-0.032548131370328415,0.9502487562189055,0.05970149253731343,200,250.0,4416,883,883,213,0.24122310305775765,0.7044167610419027,GSM5702474,GSM5702474_TD2,IAC,30,0.8,1.25
0.3567251461988304,0.30239766081871344,0.018339721484096686,0.05432748538011695,0.004975124378109453,1.0,200,150.0,1140,342,342,122,0.3567251461988304,0.3567251461988304,GSM5702475,GSM5702475_TD3,MIA,10,0.7,0.75
0.6432748538011696,0.6006432748538012,0.027676262300563477,0.042631578947368354,0.06467661691542288,0.9502487562189055,200,200.0,1140,342,342,122,0.3567251461988304,0.5877192982456141,GSM5702475,GSM5702475_TD3,MIA,10,0.7,1.0
0.8713450292397661,0.8976315789473683,0.02065690603167831,-0.026286549707602247,0.8905472636815921,0.13432835820895522,200,250.0,1140,342,342,122,0.3567251461988304,0.847953216374269,GSM5702475,GSM5702475_TD3,MIA,10,0.7,1.25
0.30526315789473685,0.25182456140350873,0.02203112633559598,0.05343859649122812,0.014925373134328358,0.9950248756218906,200,150.0,1140,285,285,87,0.30526315789473685,0.30526315789473685,GSM5702475,GSM5702475_TD3,MIA,10,0.75,0.75
0.5333333333333333,0.5251754385964912,0.033885673757910614,0.008157894736842142,0.39303482587064675,0.6417910447761194,200,200.0,1140,285,285,87,0.30526315789473685,0.5087719298245614,GSM5702475,GSM5702475_TD3,MIA,10,0.75,1.0
