Cell_type.refined,n_cells,mean_score,median_score,sd_score,score
Myeloid cells,42245,0.06177087,0.0,0.115330644,epithelial_progenitor_like
T/NK cells,64403,0.018654637,0.0,0.053227194,epithelial_progenitor_like
,28437,0.024373796,0.0,0.079067186,epithelial_progenitor_like
B lymphocytes,27657,0.03710794,0.0,0.17847969,proliferating_epithelial
Endothelial cells,2107,0.05074103,0.0,0.1326124,proliferating_epithelial
Epithelial cells,36467,0.15917158,0.0,0.33524022,proliferating_epithelial
Fibroblasts,3794,0.07245429,0.0,0.14880167,proliferating_epithelial
MAST cells,3396,0.017766472,0.0,0.080702856,proliferating_epithelial
Myeloid cells,42245,0.08897815,0.0,0.23560084,proliferating_epithelial
T/NK cells,64403,0.038349584,0.0,0.15328975,proliferating_epithelial
,28437,0.033037696,0.0,0.13924803,proliferating_epithelial
B lymphocytes,27657,0.08581044,0.0,0.15867086,spp1_macrophage
Endothelial cells,2107,0.31546116,0.21972246,0.3358356,spp1_macrophage
Epithelial cells,36467,0.8166496,0.7377759,0.525413,spp1_macrophage
Fibroblasts,3794,0.656131,0.5991465,0.42613947,spp1_macrophage
MAST cells,3396,0.479299,0.43944493,0.29727113,spp1_macrophage
Myeloid cells,42245,1.366499,1.3266637,0.9669079,spp1_macrophage
T/NK cells,64403,0.08117094,0.0,0.1281306,spp1_macrophage
,28437,0.10507547,0.0,0.22564541,spp1_macrophage
B lymphocytes,27657,0.07651989,0.0,0.13775676,c1q_macrophage
Endothelial cells,2107,0.1592543,0.13862944,0.33836216,c1q_macrophage
Epithelial cells,36467,0.19812205,0.13862944,0.30735707,c1q_macrophage
Fibroblasts,3794,0.29237914,0.13862944,0.37211594,c1q_macrophage
MAST cells,3396,0.17209262,0.13862944,0.25234878,c1q_macrophage
Myeloid cells,42245,1.9872267,2.055286,1.3690182,c1q_macrophage
T/NK cells,64403,0.06272005,0.0,0.11469844,c1q_macrophage
,28437,0.07474887,0.0,0.14587995,c1q_macrophage
B lymphocytes,27657,0.1633984,0.13862944,0.19824952,inflammatory_macrophage
Endothelial cells,2107,0.26155084,0.21972246,0.26859337,inflammatory_macrophage
Epithelial cells,36467,0.47574455,0.3583519,0.44054472,inflammatory_macrophage
Fibroblasts,3794,0.3646333,0.32188758,0.32208034,inflammatory_macrophage
MAST cells,3396,0.43037844,0.43944493,0.23575027,inflammatory_macrophage
Myeloid cells,42245,1.2560391,1.1269579,0.91453785,inflammatory_macrophage
T/NK cells,64403,0.1856439,0.13862944,0.20181894,inflammatory_macrophage
,28437,0.20661804,0.13862944,0.23460287,inflammatory_macrophage
B lymphocytes,27657,0.011550737,0.0,0.047267076,resident_macrophage
Endothelial cells,2107,0.06633822,0.0,0.17541604,resident_macrophage
Epithelial cells,36467,0.041696552,0.0,0.115450755,resident_macrophage
Fibroblasts,3794,0.025132589,0.0,0.10412673,resident_macrophage
MAST cells,3396,0.02265064,0.0,0.10741351,resident_macrophage
Myeloid cells,42245,0.69769865,0.5198604,0.6715738,resident_macrophage
T/NK cells,64403,0.009759438,0.0,0.043239634,resident_macrophage
,28437,0.011216373,0.0,0.05182276,resident_macrophage
B lymphocytes,27657,0.04138798,0.023104906,0.044119228,refined_epithelial_progenitor_like
Endothelial cells,2107,0.35228074,0.31565413,0.18292335,refined_epithelial_progenitor_like
Epithelial cells,36467,1.0753596,0.97362846,0.6726896,refined_epithelial_progenitor_like
Fibroblasts,3794,0.2949352,0.2505051,0.21254398,refined_epithelial_progenitor_like
MAST cells,3396,0.037585672,0.023104906,0.04092004,refined_epithelial_progenitor_like
Myeloid cells,42245,0.17570408,0.14606756,0.12971634,refined_epithelial_progenitor_like
T/NK cells,64403,0.02708552,0.023104906,0.033134803,refined_epithelial_progenitor_like
,28437,0.032953765,0.023104906,0.06180976,refined_epithelial_progenitor_like
B lymphocytes,27657,0.15232874,0.117705695,0.22718589,refined_proliferating_epithelial
Endothelial cells,2107,0.27232578,0.22039416,0.21603104,refined_proliferating_epithelial
Epithelial cells,36467,0.5702763,0.43013355,0.5026007,refined_proliferating_epithelial
Fibroblasts,3794,0.3650201,0.34875473,0.21618783,refined_proliferating_epithelial
MAST cells,3396,0.17530005,0.15839504,0.113104776,refined_proliferating_epithelial
Myeloid cells,42245,0.41065076,0.36054936,0.31647542,refined_proliferating_epithelial
T/NK cells,64403,0.14821213,0.12836058,0.16645728,refined_proliferating_epithelial
,28437,0.14101872,0.10705081,0.16697311,refined_proliferating_epithelial
B lymphocytes,27657,0.02139531,0.023901626,0.03156539,refined_spp1_macrophage
Endothelial cells,2107,0.06639409,0.047803253,0.064835206,refined_spp1_macrophage
Epithelial cells,36467,0.27577513,0.24448541,0.18464871,refined_spp1_macrophage
Fibroblasts,3794,0.16661699,0.14747125,0.11820069,refined_spp1_macrophage
