stages,run_id,random_seed,min_abs_correlation,display_rank,broad_class,target_gene,top_impacted_signature,n_present_genes,present_genes,top_signature_mean_impact,top_signature_max_impact,top_signature_sum_impact,top_impacted_genes
"LUAD,MIA",seed23_corr0.03,23,0.03,1,macrophage,TREM2,c1q_macrophage_vs_other_macrophage,20,"RBP4,FABP4,MARCO,CYP27A1,LPL,ACP5,GCHFR,APOC1,GPD1,PPARG,APOE,MCEMP1,FAM89A,GLDN,INHBA,LTA4H,MME,C1QB,SLC19A3,IFI6",0.01724259154526198,0.03083652410303586,0.3448518309052396,"APOE,APOC1,ACP5,CYP27A1,LGALS3"
"LUAD,MIA",seed23_corr0.03,23,0.03,2,macrophage,CD44,c1q_macrophage_vs_other_macrophage,20,"RBP4,FABP4,MARCO,CYP27A1,LPL,ACP5,GCHFR,APOC1,GPD1,PPARG,APOE,MCEMP1,FAM89A,GLDN,INHBA,LTA4H,MME,C1QB,SLC19A3,IFI6",0.016355705413155536,0.024652060068925057,0.3271141082631107,"MARCO,MCEMP1,LTA4H,PPARG,ANXA2"
"LUAD,MIA",seed23_corr0.03,23,0.03,3,macrophage,CD74,c1q_macrophage_vs_other_macrophage,20,"RBP4,FABP4,MARCO,CYP27A1,LPL,ACP5,GCHFR,APOC1,GPD1,PPARG,APOE,MCEMP1,FAM89A,GLDN,INHBA,LTA4H,MME,C1QB,SLC19A3,IFI6",0.01461476918233992,0.03638547016513995,0.2922953836467984,"C1QA,C1QB,C1QC,APOE,ACP5"
"LUAD,MIA",seed23_corr0.03,23,0.03,4,macrophage,PLA2G7,spp1_macrophage_vs_other_macrophage,13,"SPP1,CHIT1,OTOA,HAMP,HBB,ADAMDEC1,SDS,FABP3,TREM2,RAB42,ATP6V0D2,CAMK1,EEPD1",0.014371547533690838,0.029621864010509227,0.1868301179379809,"APOE,ACP5,APOC1,CHIT1,CYP27A1"
"LUAD,MIA",seed23_corr0.03,23,0.03,5,epithelial,MIF,proliferating_epithelial_vs_other_epithelial,20,"PCNA,TOP2A,MKI67,STMN1,CKS1B,TK1,TYMS,UBE2T,DEK,NUCKS1,UBE2C,CARHSP1,HMGB2,HMGB3,SIVA1,MYBL2,ECI1,NUSAP1,TMEM106C,DUT",0.011502605684638503,0.018390760782997832,0.23005211369277007,"MDK,EPCAM,NUCKS1,KRT8,PERP"
"LUAD,MIA",seed23_corr0.03,23,0.03,6,macrophage,CXCR4,spp1_macrophage_vs_other_macrophage,14,"SPP1,CHIT1,OTOA,HAMP,HBB,PLA2G7,ADAMDEC1,SDS,FABP3,TREM2,RAB42,ATP6V0D2,CAMK1,EEPD1",0.009546986127707841,0.027732314985705907,0.13365780578790978,"GPR183,PRDM1,PLA2G7,ADAMDEC1,NFKBIA"
"LUAD,MIA",seed23_corr0.03,23,0.03,7,macrophage,SPP1,spp1_macrophage_vs_other_macrophage,13,"CHIT1,OTOA,HAMP,HBB,PLA2G7,ADAMDEC1,SDS,FABP3,TREM2,RAB42,ATP6V0D2,CAMK1,EEPD1",0.009075269742260146,0.02516274693371402,0.11797850664938189,"MIF,ANXA2,TREM2,G0S2,CAMK1"
"LUAD,MIA",seed23_corr0.05,23,0.05,1,macrophage,CD44,c1q_macrophage_vs_other_macrophage,20,"RBP4,FABP4,MARCO,CYP27A1,LPL,ACP5,GCHFR,APOC1,GPD1,PPARG,APOE,MCEMP1,FAM89A,GLDN,INHBA,LTA4H,MME,C1QB,SLC19A3,IFI6",0.017809081654433415,0.027054855614887966,0.3561816330886683,"MARCO,MCEMP1,LTA4H,PPARG,ANXA2"
"LUAD,MIA",seed23_corr0.05,23,0.05,2,macrophage,TREM2,c1q_macrophage_vs_other_macrophage,20,"RBP4,FABP4,MARCO,CYP27A1,LPL,ACP5,GCHFR,APOC1,GPD1,PPARG,APOE,MCEMP1,FAM89A,GLDN,INHBA,LTA4H,MME,C1QB,SLC19A3,IFI6",0.0177925102451647,0.032217705212793435,0.35585020490329394,"APOE,APOC1,ACP5,CYP27A1,LGALS3"
"LUAD,MIA",seed23_corr0.05,23,0.05,3,macrophage,PLA2G7,spp1_macrophage_vs_other_macrophage,12,"SPP1,CHIT1,OTOA,HAMP,ADAMDEC1,SDS,FABP3,TREM2,RAB42,ATP6V0D2,CAMK1,EEPD1",0.016818920717213293,0.03207802350910882,0.2018270486065595,"APOE,ACP5,APOC1,CHIT1,CYP27A1"
