sample,sample_name,stage,broad_class,n_cells,denominator,fraction
GSM5699777,GSM5699777_TD1,IAC,ambiguous,248,15216,0.01629863301787592
GSM5699777,GSM5699777_TD1,IAC,b_plasma,1584,15216,0.10410094637223975
GSM5699777,GSM5699777_TD1,IAC,dendritic,26,15216,0.0017087276550998948
GSM5699777,GSM5699777_TD1,IAC,endothelial,104,15216,0.006834910620399579
GSM5699777,GSM5699777_TD1,IAC,epithelial,2064,15216,0.13564668769716087
GSM5699777,GSM5699777_TD1,IAC,fibroblast,313,15216,0.020570452155625658
GSM5699777,GSM5699777_TD1,IAC,macrophage,1111,15216,0.07301524710830705
GSM5699777,GSM5699777_TD1,IAC,mast_cell,469,15216,0.030822818086225025
GSM5699777,GSM5699777_TD1,IAC,neutrophil,84,15216,0.005520504731861199
GSM5699777,GSM5699777_TD1,IAC,t_nk,9122,15216,0.5995005257623555
GSM5699777,GSM5699777_TD1,IAC,unassigned,91,15216,0.005980546792849632
GSM5699778,GSM5699778_TD2,IAC,ambiguous,476,18064,0.026350752878653676
GSM5699778,GSM5699778_TD2,IAC,b_plasma,1536,18064,0.08503100088573959
GSM5699778,GSM5699778_TD2,IAC,dendritic,139,18064,0.007694862710363153
GSM5699778,GSM5699778_TD2,IAC,endothelial,100,18064,0.005535872453498672
GSM5699778,GSM5699778_TD2,IAC,epithelial,936,18064,0.05181576616474756
GSM5699778,GSM5699778_TD2,IAC,fibroblast,114,18064,0.006310894596988486
GSM5699778,GSM5699778_TD2,IAC,macrophage,2613,18064,0.1446523472099203
GSM5699778,GSM5699778_TD2,IAC,mast_cell,402,18064,0.02225420726306466
GSM5699778,GSM5699778_TD2,IAC,neutrophil,1439,18064,0.07966120460584589
GSM5699778,GSM5699778_TD2,IAC,t_nk,10264,18064,0.5682019486271036
GSM5699778,GSM5699778_TD2,IAC,unassigned,45,18064,0.002491142604074402
GSM5699779,GSM5699779_TD3,MIA,ambiguous,253,12658,0.019987359772475906
GSM5699779,GSM5699779_TD3,MIA,b_plasma,2114,12658,0.16700900616211092
GSM5699779,GSM5699779_TD3,MIA,dendritic,71,12658,0.0056091009638173485
GSM5699779,GSM5699779_TD3,MIA,endothelial,2314,12658,0.18280929056723022
GSM5699779,GSM5699779_TD3,MIA,epithelial,605,12658,0.047795860325485856
GSM5699779,GSM5699779_TD3,MIA,fibroblast,407,12658,0.03215357876441776
GSM5699779,GSM5699779_TD3,MIA,macrophage,1363,12658,0.10767893822088798
GSM5699779,GSM5699779_TD3,MIA,mast_cell,399,12658,0.03152156738821299
GSM5699779,GSM5699779_TD3,MIA,neutrophil,243,12658,0.01919734555221994
GSM5699779,GSM5699779_TD3,MIA,t_nk,4865,12658,0.3843419181545268
