stage,macrophage_state,n_samples,mean_fraction,sd_fraction,total_cells
Adjacent,ambiguous_macrophage,30,0.04511085484391117,0.021740601515690253,1778
Adjacent,c1q_macrophage,30,0.6876674670036879,0.14761689054524074,31251
Adjacent,inflammatory_macrophage,30,0.21662791835159034,0.13418979204599274,7439
Adjacent,other_macrophage,29,0.007565134008777214,0.006085570113016355,266
Adjacent,resident_macrophage,29,0.007948997783491344,0.0047127186866089445,348
Adjacent,spp1_macrophage,30,0.03559676573495108,0.025134434768404216,1373
Tumor,ambiguous_macrophage,26,0.048487301212782045,0.02401063913994397,1405
Tumor,c1q_macrophage,26,0.6113972382020154,0.17689089325520838,21292
Tumor,inflammatory_macrophage,26,0.2570435929478455,0.1409019723203418,6383
Tumor,other_macrophage,24,0.01063813275053785,0.011763252997006732,199
Tumor,resident_macrophage,23,0.010905722064425454,0.008045154942057302,299
Tumor,spp1_macrophage,26,0.0636046832721765,0.07390870847402095,1899
