Sample_Origin,n_cells,mean_score,median_score,sd_score,score
PE,20304,0.15360162,0.0,0.48408863,c1q_macrophage
mBrain,29060,0.5284835,0.13862944,0.95612586,c1q_macrophage
mLN,21479,0.54840136,0.13862944,0.9979365,c1q_macrophage
nLN,37446,0.057253078,0.0,0.28336096,c1q_macrophage
nLung,42995,0.9944454,0.27725887,1.3338871,c1q_macrophage
tL/B,12073,0.2274814,0.0,0.6123099,c1q_macrophage
tLung,45149,0.52235585,0.13862944,1.0258092,c1q_macrophage
PE,20304,0.26023814,0.13862944,0.34636495,inflammatory_macrophage
mBrain,29060,0.5873857,0.38918203,0.64820254,inflammatory_macrophage
mLN,21479,0.6998137,0.27725887,0.9422738,inflammatory_macrophage
nLN,37446,0.13730958,0.0,0.24906889,inflammatory_macrophage
nLung,42995,0.6117326,0.3583519,0.6649402,inflammatory_macrophage
tL/B,12073,0.4473345,0.27725887,0.57329136,inflammatory_macrophage
tLung,45149,0.48569727,0.27725887,0.63091046,inflammatory_macrophage
PE,20304,0.05812821,0.0,0.17796867,resident_macrophage
mBrain,29060,0.08076995,0.0,0.2250855,resident_macrophage
mLN,21479,0.1208449,0.0,0.30040905,resident_macrophage
nLN,37446,0.010448603,0.0,0.08344771,resident_macrophage
nLung,42995,0.4310386,0.0,0.661882,resident_macrophage
tL/B,12073,0.06251814,0.0,0.20090377,resident_macrophage
tLung,45149,0.14999782,0.0,0.40300757,resident_macrophage
PE,20304,0.06899475,0.023104906,0.23632906,refined_epithelial_progenitor_like
mBrain,29060,0.60978615,0.2982125,0.6758081,refined_epithelial_progenitor_like
mLN,21479,0.2616119,0.059725318,0.5461387,refined_epithelial_progenitor_like
nLN,37446,0.019393973,0.0,0.037587006,refined_epithelial_progenitor_like
nLung,42995,0.1638596,0.06931472,0.22295971,refined_epithelial_progenitor_like
tL/B,12073,0.69021815,0.40807372,0.7333011,refined_epithelial_progenitor_like
tLung,45149,0.25710443,0.06931472,0.47341654,refined_epithelial_progenitor_like
PE,20304,0.22047803,0.15839504,0.25093547,refined_proliferating_epithelial
mBrain,29060,0.44097617,0.28826755,0.44628334,refined_proliferating_epithelial
mLN,21479,0.33811867,0.17341226,0.4366503,refined_proliferating_epithelial
nLN,37446,0.13649924,0.10268847,0.173963,refined_proliferating_epithelial
nLung,42995,0.27671555,0.18084452,0.26252672,refined_proliferating_epithelial
