sample,sample_name,stage,epithelial_state,n_cells,denominator,fraction
GSM5019517,GSM5019517_WYH-A,Adjacent,at2_mature_like,75,459,0.16339869281045752
GSM5019517,GSM5019517_WYH-A,Adjacent,other_epithelial,220,459,0.4793028322440087
GSM5019517,GSM5019517_WYH-A,Adjacent,progenitor_like,55,459,0.11982570806100218
GSM5019517,GSM5019517_WYH-A,Adjacent,proliferating_epithelial,109,459,0.2374727668845316
GSM5019518,GSM5019518_WYH-T,Tumor,at2_mature_like,189,1179,0.16030534351145037
GSM5019518,GSM5019518_WYH-T,Tumor,other_epithelial,556,1179,0.4715860899067006
GSM5019518,GSM5019518_WYH-T,Tumor,progenitor_like,139,1179,0.11789652247667515
GSM5019518,GSM5019518_WYH-T,Tumor,proliferating_epithelial,295,1179,0.2502120441051739
GSM5019519,GSM5019519_WYQ-A,Adjacent,at2_mature_like,131,605,0.21652892561983472
GSM5019519,GSM5019519_WYQ-A,Adjacent,other_epithelial,279,605,0.46115702479338844
GSM5019519,GSM5019519_WYQ-A,Adjacent,progenitor_like,114,605,0.1884297520661157
GSM5019519,GSM5019519_WYQ-A,Adjacent,proliferating_epithelial,81,605,0.13388429752066117
GSM5019520,GSM5019520_WYQ-T,Tumor,at2_mature_like,236,1149,0.20539599651871193
GSM5019520,GSM5019520_WYQ-T,Tumor,other_epithelial,486,1149,0.42297650130548303
GSM5019520,GSM5019520_WYQ-T,Tumor,progenitor_like,174,1149,0.1514360313315927
GSM5019520,GSM5019520_WYQ-T,Tumor,proliferating_epithelial,253,1149,0.22019147084421237
GSM5019521,GSM5019521_ZJ-A2,Adjacent,at2_mature_like,291,1403,0.2074126870990734
GSM5019521,GSM5019521_ZJ-A2,Adjacent,other_epithelial,731,1403,0.5210263720598717
GSM5019521,GSM5019521_ZJ-A2,Adjacent,progenitor_like,163,1403,0.11617961511047754
GSM5019521,GSM5019521_ZJ-A2,Adjacent,proliferating_epithelial,218,1403,0.15538132573057734
GSM5019522,GSM5019522_ZJ-T2,Tumor,at2_mature_like,842,4367,0.19280970918250515
GSM5019522,GSM5019522_ZJ-T2,Tumor,other_epithelial,2043,4367,0.4678268834440119
GSM5019522,GSM5019522_ZJ-T2,Tumor,progenitor_like,397,4367,0.09090909090909091
GSM5019522,GSM5019522_ZJ-T2,Tumor,proliferating_epithelial,1085,4367,0.24845431646439203
GSM5019523,GSM5019523_ZQM-A,Adjacent,at2_mature_like,105,722,0.14542936288088643
GSM5019523,GSM5019523_ZQM-A,Adjacent,other_epithelial,354,722,0.4903047091412742
GSM5019523,GSM5019523_ZQM-A,Adjacent,progenitor_like,96,722,0.1329639889196676
GSM5019523,GSM5019523_ZQM-A,Adjacent,proliferating_epithelial,167,722,0.23130193905817176
GSM5019524,GSM5019524_ZQM-T,Tumor,at2_mature_like,129,890,0.1449438202247191
GSM5019524,GSM5019524_ZQM-T,Tumor,other_epithelial,464,890,0.5213483146067416
GSM5019524,GSM5019524_ZQM-T,Tumor,progenitor_like,88,890,0.09887640449438202
GSM5019524,GSM5019524_ZQM-T,Tumor,proliferating_epithelial,209,890,0.2348314606741573
GSM5019525,GSM5019525_ZST-A,Adjacent,at2_mature_like,28,150,0.18666666666666668
GSM5019525,GSM5019525_ZST-A,Adjacent,other_epithelial,66,150,0.44
GSM5019525,GSM5019525_ZST-A,Adjacent,progenitor_like,28,150,0.18666666666666668
GSM5019525,GSM5019525_ZST-A,Adjacent,proliferating_epithelial,28,150,0.18666666666666668
GSM5019526,GSM5019526_ZST-T,Tumor,at2_mature_like,347,2025,0.17135802469135802
GSM5019526,GSM5019526_ZST-T,Tumor,other_epithelial,920,2025,0.454320987654321
GSM5019526,GSM5019526_ZST-T,Tumor,progenitor_like,252,2025,0.12444444444444444
GSM5019526,GSM5019526_ZST-T,Tumor,proliferating_epithelial,506,2025,0.24987654320987654
GSM5019527,GSM5019527_HP-A,Adjacent,at2_mature_like,100,450,0.2222222222222222
GSM5019527,GSM5019527_HP-A,Adjacent,other_epithelial,205,450,0.45555555555555555
GSM5019527,GSM5019527_HP-A,Adjacent,progenitor_like,86,450,0.19111111111111112
GSM5019527,GSM5019527_HP-A,Adjacent,proliferating_epithelial,59,450,0.13111111111111112
GSM5019528,GSM5019528_HP-T,Tumor,at2_mature_like,245,1205,0.2033195020746888
GSM5019528,GSM5019528_HP-T,Tumor,other_epithelial,545,1205,0.45228215767634855
GSM5019528,GSM5019528_HP-T,Tumor,progenitor_like,171,1205,0.14190871369294605
GSM5019528,GSM5019528_HP-T,Tumor,proliferating_epithelial,244,1205,0.2024896265560166
GSM5019529,GSM5019529_JGH-A,Adjacent,at2_mature_like,92,425,0.2164705882352941
GSM5019529,GSM5019529_JGH-A,Adjacent,other_epithelial,199,425,0.4682352941176471
GSM5019529,GSM5019529_JGH-A,Adjacent,progenitor_like,66,425,0.15529411764705883
GSM5019529,GSM5019529_JGH-A,Adjacent,proliferating_epithelial,68,425,0.16
GSM5019533,GSM5019533_LXZ-A,Adjacent,at2_mature_like,48,236,0.2033898305084746
GSM5019533,GSM5019533_LXZ-A,Adjacent,other_epithelial,97,236,0.4110169491525424
GSM5019533,GSM5019533_LXZ-A,Adjacent,progenitor_like,46,236,0.19491525423728814
GSM5019533,GSM5019533_LXZ-A,Adjacent,proliferating_epithelial,45,236,0.1906779661016949
GSM5019535,GSM5019535_LYH-A,Adjacent,at2_mature_like,167,872,0.1915137614678899
GSM5019535,GSM5019535_LYH-A,Adjacent,other_epithelial,434,872,0.49770642201834864
GSM5019535,GSM5019535_LYH-A,Adjacent,progenitor_like,128,872,0.14678899082568808
GSM5019535,GSM5019535_LYH-A,Adjacent,proliferating_epithelial,143,872,0.16399082568807338
GSM5019536,GSM5019536_LYH-T,Tumor,at2_mature_like,127,583,0.21783876500857632
GSM5019536,GSM5019536_LYH-T,Tumor,other_epithelial,282,583,0.483704974271012
GSM5019536,GSM5019536_LYH-T,Tumor,progenitor_like,80,583,0.137221269296741
GSM5019536,GSM5019536_LYH-T,Tumor,proliferating_epithelial,94,583,0.16123499142367068
GSM5019537,GSM5019537_SDY-A,Adjacent,at2_mature_like,135,568,0.23767605633802816
GSM5019537,GSM5019537_SDY-A,Adjacent,other_epithelial,267,568,0.47007042253521125
GSM5019537,GSM5019537_SDY-A,Adjacent,progenitor_like,101,568,0.17781690140845072
GSM5019537,GSM5019537_SDY-A,Adjacent,proliferating_epithelial,65,568,0.11443661971830986
GSM5019538,GSM5019538_SDY-T,Tumor,at2_mature_like,92,424,0.2169811320754717
GSM5019538,GSM5019538_SDY-T,Tumor,other_epithelial,183,424,0.43160377358490565
GSM5019538,GSM5019538_SDY-T,Tumor,progenitor_like,73,424,0.1721698113207547
GSM5019538,GSM5019538_SDY-T,Tumor,proliferating_epithelial,76,424,0.1792452830188679
GSM5019539,GSM5019539_XYJ-A,Adjacent,at2_mature_like,112,566,0.1978798586572438
GSM5019539,GSM5019539_XYJ-A,Adjacent,other_epithelial,299,566,0.5282685512367491
GSM5019539,GSM5019539_XYJ-A,Adjacent,progenitor_like,78,566,0.13780918727915195
GSM5019539,GSM5019539_XYJ-A,Adjacent,proliferating_epithelial,77,566,0.13604240282685512
GSM5019540,GSM5019540_XYJ-T,Tumor,at2_mature_like,27,131,0.20610687022900764
GSM5019540,GSM5019540_XYJ-T,Tumor,other_epithelial,58,131,0.44274809160305345
GSM5019540,GSM5019540_XYJ-T,Tumor,progenitor_like,23,131,0.17557251908396945
GSM5019540,GSM5019540_XYJ-T,Tumor,proliferating_epithelial,23,131,0.17557251908396945
GSM5019541,GSM5019541_ZHQ-A,Adjacent,at2_mature_like,57,280,0.20357142857142857
GSM5019541,GSM5019541_ZHQ-A,Adjacent,other_epithelial,135,280,0.48214285714285715
GSM5019541,GSM5019541_ZHQ-A,Adjacent,progenitor_like,53,280,0.18928571428571428
GSM5019541,GSM5019541_ZHQ-A,Adjacent,proliferating_epithelial,35,280,0.125
GSM5019542,GSM5019542_ZHQ-T,Tumor,at2_mature_like,431,2333,0.18474067723960566
GSM5019542,GSM5019542_ZHQ-T,Tumor,other_epithelial,1061,2333,0.4547792541791685
GSM5019542,GSM5019542_ZHQ-T,Tumor,progenitor_like,299,2333,0.12816116588084012
GSM5019542,GSM5019542_ZHQ-T,Tumor,proliferating_epithelial,542,2333,0.23231890270038577
