observed_fraction,null_mean,null_sd,enrichment_delta,empirical_p_greater,empirical_p_less,n_permutations,radius,status,sample,sample_name,stage,source,target,quantile,radius_multiplier,n_spots,n_source_high,n_target_high,n_overlap_high,overlap_fraction_of_source,target_to_source_fraction
0.5461309523809523,0.38175000000000003,0.008313541569659086,0.1643809523809523,0.009900990099009901,1.0,100,395.32391781929914,ok,GSM9226190,P10_LUAD,LUAD,epithelial_progenitor_like,spp1_macrophage,0.75,1.0,13441,3360,3360,1494,0.4446428571428571,0.5264880952380953
0.5729166666666666,0.381125,0.007730018076980246,0.19179166666666664,0.009900990099009901,1.0,100,395.32391781929914,ok,GSM9226190,P10_LUAD,LUAD,epithelial_progenitor_like,c1q_macrophage,0.75,1.0,13441,3360,3360,1640,0.4880952380952381,0.5491071428571429
0.6303571428571428,0.3805208333333332,0.007435288595611764,0.24983630952380964,0.009900990099009901,1.0,100,395.32391781929914,ok,GSM9226190,P10_LUAD,LUAD,epithelial_progenitor_like,inflammatory_macrophage,0.75,1.0,13441,3360,3360,1805,0.5372023809523809,0.6226190476190476
0.4726190476190476,0.3819553571428571,0.008016892584245011,0.0906636904761905,0.009900990099009901,1.0,100,395.32391781929914,ok,GSM9226190,P10_LUAD,LUAD,epithelial_progenitor_like,resident_macrophage,0.75,1.0,13441,3360,3360,1206,0.35892857142857143,0.4419642857142857
0.4295566502463054,0.410512315270936,0.009608649934743115,0.019044334975369392,0.019801980198019802,0.9900990099009901,100,395.2176615486712,ok,GSM9226189,P10_MIA,MIA,epithelial_progenitor_like,spp1_macrophage,0.75,1.0,12180,3045,3045,882,0.2896551724137931,0.3931034482758621
0.3471264367816092,0.4076288998357964,0.008830967248498224,-0.06050246305418722,1.0,0.009900990099009901,100,395.2176615486712,ok,GSM9226189,P10_MIA,MIA,epithelial_progenitor_like,c1q_macrophage,0.75,1.0,12180,3045,3045,793,0.26042692939244666,0.34679802955665023
0.38883415435139573,0.40740886699507395,0.009222530516168352,-0.018574712643678215,0.9801980198019802,0.0297029702970297,100,395.2176615486712,ok,GSM9226189,P10_MIA,MIA,epithelial_progenitor_like,inflammatory_macrophage,0.75,1.0,12180,3045,3045,839,0.27553366174055827,0.3619047619047619
0.4233169129720854,0.4099376026272578,0.008430943491834922,0.013379310344827589,0.09900990099009901,0.9108910891089109,100,395.2176615486712,ok,GSM9226189,P10_MIA,MIA,epithelial_progenitor_like,resident_macrophage,0.75,1.0,12180,3045,3045,860,0.2824302134646962,0.386863711001642
0.48060029282576866,0.35736822840409954,0.008488946693155268,0.12323206442166912,0.009900990099009901,1.0,100,395.42508772206145,ok,GSM9226191,P11_AAH,AAH,epithelial_progenitor_like,spp1_macrophage,0.75,1.0,10928,2732,2732,1072,0.3923865300146413,0.45497803806734993
0.5043923865300146,0.35915812591508056,0.00872783195951729,0.14523426061493405,0.009900990099009901,1.0,100,395.42508772206145,ok,GSM9226191,P11_AAH,AAH,epithelial_progenitor_like,c1q_macrophage,0.75,1.0,10928,2732,2732,1203,0.4403367496339678,0.5142752562225475
0.5259882869692533,0.35814421669106894,0.009203138726707008,0.16784407027818432,0.009900990099009901,1.0,100,395.42508772206145,ok,GSM9226191,P11_AAH,AAH,epithelial_progenitor_like,inflammatory_macrophage,0.75,1.0,10928,2732,2732,1174,0.42972181551976574,0.49890190336749635
0.4443631039531479,0.3597584187408492,0.00963541052524818,0.08460468521229869,0.009900990099009901,1.0,100,395.42508772206145,ok,GSM9226191,P11_AAH,AAH,epithelial_progenitor_like,resident_macrophage,0.75,1.0,10928,2732,2732,909,0.3327232796486091,0.40666178623718885
0.5140725669718549,0.48172261783655473,0.009962742612473915,0.03234994913530015,0.009900990099009901,1.0,100,395.5477215204254,ok,GSM9226192,P11_LUAD,LUAD,epithelial_progenitor_like,spp1_macrophage,0.75,1.0,11794,2949,2949,1195,0.40522210918955576,0.4869447270261105
0.46965072906069855,0.48006103763987795,0.011015216423452009,-0.010410308579179406,0.801980198019802,0.21782178217821782,100,395.5477215204254,ok,GSM9226192,P11_LUAD,LUAD,epithelial_progenitor_like,c1q_macrophage,0.75,1.0,11794,2949,2949,1203,0.40793489318413023,0.48796202102407593
0.626314004747372,0.4828518141742964,0.009660672372731141,0.14346219057307558,0.009900990099009901,1.0,100,395.5477215204254,ok,GSM9226192,P11_LUAD,LUAD,epithelial_progenitor_like,inflammatory_macrophage,0.75,1.0,11794,2949,2949,1458,0.49440488301119023,0.5893523228212953
0.4821973550356053,0.48287555103424884,0.011361993826286465,-0.0006781959986435493,0.504950495049505,0.5247524752475248,100,395.5477215204254,ok,GSM9226192,P11_LUAD,LUAD,epithelial_progenitor_like,resident_macrophage,0.75,1.0,11794,2949,2949,824,0.2794167514411665,0.3669040352661919
0.5741873189571934,0.433839716768587,0.009322132164194254,0.14034760218860642,0.009900990099009901,1.0,100,395.5477215204254,ok,GSM9226193,P12_AIS,AIS,epithelial_progenitor_like,spp1_macrophage,0.75,1.0,12427,3107,3107,1203,0.3871902156420985,0.49468941100740266
0.5973607981976183,0.4364628258770519,0.008484689782263046,0.16089797232056646,0.009900990099009901,1.0,100,395.5477215204254,ok,GSM9226193,P12_AIS,AIS,epithelial_progenitor_like,c1q_macrophage,0.75,1.0,12427,3107,3107,1485,0.47795300933376245,0.5796588348889604
