broad_class,target_gene,n_runs,median_rank,mean_rank,rank_min,rank_max,rank_iqr,top_signature_mode,top_signature_mode_fraction,n_unique_top_signatures,median_top_signature_mean_impact
macrophage,CD44,9,2.0,1.5555555555555556,1,2,1.0,c1q_macrophage_vs_other_macrophage,1.0,1,0.017809081654433415
macrophage,TREM2,9,2.0,1.8888888888888888,1,3,2.0,c1q_macrophage_vs_other_macrophage,1.0,1,0.0177925102451647
macrophage,PLA2G7,9,3.0,2.7777777777777777,1,4,1.0,spp1_macrophage_vs_other_macrophage,1.0,1,0.0164963542969632
macrophage,CD74,9,4.0,3.888888888888889,3,5,0.0,c1q_macrophage_vs_other_macrophage,1.0,1,0.015084327227737499
epithelial,MIF,9,5.0,5.444444444444445,5,6,1.0,proliferating_epithelial_vs_other_epithelial,1.0,1,0.012472313350080968
macrophage,CXCR4,9,6.0,6.333333333333333,5,7,1.0,spp1_macrophage_vs_other_macrophage,1.0,1,0.011299209574409453
macrophage,SPP1,9,7.0,6.111111111111111,4,7,2.0,spp1_macrophage_vs_other_macrophage,1.0,1,0.010653636417135869
