stage,n_samples,observed_fraction_mean,observed_fraction_sd,null_mean_mean,enrichment_delta_mean,enrichment_delta_sd,empirical_p_greater_median,empirical_p_less_median
AIS,2,0.346978609626,0.081411812829,0.563719652406,-0.216741042781,0.086832901796,1.0,0.001996007984
MIA,2,0.393902701539,0.011225729225,0.552942503498,-0.159039801959,0.027640896166,1.0,0.001996007984
IAC,2,0.33788354846,0.158812804442,0.569640610847,-0.231757062387,0.122029461156,1.0,0.001996007984
