stages,broad_class,target_gene,top_impacted_signature,n_present_genes,present_genes,top_signature_mean_impact,top_signature_max_impact,top_signature_sum_impact,top_impacted_genes
"LUAD,MIA",macrophage,CD44,c1q_macrophage_vs_other_macrophage,20,"RBP4,FABP4,MARCO,CYP27A1,LPL,ACP5,GCHFR,APOC1,GPD1,PPARG,APOE,MCEMP1,FAM89A,GLDN,INHBA,LTA4H,MME,C1QB,SLC19A3,IFI6",0.017735696171032975,0.025789596132008152,0.3547139234206595,"MARCO,MCEMP1,INHBA,LTA4H,PPARG"
"LUAD,MIA",macrophage,TREM2,c1q_macrophage_vs_other_macrophage,20,"RBP4,FABP4,MARCO,CYP27A1,LPL,ACP5,GCHFR,APOC1,GPD1,PPARG,APOE,MCEMP1,FAM89A,GLDN,INHBA,LTA4H,MME,C1QB,SLC19A3,IFI6",0.01772592739353079,0.031613141905500325,0.3545185478706158,"APOE,APOC1,ACP5,CYP27A1,LGALS3"
"LUAD,MIA",macrophage,PLA2G7,spp1_macrophage_vs_other_macrophage,12,"SPP1,CHIT1,OTOA,HAMP,ADAMDEC1,SDS,FABP3,TREM2,RAB42,ATP6V0D2,CAMK1,EEPD1",0.0164963542969632,0.03183431493300493,0.1979562515635584,"APOE,ACP5,APOC1,CHIT1,CYP27A1"
"LUAD,MIA",macrophage,CD74,c1q_macrophage_vs_other_macrophage,20,"RBP4,FABP4,MARCO,CYP27A1,LPL,ACP5,GCHFR,APOC1,GPD1,PPARG,APOE,MCEMP1,FAM89A,GLDN,INHBA,LTA4H,MME,C1QB,SLC19A3,IFI6",0.015084327227737499,0.03835327214782886,0.30168654455474997,"C1QA,C1QB,C1QC,APOE,ACP5"
"LUAD,MIA",epithelial,MIF,proliferating_epithelial_vs_other_epithelial,20,"PCNA,TOP2A,MKI67,STMN1,CKS1B,TK1,TYMS,UBE2T,DEK,NUCKS1,UBE2C,CARHSP1,HMGB2,HMGB3,SIVA1,MYBL2,ECI1,NUSAP1,TMEM106C,DUT",0.012472313350080968,0.019071199215542574,0.24944626700161937,"MDK,EPCAM,KRT8,CD24,PERP"
"LUAD,MIA",macrophage,CXCR4,spp1_macrophage_vs_other_macrophage,13,"SPP1,CHIT1,OTOA,HAMP,PLA2G7,ADAMDEC1,SDS,FABP3,TREM2,RAB42,ATP6V0D2,CAMK1,EEPD1",0.012101285284051473,0.03915599366940935,0.15731670869266914,"PRDM1,GPR183,ADAMDEC1,PLA2G7,APOE"
"LUAD,MIA",macrophage,SPP1,spp1_macrophage_vs_other_macrophage,12,"CHIT1,OTOA,HAMP,PLA2G7,ADAMDEC1,SDS,FABP3,TREM2,RAB42,ATP6V0D2,CAMK1,EEPD1",0.010222136628952027,0.03500079222431019,0.12266563954742432,"MIF,ANXA2,TREM2,G0S2,CAMK1"
