sample,sample_name,stage,macrophage_state,n_cells,denominator,fraction
GSM9237952,P19_Normal,Normal,spp1_macrophage,10,554,0.018050541516245487
GSM9237953,P19_AIS,AIS,ambiguous_macrophage,61,1488,0.04099462365591398
GSM9237953,P19_AIS,AIS,c1q_macrophage,1224,1488,0.8225806451612904
GSM9237953,P19_AIS,AIS,inflammatory_macrophage,18,1488,0.012096774193548387
GSM9237953,P19_AIS,AIS,other_macrophage,5,1488,0.003360215053763441
GSM9237953,P19_AIS,AIS,resident_macrophage,79,1488,0.05309139784946237
GSM9237953,P19_AIS,AIS,spp1_macrophage,101,1488,0.0678763440860215
GSM9237954,P19_LUAD,LUAD,ambiguous_macrophage,34,1606,0.021170610211706103
GSM9237954,P19_LUAD,LUAD,c1q_macrophage,1430,1606,0.8904109589041096
GSM9237954,P19_LUAD,LUAD,inflammatory_macrophage,24,1606,0.014943960149439602
GSM9237954,P19_LUAD,LUAD,other_macrophage,4,1606,0.0024906600249066002
GSM9237954,P19_LUAD,LUAD,resident_macrophage,55,1606,0.03424657534246575
GSM9237954,P19_LUAD,LUAD,spp1_macrophage,59,1606,0.036737235367372355
GSM9237955,P20_Normal,Normal,ambiguous_macrophage,10,215,0.046511627906976744
GSM9237955,P20_Normal,Normal,c1q_macrophage,172,215,0.8
GSM9237955,P20_Normal,Normal,inflammatory_macrophage,8,215,0.037209302325581395
GSM9237955,P20_Normal,Normal,other_macrophage,2,215,0.009302325581395349
GSM9237955,P20_Normal,Normal,resident_macrophage,9,215,0.04186046511627907
GSM9237955,P20_Normal,Normal,spp1_macrophage,14,215,0.06511627906976744
GSM9237956,P20_AAH,AAH,ambiguous_macrophage,42,973,0.04316546762589928
GSM9237956,P20_AAH,AAH,c1q_macrophage,819,973,0.841726618705036
GSM9237956,P20_AAH,AAH,inflammatory_macrophage,12,973,0.012332990750256937
GSM9237956,P20_AAH,AAH,other_macrophage,10,973,0.010277492291880781
GSM9237956,P20_AAH,AAH,resident_macrophage,58,973,0.05960945529290853
GSM9237956,P20_AAH,AAH,spp1_macrophage,32,973,0.0328879753340185
GSM9237957,P20_LUAD,LUAD,ambiguous_macrophage,41,1034,0.039651837524177946
GSM9237957,P20_LUAD,LUAD,c1q_macrophage,840,1034,0.8123791102514507
GSM9237957,P20_LUAD,LUAD,inflammatory_macrophage,16,1034,0.015473887814313346
GSM9237957,P20_LUAD,LUAD,other_macrophage,7,1034,0.006769825918762089
GSM9237957,P20_LUAD,LUAD,resident_macrophage,32,1034,0.030947775628626693
GSM9237957,P20_LUAD,LUAD,spp1_macrophage,98,1034,0.09477756286266925
GSM9237958,P21_Normal,Normal,ambiguous_macrophage,17,489,0.034764826175869123
GSM9237958,P21_Normal,Normal,c1q_macrophage,417,489,0.852760736196319
GSM9237958,P21_Normal,Normal,inflammatory_macrophage,18,489,0.03680981595092025
GSM9237958,P21_Normal,Normal,resident_macrophage,21,489,0.04294478527607362
GSM9237958,P21_Normal,Normal,spp1_macrophage,16,489,0.032719836400818
GSM9237959,P21_AIS,AIS,ambiguous_macrophage,41,1458,0.028120713305898493
GSM9237959,P21_AIS,AIS,c1q_macrophage,1307,1458,0.8964334705075446
GSM9237959,P21_AIS,AIS,inflammatory_macrophage,9,1458,0.006172839506172839
GSM9237959,P21_AIS,AIS,other_macrophage,5,1458,0.003429355281207133
GSM9237959,P21_AIS,AIS,resident_macrophage,54,1458,0.037037037037037035
GSM9237959,P21_AIS,AIS,spp1_macrophage,42,1458,0.02880658436213992
GSM9237960,P21_AIS1,AIS,ambiguous_macrophage,29,1144,0.025349650349650348
GSM9237960,P21_AIS1,AIS,c1q_macrophage,1007,1144,0.8802447552447552
GSM9237960,P21_AIS1,AIS,inflammatory_macrophage,14,1144,0.012237762237762238
GSM9237960,P21_AIS1,AIS,other_macrophage,6,1144,0.005244755244755245
GSM9237960,P21_AIS1,AIS,resident_macrophage,29,1144,0.025349650349650348
GSM9237960,P21_AIS1,AIS,spp1_macrophage,59,1144,0.051573426573426576
GSM9237961,P21_LUAD,LUAD,ambiguous_macrophage,15,436,0.034403669724770644
GSM9237961,P21_LUAD,LUAD,c1q_macrophage,338,436,0.7752293577981652
GSM9237961,P21_LUAD,LUAD,inflammatory_macrophage,3,436,0.006880733944954129
GSM9237961,P21_LUAD,LUAD,other_macrophage,3,436,0.006880733944954129
GSM9237961,P21_LUAD,LUAD,resident_macrophage,13,436,0.02981651376146789
GSM9237961,P21_LUAD,LUAD,spp1_macrophage,64,436,0.14678899082568808
GSM9237962,P22_Normal,Normal,ambiguous_macrophage,8,393,0.020356234096692113
GSM9237962,P22_Normal,Normal,c1q_macrophage,359,393,0.9134860050890585
GSM9237962,P22_Normal,Normal,inflammatory_macrophage,3,393,0.007633587786259542
GSM9237962,P22_Normal,Normal,other_macrophage,2,393,0.005089058524173028
GSM9237962,P22_Normal,Normal,resident_macrophage,18,393,0.04580152671755725
GSM9237962,P22_Normal,Normal,spp1_macrophage,3,393,0.007633587786259542
GSM9237963,P22_AAH,AAH,ambiguous_macrophage,8,651,0.01228878648233487
GSM9237963,P22_AAH,AAH,c1q_macrophage,599,651,0.9201228878648233
GSM9237963,P22_AAH,AAH,inflammatory_macrophage,6,651,0.009216589861751152
GSM9237963,P22_AAH,AAH,other_macrophage,5,651,0.007680491551459293
GSM9237963,P22_AAH,AAH,resident_macrophage,18,651,0.027649769585253458
GSM9237963,P22_AAH,AAH,spp1_macrophage,15,651,0.02304147465437788
GSM9237964,P22_AIS,AIS,ambiguous_macrophage,10,827,0.012091898428053204
GSM9237964,P22_AIS,AIS,c1q_macrophage,760,827,0.9189842805320435
GSM9237964,P22_AIS,AIS,inflammatory_macrophage,17,827,0.020556227327690448
GSM9237964,P22_AIS,AIS,other_macrophage,2,827,0.0024183796856106408
GSM9237964,P22_AIS,AIS,resident_macrophage,15,827,0.018137847642079808
GSM9237964,P22_AIS,AIS,spp1_macrophage,23,827,0.02781136638452237
GSM9237965,P22_LUAD,LUAD,ambiguous_macrophage,17,912,0.01864035087719298
GSM9237965,P22_LUAD,LUAD,c1q_macrophage,812,912,0.8903508771929824
GSM9237965,P22_LUAD,LUAD,inflammatory_macrophage,20,912,0.021929824561403508
GSM9237965,P22_LUAD,LUAD,other_macrophage,8,912,0.008771929824561403
GSM9237965,P22_LUAD,LUAD,resident_macrophage,23,912,0.025219298245614034
GSM9237965,P22_LUAD,LUAD,spp1_macrophage,32,912,0.03508771929824561
GSM9237966,P23_Normal,Normal,ambiguous_macrophage,30,840,0.03571428571428571
GSM9237966,P23_Normal,Normal,c1q_macrophage,685,840,0.8154761904761905
GSM9237966,P23_Normal,Normal,inflammatory_macrophage,16,840,0.01904761904761905
GSM9237966,P23_Normal,Normal,other_macrophage,3,840,0.0035714285714285713
GSM9237966,P23_Normal,Normal,resident_macrophage,15,840,0.017857142857142856
GSM9237966,P23_Normal,Normal,spp1_macrophage,91,840,0.10833333333333334
GSM9237967,P23_AIS,AIS,ambiguous_macrophage,128,2929,0.043700921816319564
GSM9237967,P23_AIS,AIS,c1q_macrophage,2283,2929,0.7794469102082622
GSM9237967,P23_AIS,AIS,inflammatory_macrophage,56,2929,0.01911915329463981
GSM9237967,P23_AIS,AIS,other_macrophage,4,2929,0.0013656538067599864
GSM9237967,P23_AIS,AIS,resident_macrophage,65,2929,0.02219187435984978
GSM9237967,P23_AIS,AIS,spp1_macrophage,393,2929,0.13417548651416866
GSM9237968,P23_AIS1,AIS,ambiguous_macrophage,459,6453,0.07112970711297072
GSM9237968,P23_AIS1,AIS,c1q_macrophage,3747,6453,0.5806601580660158
GSM9237968,P23_AIS1,AIS,inflammatory_macrophage,94,6453,0.014566868123353479
GSM9237968,P23_AIS1,AIS,other_macrophage,139,6453,0.021540368820703547
GSM9237968,P23_AIS1,AIS,resident_macrophage,133,6453,0.02061056872772354
GSM9237968,P23_AIS1,AIS,spp1_macrophage,1881,6453,0.2914923291492329
GSM9237969,P23_LUAD,LUAD,ambiguous_macrophage,181,4270,0.042388758782201406
GSM9237969,P23_LUAD,LUAD,c1q_macrophage,3439,4270,0.8053864168618267
GSM9237969,P23_LUAD,LUAD,inflammatory_macrophage,69,4270,0.016159250585480095
GSM9237969,P23_LUAD,LUAD,other_macrophage,22,4270,0.005152224824355972
GSM9237969,P23_LUAD,LUAD,resident_macrophage,81,4270,0.018969555035128805
GSM9237969,P23_LUAD,LUAD,spp1_macrophage,478,4270,0.11194379391100702
GSM9237971,P24_AAH,AAH,ambiguous_macrophage,36,1594,0.02258469259723965
GSM9237971,P24_AAH,AAH,c1q_macrophage,1322,1594,0.8293601003764115
GSM9237971,P24_AAH,AAH,inflammatory_macrophage,30,1594,0.018820577164366373
