gene,Cell_type.refined,mean_expression
MIF,Epithelial cells,1.1659329
CD74,Myeloid cells,3.7708783
CXCR4,B lymphocytes,1.4752654
SPP1,Myeloid cells,0.93069005
TREM2,Myeloid cells,0.76335996
PLA2G7,Myeloid cells,0.23776612
IL1B,Myeloid cells,0.99897325
TNF,Myeloid cells,0.30795887
CXCL8,Myeloid cells,1.6860651
