stage,broad_class,n_samples,mean_fraction,sd_fraction,total_cells
Adjacent,ambiguous,30,0.01939569040715461,0.008685890889978138,3249
Adjacent,b_plasma,30,0.017654663431522534,0.012621927216103588,3103
Adjacent,dendritic,30,0.006374143013189056,0.0033122745521882687,1101
Adjacent,endothelial,30,0.057160492885664264,0.03501319145930423,9997
Adjacent,epithelial,30,0.10807565746154311,0.060995145511061735,18012
Adjacent,fibroblast,30,0.020817659617455915,0.0166665007760119,3632
Adjacent,macrophage,30,0.2443608046604255,0.09814535559531799,42455
Adjacent,mast_cell,30,0.013397235400215209,0.009108799366448598,2177
Adjacent,neutrophil,30,0.02772156990351427,0.025437805973515012,4551
Adjacent,t_nk,30,0.4776460856260725,0.0913434330062367,84002
Adjacent,unassigned,31,0.039415481541848076,0.17834272597618123,7972
Tumor,ambiguous,26,0.020133986192405258,0.007229856466782273,2812
Tumor,b_plasma,26,0.05278846360702524,0.02847274212805097,7742
Tumor,dendritic,26,0.011317854245043054,0.007226808431364137,1661
Tumor,endothelial,26,0.03380957304066047,0.030638612293728832,5206
Tumor,epithelial,26,0.23354100077403395,0.1643501641838112,32565
Tumor,fibroblast,26,0.018304941101002843,0.02167053360152254,2728
Tumor,macrophage,26,0.22909419245373813,0.16721156955180538,31477
Tumor,mast_cell,26,0.02503273113719018,0.016040862360917882,3599
Tumor,neutrophil,26,0.008115337164019508,0.003994133703113829,1132
Tumor,t_nk,26,0.35937157680454346,0.08516981758786155,51913
Tumor,unassigned,30,0.1740249643496262,0.3757935073992384,35505
