sample,sample_name,stage,axis_id,axis_label,evidence_type,gene_panel,panel_genes,perturbation_id,perturbation_type,perturbed_genes,perturbation_factor,present_perturbed_genes,missing_perturbed_genes,radius,baseline_coupling_score,perturbed_coupling_score,coupling_delta,coupling_relative_delta,baseline_source_weighted_neighbor_target_mean,perturbed_source_weighted_neighbor_target_mean,source_weighted_neighbor_target_delta,source_weighted_neighbor_target_relative_delta,baseline_source_mean,perturbed_source_mean,baseline_target_mean,perturbed_target_mean,n_spots,n_spots_with_neighbors
GSM9226190,P10_LUAD,LUAD,c1q_apoe_trem2_lgals3,C1Q/APOE/TREM2/LGALS3 immunoregulatory macrophage program,source_near_epithelial_progenitor,source,"C1QA,C1QB,C1QC,APOE,TREM2,LGALS3,MARCO",c1q_apoe_trem2_lgals3_gene_TREM2_x0p5,gene,TREM2,0.5,TREM2,,395.32391781929914,0.027783966166763634,0.027558861706791594,-0.0002251044599720399,-0.008101955589095104,0.08783216628729683,0.08712055397674313,-0.0007116123105536942,-0.008101955589095093,0.3159369320574032,0.3159369320574032,0.08375615014613977,0.08306346206578821,13441,3314
GSM9226190,P10_LUAD,LUAD,c1q_apoe_trem2_lgals3,C1Q/APOE/TREM2/LGALS3 immunoregulatory macrophage program,target_near_epithelial_progenitor,target,"LRP1,TREM2,CD44",c1q_apoe_trem2_lgals3_gene_TREM2_x0p5,gene,TREM2,0.5,TREM2,,395.32391781929914,0.035447753526740164,0.034922509786805396,-0.0005252437399347679,-0.01481740555261275,0.11205934255693847,0.11039891383231315,-0.0016604287246253235,-0.014817405552612831,0.3159369320574032,0.3159369320574032,0.0952927918367868,0.09367651964929988,13441,3314
GSM9226190,P10_LUAD,LUAD,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,source_near_epithelial_progenitor,source,MIF,mif_cd74_cxcr4_gene_MIF_x0,gene,MIF,0.0,MIF,,395.32391781929914,0.026751129110088992,0.0,-0.026751129110088992,-1.0,0.08456710630395838,0.0,-0.08456710630395838,-1.0,0.3159369320574032,0.3159369320574032,0.06946050540286296,0.0,13441,3314
GSM9226190,P10_LUAD,LUAD,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,source_near_epithelial_progenitor,source,MIF,mif_cd74_cxcr4_gene_MIF_x0p5,gene,MIF,0.5,MIF,,395.32391781929914,0.026751129110088992,0.013375564555044496,-0.013375564555044496,-0.5,0.08456710630395838,0.04228355315197919,-0.04228355315197919,-0.5,0.3159369320574032,0.3159369320574032,0.06946050540286296,0.03473025270143148,13441,3314
GSM9226190,P10_LUAD,LUAD,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,target_near_epithelial_progenitor,target,"CD74,CXCR4,CD44",mif_cd74_cxcr4_gene_CD74_x0,gene,CD74,0.0,CD74,,395.32391781929914,0.08897690695334247,0.03298780711112804,-0.05598909984221443,-0.629254283603878,0.28127857773610415,0.10428282780965423,-0.17699574992644992,-0.629254283603878,0.3159369320574032,0.3159369320574032,0.25081682093575386,0.08846503499256321,13441,3314
GSM9226190,P10_LUAD,LUAD,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,target_near_epithelial_progenitor,target,"CD74,CXCR4,CD44",mif_cd74_cxcr4_gene_CD74_x0p5,gene,CD74,0.5,CD74,,395.32391781929914,0.08897690695334247,0.06098235703223525,-0.02799454992110722,-0.31462714180193907,0.28127857773610415,0.19278070277287918,-0.08849787496322498,-0.31462714180193907,0.3159369320574032,0.3159369320574032,0.25081682093575386,0.16964092796415856,13441,3314
GSM9226190,P10_LUAD,LUAD,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,target_near_epithelial_progenitor,target,"CD74,CXCR4,CD44",mif_cd74_cxcr4_gene_CXCR4_x0,gene,CXCR4,0.0,CXCR4,,395.32391781929914,0.08897690695334247,0.08535109911534018,-0.0036258078380022873,-0.040749987408570866,0.28127857773610415,0.26981647923505725,-0.011462098501046902,-0.040749987408570644,0.3159369320574032,0.3159369320574032,0.25081682093575386,0.23966685765124443,13441,3314
GSM9226190,P10_LUAD,LUAD,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,target_near_epithelial_progenitor,target,"CD74,CXCR4,CD44",mif_cd74_cxcr4_gene_CXCR4_x0p5,gene,CXCR4,0.5,CXCR4,,395.32391781929914,0.08897690695334247,0.08716400303434134,-0.0018129039190011298,-0.020374993704285277,0.28127857773610415,0.27554752848558073,-0.005731049250523423,-0.02037499370428522,0.3159369320574032,0.3159369320574032,0.25081682093575386,0.2452418392934992,13441,3314
GSM9226190,P10_LUAD,LUAD,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,target_near_epithelial_progenitor,target,"CD74,CXCR4,CD44",mif_cd74_cxcr4_gene_CD44_x0,gene,CD44,0.0,CD44,,395.32391781929914,0.08897690695334247,0.05961490768021668,-0.029361999273125786,-0.3299957289875515,0.28127857773610415,0.1884578484274968,-0.09282072930860735,-0.3299957289875515,0.3159369320574032,0.3159369320574032,0.25081682093575386,0.17350174922770017,13441,3314
GSM9226190,P10_LUAD,LUAD,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,target_near_epithelial_progenitor,target,"CD74,CXCR4,CD44",mif_cd74_cxcr4_gene_CD44_x0p5,gene,CD44,0.5,CD44,,395.32391781929914,0.08897690695334247,0.07429590731677958,-0.014680999636562886,-0.16499786449377565,0.28127857773610415,0.23486821308180053,-0.04641036465430362,-0.16499786449377554,0.3159369320574032,0.3159369320574032,0.25081682093575386,0.21215928508172702,13441,3314
