Cell_type.refined,n_cells,mean_expression,median_expression,gene
Myeloid cells,42245,1.220532,1.0986123,MS4A7
T/NK cells,64403,0.0073817726,0.0,MS4A7
,28437,0.009572202,0.0,MS4A7
B lymphocytes,27657,0.06716772,0.0,C1QA
Endothelial cells,2107,0.25396237,0.0,C1QA
Epithelial cells,36467,0.19233283,0.0,C1QA
Fibroblasts,3794,0.21756226,0.0,C1QA
MAST cells,3396,0.1643635,0.0,C1QA
Myeloid cells,42245,2.485511,2.7725887,C1QA
T/NK cells,64403,0.08715918,0.0,C1QA
,28437,0.10486964,0.0,C1QA
B lymphocytes,27657,0.058929063,0.0,C1QB
Endothelial cells,2107,0.21269207,0.0,C1QB
Epithelial cells,36467,0.17144015,0.0,C1QB
Fibroblasts,3794,0.18202446,0.0,C1QB
MAST cells,3396,0.12529702,0.0,C1QB
Myeloid cells,42245,2.325552,2.5649493,C1QB
T/NK cells,64403,0.07349733,0.0,C1QB
,28437,0.09059872,0.0,C1QB
B lymphocytes,27657,0.02382593,0.0,C1QC
Endothelial cells,2107,0.07898638,0.0,C1QC
Epithelial cells,36467,0.074974746,0.0,C1QC
Fibroblasts,3794,0.07643641,0.0,C1QC
MAST cells,3396,0.047542427,0.0,C1QC
Myeloid cells,42245,1.7528377,1.7917595,C1QC
T/NK cells,64403,0.024219662,0.0,C1QC
,28437,0.030320998,0.0,C1QC
B lymphocytes,27657,0.1851999,0.0,APOE
Endothelial cells,2107,0.20769933,0.0,APOE
Epithelial cells,36467,0.5248592,0.0,APOE
Fibroblasts,3794,0.95420635,0.6931472,APOE
MAST cells,3396,0.5016006,0.0,APOE
Myeloid cells,42245,2.151701,1.9459101,APOE
T/NK cells,64403,0.12134231,0.0,APOE
,28437,0.13838284,0.0,APOE
B lymphocytes,27657,0.081403956,0.0,SPP1
Endothelial cells,2107,0.06935143,0.0,SPP1
Epithelial cells,36467,0.19969559,0.0,SPP1
Fibroblasts,3794,0.13479404,0.0,SPP1
MAST cells,3396,0.04937591,0.0,SPP1
Myeloid cells,42245,0.93069005,0.0,SPP1
T/NK cells,64403,0.045265567,0.0,SPP1
,28437,0.112706095,0.0,SPP1
B lymphocytes,27657,0.00726964,0.0,TPSAB1
Endothelial cells,2107,0.01807798,0.0,TPSAB1
Epithelial cells,36467,0.012233832,0.0,TPSAB1
Fibroblasts,3794,0.01488137,0.0,TPSAB1
MAST cells,3396,3.7419531,3.8501475,TPSAB1
Myeloid cells,42245,0.03226744,0.0,TPSAB1
T/NK cells,64403,0.004517316,0.0,TPSAB1
,28437,0.0070902486,0.0,TPSAB1
B lymphocytes,27657,0.02571319,0.0,TPSB2
Endothelial cells,2107,0.044385713,0.0,TPSB2
Epithelial cells,36467,0.043475166,0.0,TPSB2
Fibroblasts,3794,0.053466365,0.0,TPSB2
MAST cells,3396,4.350385,4.454347,TPSB2
Myeloid cells,42245,0.07236885,0.0,TPSB2
T/NK cells,64403,0.014478585,0.0,TPSB2
,28437,0.01762878,0.0,TPSB2
B lymphocytes,27657,0.0036292418,0.0,CPA3
Endothelial cells,2107,0.008794175,0.0,CPA3
Epithelial cells,36467,0.006691857,0.0,CPA3
Fibroblasts,3794,0.007192653,0.0,CPA3
MAST cells,3396,2.0256734,2.0794415,CPA3
Myeloid cells,42245,0.018084543,0.0,CPA3
T/NK cells,64403,0.0019301727,0.0,CPA3
,28437,0.0027497003,0.0,CPA3
B lymphocytes,27657,0.0011739936,0.0,MS4A2
Endothelial cells,2107,0.0050830394,0.0,MS4A2
Epithelial cells,36467,0.0025172902,0.0,MS4A2
Fibroblasts,3794,0.0025177943,0.0,MS4A2
MAST cells,3396,1.3990548,1.3862944,MS4A2
Myeloid cells,42245,0.008753705,0.0,MS4A2
T/NK cells,64403,0.0005586559,0.0,MS4A2
,28437,0.0013042919,0.0,MS4A2
B lymphocytes,27657,0.0008563759,0.0,KIT
Endothelial cells,2107,0.07749799,0.0,KIT
Epithelial cells,36467,0.0243676,0.0,KIT
Fibroblasts,3794,0.005694609,0.0,KIT
MAST cells,3396,0.4896633,0.6931472,KIT
Myeloid cells,42245,0.0048351022,0.0,KIT
T/NK cells,64403,0.00052737,0.0,KIT
,28437,0.0030326752,0.0,KIT
B lymphocytes,27657,0.00031540773,0.0,HDC
Endothelial cells,2107,0.0013158941,0.0,HDC
Epithelial cells,36467,0.0016945893,0.0,HDC
Fibroblasts,3794,0.0016442606,0.0,HDC
MAST cells,3396,0.3890384,0.0,HDC
Myeloid cells,42245,0.0038296941,0.0,HDC
T/NK cells,64403,0.00027982902,0.0,HDC
,28437,0.0006277712,0.0,HDC
B lymphocytes,27657,0.029220395,0.0,S100A8
Endothelial cells,2107,0.06292856,0.0,S100A8
Epithelial cells,36467,0.13314821,0.0,S100A8
Fibroblasts,3794,0.055589825,0.0,S100A8
MAST cells,3396,0.040766913,0.0,S100A8
Myeloid cells,42245,1.2817672,1.0986123,S100A8
T/NK cells,64403,0.033641964,0.0,S100A8
,28437,0.042265393,0.0,S100A8
B lymphocytes,27657,0.08580642,0.0,S100A9
Endothelial cells,2107,0.1677054,0.0,S100A9
Epithelial cells,36467,1.2838763,0.6931472,S100A9
Fibroblasts,3794,0.1681699,0.0,S100A9
MAST cells,3396,0.090182535,0.0,S100A9
Myeloid cells,42245,2.0602298,2.1972246,S100A9
T/NK cells,64403,0.074883886,0.0,S100A9
,28437,0.09357761,0.0,S100A9
B lymphocytes,27657,0.00021515864,0.0,FCGR3B
Endothelial cells,2107,0.0,0.0,FCGR3B
Epithelial cells,36467,0.00073663425,0.0,FCGR3B
Fibroblasts,3794,0.0002895657,0.0,FCGR3B
MAST cells,3396,0.00020410694,0.0,FCGR3B
Myeloid cells,42245,0.005574975,0.0,FCGR3B
T/NK cells,64403,0.00085024966,0.0,FCGR3B
,28437,0.0012086254,0.0,FCGR3B
B lymphocytes,27657,0.0018796702,0.0,CSF3R
Endothelial cells,2107,0.0068278085,0.0,CSF3R
Epithelial cells,36467,0.16224729,0.0,CSF3R
Fibroblasts,3794,0.010244989,0.0,CSF3R
MAST cells,3396,0.0061578914,0.0,CSF3R
Myeloid cells,42245,0.19520035,0.0,CSF3R
T/NK cells,64403,0.0015041335,0.0,CSF3R
,28437,0.0028215065,0.0,CSF3R
B lymphocytes,27657,0.00020049815,0.0,CXCR2
Endothelial cells,2107,0.0013158941,0.0,CXCR2
Epithelial cells,36467,0.0005623367,0.0,CXCR2
Fibroblasts,3794,0.0009134781,0.0,CXCR2
MAST cells,3396,0.00040821388,0.0,CXCR2
Myeloid cells,42245,0.017340325,0.0,CXCR2
T/NK cells,64403,0.004691109,0.0,CXCR2
,28437,0.008310462,0.0,CXCR2
B lymphocytes,27657,0.00030074723,0.0,AZU1
Endothelial cells,2107,0.0049346024,0.0,AZU1
Epithelial cells,36467,0.0115207,0.0,AZU1
Fibroblasts,3794,0.011830434,0.0,AZU1
MAST cells,3396,0.0012246417,0.0,AZU1
Myeloid cells,42245,0.02729267,0.0,AZU1
T/NK cells,64403,0.00045203147,0.0,AZU1
,28437,0.00068249536,0.0,AZU1
B lymphocytes,27657,0.000100249075,0.0,ELANE
Endothelial cells,2107,0.00065794704,0.0,ELANE
Epithelial cells,36467,0.0017598104,0.0,ELANE
Fibroblasts,3794,0.038142174,0.0,ELANE
MAST cells,3396,0.00040821388,0.0,ELANE
Myeloid cells,42245,0.01460648,0.0,ELANE
T/NK cells,64403,0.00013991451,0.0,ELANE
,28437,0.000121874175,0.0,ELANE
B lymphocytes,27657,0.06901976,0.0,CD1C
Endothelial cells,2107,0.0037805152,0.0,CD1C
Epithelial cells,36467,0.0031307489,0.0,CD1C
Fibroblasts,3794,0.005822998,0.0,CD1C
MAST cells,3396,0.004788233,0.0,CD1C
Myeloid cells,42245,0.12504673,0.0,CD1C
T/NK cells,64403,0.0019973868,0.0,CD1C
,28437,0.0017788091,0.0,CD1C
B lymphocytes,27657,0.0042851195,0.0,CLEC10A
Endothelial cells,2107,0.007318588,0.0,CLEC10A
Epithelial cells,36467,0.003914498,0.0,CLEC10A
Fibroblasts,3794,0.0123445,0.0,CLEC10A
MAST cells,3396,0.0051373565,0.0,CLEC10A
Myeloid cells,42245,0.26895505,0.0,CLEC10A
T/NK cells,64403,0.002668329,0.0,CLEC10A
,28437,0.0030509965,0.0,CLEC10A
B lymphocytes,27657,0.0037798174,0.0,FCER1A
Endothelial cells,2107,0.0026011576,0.0,FCER1A
Epithelial cells,36467,0.0038530943,0.0,FCER1A
Fibroblasts,3794,0.0060025565,0.0,FCER1A
MAST cells,3396,0.52056354,0.6931472,FCER1A
Myeloid cells,42245,0.11329343,0.0,FCER1A
T/NK cells,64403,0.0014627187,0.0,FCER1A
,28437,0.0067091878,0.0,FCER1A
B lymphocytes,27657,0.018651832,0.0,LILRA4
Endothelial cells,2107,0.002079747,0.0,LILRA4
Epithelial cells,36467,0.0006383668,0.0,LILRA4
Fibroblasts,3794,0.0009134781,0.0,LILRA4
MAST cells,3396,0.00020410694,0.0,LILRA4
Myeloid cells,42245,0.014230159,0.0,LILRA4
