Cell_type.refined,n_cells,mean_expression,median_expression,gene
T/NK cells,64403,0.012957004,0.0,IL1B
,28437,0.014066802,0.0,IL1B
B lymphocytes,27657,0.04938777,0.0,CXCL8
Endothelial cells,2107,0.17762774,0.0,CXCL8
Epithelial cells,36467,0.6708532,0.0,CXCL8
Fibroblasts,3794,0.24321462,0.0,CXCL8
MAST cells,3396,0.07803866,0.0,CXCL8
Myeloid cells,42245,1.6860651,1.609438,CXCL8
T/NK cells,64403,0.037722435,0.0,CXCL8
,28437,0.0471423,0.0,CXCL8
B lymphocytes,27657,0.61483645,0.6931472,NFKBIA
Endothelial cells,2107,0.99109405,0.6931472,NFKBIA
Epithelial cells,36467,1.4758052,1.3862944,NFKBIA
Fibroblasts,3794,1.3702766,1.3862944,NFKBIA
MAST cells,3396,1.9646052,2.0794415,NFKBIA
Myeloid cells,42245,1.8004241,1.7917595,NFKBIA
T/NK cells,64403,0.63373077,0.6931472,NFKBIA
,28437,0.66240335,0.6931472,NFKBIA
B lymphocytes,27657,0.030062618,0.0,TNF
Endothelial cells,2107,0.010223449,0.0,TNF
Epithelial cells,36467,0.01717673,0.0,TNF
Fibroblasts,3794,0.014374437,0.0,TNF
MAST cells,3396,0.031068299,0.0,TNF
Myeloid cells,42245,0.30795887,0.0,TNF
T/NK cells,64403,0.05606004,0.0,TNF
,28437,0.055554178,0.0,TNF
B lymphocytes,27657,0.104114056,0.0,CCL3
Endothelial cells,2107,0.08732253,0.0,CCL3
Epithelial cells,36467,0.15705293,0.0,CCL3
Fibroblasts,3794,0.14237742,0.0,CCL3
MAST cells,3396,0.052934676,0.0,CCL3
Myeloid cells,42245,1.4867747,1.0986123,CCL3
T/NK cells,64403,0.18774924,0.0,CCL3
,28437,0.25392357,0.0,CCL3
B lymphocytes,27657,0.02704624,0.0,FOLR2
Endothelial cells,2107,0.008665113,0.0,FOLR2
Epithelial cells,36467,0.009014565,0.0,FOLR2
Fibroblasts,3794,0.013419382,0.0,FOLR2
MAST cells,3396,0.007994854,0.0,FOLR2
Myeloid cells,42245,0.27094576,0.0,FOLR2
T/NK cells,64403,0.0029930375,0.0,FOLR2
,28437,0.0035913845,0.0,FOLR2
B lymphocytes,27657,0.0052985814,0.0,MRC1
Endothelial cells,2107,0.10425862,0.0,MRC1
Epithelial cells,36467,0.016313814,0.0,MRC1
Fibroblasts,3794,0.023025189,0.0,MRC1
MAST cells,3396,0.017415412,0.0,MRC1
Myeloid cells,42245,0.84810203,0.6931472,MRC1
T/NK cells,64403,0.0072481534,0.0,MRC1
,28437,0.007885529,0.0,MRC1
B lymphocytes,27657,0.0013614307,0.0,PPARG
Endothelial cells,2107,0.060809582,0.0,PPARG
Epithelial cells,36467,0.09353043,0.0,PPARG
Fibroblasts,3794,0.013456808,0.0,PPARG
MAST cells,3396,0.0074829236,0.0,PPARG
Myeloid cells,42245,0.3542847,0.0,PPARG
T/NK cells,64403,0.006762251,0.0,PPARG
,28437,0.0053744926,0.0,PPARG
B lymphocytes,27657,0.012496692,0.0,MARCO
Endothelial cells,2107,0.091619566,0.0,MARCO
Epithelial cells,36467,0.04792741,0.0,MARCO
Fibroblasts,3794,0.05062898,0.0,MARCO
MAST cells,3396,0.057709374,0.0,MARCO
Myeloid cells,42245,1.3174621,0.6931472,MARCO
T/NK cells,64403,0.02203431,0.0,MARCO
,28437,0.028014084,0.0,MARCO
B lymphocytes,27657,0.015559037,0.0,KRT7
Endothelial cells,2107,0.03276135,0.0,KRT7
Epithelial cells,36467,1.573822,1.3862944,KRT7
Fibroblasts,3794,0.078569084,0.0,KRT7
MAST cells,3396,0.018184856,0.0,KRT7
Myeloid cells,42245,0.05499659,0.0,KRT7
T/NK cells,64403,0.016305733,0.0,KRT7
,28437,0.0200836,0.0,KRT7
B lymphocytes,27657,0.007930609,0.0,CLDN3
Endothelial cells,2107,0.013407279,0.0,CLDN3
Epithelial cells,36467,1.0199356,0.6931472,CLDN3
Fibroblasts,3794,0.026008375,0.0,CLDN3
MAST cells,3396,0.00834938,0.0,CLDN3
Myeloid cells,42245,0.01771762,0.0,CLDN3
T/NK cells,64403,0.005411187,0.0,CLDN3
,28437,0.0067095305,0.0,CLDN3
B lymphocytes,27657,0.0063805175,0.0,GDF15
Endothelial cells,2107,0.09484259,0.0,GDF15
Epithelial cells,36467,0.8355422,0.6931472,GDF15
Fibroblasts,3794,0.1442719,0.0,GDF15
MAST cells,3396,0.025394637,0.0,GDF15
Myeloid cells,42245,0.055213567,0.0,GDF15
T/NK cells,64403,0.004049606,0.0,GDF15
,28437,0.0069914004,0.0,GDF15
B lymphocytes,27657,0.010785375,0.0,TNFRSF12A
Endothelial cells,2107,0.078205064,0.0,TNFRSF12A
Epithelial cells,36467,0.88869053,0.6931472,TNFRSF12A
Fibroblasts,3794,0.3590717,0.0,TNFRSF12A
MAST cells,3396,0.14097114,0.0,TNFRSF12A
Myeloid cells,42245,0.12162857,0.0,TNFRSF12A
T/NK cells,64403,0.013002726,0.0,TNFRSF12A
,28437,0.023752023,0.0,TNFRSF12A
B lymphocytes,27657,0.0014432099,0.0,ANXA3
Endothelial cells,2107,0.17026214,0.0,ANXA3
Epithelial cells,36467,0.3411511,0.0,ANXA3
Fibroblasts,3794,0.035159796,0.0,ANXA3
MAST cells,3396,0.0056302827,0.0,ANXA3
Myeloid cells,42245,0.024300866,0.0,ANXA3
T/NK cells,64403,0.0017561414,0.0,ANXA3
,28437,0.004110035,0.0,ANXA3
B lymphocytes,27657,0.0067545264,0.0,CLDN7
Endothelial cells,2107,0.043200392,0.0,CLDN7
Epithelial cells,36467,0.96880203,0.6931472,CLDN7
Fibroblasts,3794,0.026623124,0.0,CLDN7
MAST cells,3396,0.01047882,0.0,CLDN7
Myeloid cells,42245,0.19952013,0.0,CLDN7
T/NK cells,64403,0.0065735537,0.0,CLDN7
,28437,0.009818995,0.0,CLDN7
B lymphocytes,27657,0.019887231,0.0,CRIP2
Endothelial cells,2107,1.0248424,1.0986123,CRIP2
Epithelial cells,36467,0.7753344,0.6931472,CRIP2
Fibroblasts,3794,0.5585421,0.6931472,CRIP2
MAST cells,3396,0.0074792653,0.0,CRIP2
Myeloid cells,42245,0.049249794,0.0,CRIP2
T/NK cells,64403,0.03570763,0.0,CRIP2
,28437,0.045464408,0.0,CRIP2
B lymphocytes,27657,0.29259259,0.0,CD24
Endothelial cells,2107,0.015071521,0.0,CD24
Epithelial cells,36467,0.95535636,0.6931472,CD24
Fibroblasts,3794,0.06323263,0.0,CD24
MAST cells,3396,0.013590453,0.0,CD24
Myeloid cells,42245,0.033228464,0.0,CD24
T/NK cells,64403,0.008875143,0.0,CD24
,28437,0.011240389,0.0,CD24
B lymphocytes,27657,0.011612838,0.0,TM4SF1
Endothelial cells,2107,1.6535448,1.609438,TM4SF1
Epithelial cells,36467,1.1109431,0.6931472,TM4SF1
Fibroblasts,3794,0.21634302,0.0,TM4SF1
MAST cells,3396,0.019136025,0.0,TM4SF1
Myeloid cells,42245,0.04320764,0.0,TM4SF1
T/NK cells,64403,0.013259657,0.0,TM4SF1
,28437,0.025571149,0.0,TM4SF1
B lymphocytes,27657,0.0061171595,0.0,EMP2
Endothelial cells,2107,0.8040054,0.6931472,EMP2
Epithelial cells,36467,1.1570581,1.0986123,EMP2
Fibroblasts,3794,0.56009257,0.6931472,EMP2
MAST cells,3396,0.010382995,0.0,EMP2
Myeloid cells,42245,0.050155938,0.0,EMP2
T/NK cells,64403,0.005978333,0.0,EMP2
,28437,0.012615047,0.0,EMP2
B lymphocytes,27657,0.0052006654,0.0,CAV2
Endothelial cells,2107,0.7386811,0.6931472,CAV2
Epithelial cells,36467,0.45492145,0.0,CAV2
Fibroblasts,3794,0.28679466,0.0,CAV2
MAST cells,3396,0.005222068,0.0,CAV2
Myeloid cells,42245,0.009590816,0.0,CAV2
T/NK cells,64403,0.002789356,0.0,CAV2
,28437,0.012906545,0.0,CAV2
B lymphocytes,27657,0.20769352,0.0,ANXA2
Endothelial cells,2107,1.1512681,1.0986123,ANXA2
Epithelial cells,36467,2.1341023,2.0794415,ANXA2
Fibroblasts,3794,1.5700732,1.609438,ANXA2
MAST cells,3396,0.12728189,0.0,ANXA2
Myeloid cells,42245,1.9897842,1.9459101,ANXA2
T/NK cells,64403,0.2803066,0.0,ANXA2
,28437,0.27911723,0.0,ANXA2
B lymphocytes,27657,0.057353288,0.0,MDK
Endothelial cells,2107,0.4723195,0.0,MDK
Epithelial cells,36467,1.6779981,1.609438,MDK
Fibroblasts,3794,0.87553024,0.6931472,MDK
MAST cells,3396,0.028051354,0.0,MDK
Myeloid cells,42245,0.15732378,0.0,MDK
T/NK cells,64403,0.018150054,0.0,MDK
,28437,0.02931092,0.0,MDK
B lymphocytes,27657,0.019582639,0.0,SPINT1
Endothelial cells,2107,0.016579852,0.0,SPINT1
Epithelial cells,36467,0.80071616,0.6931472,SPINT1
Fibroblasts,3794,0.031226635,0.0,SPINT1
MAST cells,3396,0.026314449,0.0,SPINT1
Myeloid cells,42245,0.17703842,0.0,SPINT1
T/NK cells,64403,0.007419336,0.0,SPINT1
,28437,0.008484354,0.0,SPINT1
B lymphocytes,27657,0.023465239,0.0,PERP
Endothelial cells,2107,0.09835882,0.0,PERP
Epithelial cells,36467,1.1009884,1.0986123,PERP
Fibroblasts,3794,0.19099604,0.0,PERP
MAST cells,3396,0.03284321,0.0,PERP
Myeloid cells,42245,0.025345441,0.0,PERP
T/NK cells,64403,0.05828791,0.0,PERP
,28437,0.054896247,0.0,PERP
B lymphocytes,27657,0.16797455,0.0,IFT57
Endothelial cells,2107,0.14203113,0.0,IFT57
Epithelial cells,36467,0.6793995,0.6931472,IFT57
Fibroblasts,3794,0.3558835,0.0,IFT57
MAST cells,3396,0.07275876,0.0,IFT57
Myeloid cells,42245,0.12249559,0.0,IFT57
T/NK cells,64403,0.050392754,0.0,IFT57
,28437,0.0472851,0.0,IFT57
B lymphocytes,27657,0.006084478,0.0,PLPP2
Endothelial cells,2107,0.05828528,0.0,PLPP2
Epithelial cells,36467,0.7428706,0.6931472,PLPP2
Fibroblasts,3794,0.024308698,0.0,PLPP2
MAST cells,3396,0.004082139,0.0,PLPP2
Myeloid cells,42245,0.010077913,0.0,PLPP2
T/NK cells,64403,0.0039779255,0.0,PLPP2
,28437,0.023226285,0.0,PLPP2
B lymphocytes,27657,0.0051319706,0.0,CST6
Endothelial cells,2107,0.006771907,0.0,CST6
Epithelial cells,36467,0.5942903,0.0,CST6
Fibroblasts,3794,0.026221663,0.0,CST6
MAST cells,3396,0.014915486,0.0,CST6
Myeloid cells,42245,0.063599326,0.0,CST6
T/NK cells,64403,0.0044903504,0.0,CST6
,28437,0.0072938637,0.0,CST6
B lymphocytes,27657,0.033627927,0.0,SOX4
Endothelial cells,2107,0.64802134,0.6931472,SOX4
Epithelial cells,36467,1.3167295,1.0986123,SOX4
Fibroblasts,3794,0.7453843,0.6931472,SOX4
MAST cells,3396,0.15573001,0.0,SOX4
Myeloid cells,42245,0.16938034,0.0,SOX4
T/NK cells,64403,0.024001593,0.0,SOX4
,28437,0.041802473,0.0,SOX4
B lymphocytes,27657,0.0015037361,0.0,RND3
Endothelial cells,2107,0.074330546,0.0,RND3
Epithelial cells,36467,0.49253505,0.0,RND3
Fibroblasts,3794,0.46264297,0.0,RND3
MAST cells,3396,0.008110923,0.0,RND3
Myeloid cells,42245,0.2968165,0.0,RND3
T/NK cells,64403,0.0022871692,0.0,RND3
,28437,0.0047862674,0.0,RND3
B lymphocytes,27657,0.067986295,0.0,IFI27
Endothelial cells,2107,2.3318768,2.5649493,IFI27
Epithelial cells,36467,1.202529,0.6931472,IFI27
Fibroblasts,3794,0.644012,0.0,IFI27
MAST cells,3396,0.09059687,0.0,IFI27
Myeloid cells,42245,0.8093578,0.0,IFI27
T/NK cells,64403,0.06380312,0.0,IFI27
,28437,0.07371887,0.0,IFI27
B lymphocytes,27657,0.0004156568,0.0,CYP4B1
Endothelial cells,2107,0.008745749,0.0,CYP4B1
Epithelial cells,36467,0.13492198,0.0,CYP4B1
Fibroblasts,3794,0.02617027,0.0,CYP4B1
MAST cells,3396,0.0018369625,0.0,CYP4B1
Myeloid cells,42245,0.003932615,0.0,CYP4B1
T/NK cells,64403,0.0010064134,0.0,CYP4B1
,28437,0.0014910068,0.0,CYP4B1
B lymphocytes,27657,0.0056949966,0.0,CTGF
Endothelial cells,2107,0.38469562,0.0,CTGF
Epithelial cells,36467,0.1626511,0.0,CTGF
Fibroblasts,3794,0.95385444,0.6931472,CTGF
MAST cells,3396,0.003265711,0.0,CTGF
Myeloid cells,42245,0.010281157,0.0,CTGF
T/NK cells,64403,0.002289807,0.0,CTGF
,28437,0.009057981,0.0,CTGF
B lymphocytes,27657,0.14578561,0.0,RAB11FIP1
Endothelial cells,2107,0.07477186,0.0,RAB11FIP1
Epithelial cells,36467,0.70861125,0.6931472,RAB11FIP1
Fibroblasts,3794,0.052905858,0.0,RAB11FIP1
MAST cells,3396,0.05093903,0.0,RAB11FIP1
Myeloid cells,42245,0.40495783,0.0,RAB11FIP1
T/NK cells,64403,0.067542605,0.0,RAB11FIP1
,28437,0.07697764,0.0,RAB11FIP1
B lymphocytes,27657,0.124002665,0.0,STMN1
Endothelial cells,2107,0.4667052,0.0,STMN1
Epithelial cells,36467,0.5643619,0.0,STMN1
Fibroblasts,3794,0.2052168,0.0,STMN1
MAST cells,3396,0.5535169,0.6931472,STMN1
Myeloid cells,42245,0.49788117,0.0,STMN1
T/NK cells,64403,0.123367056,0.0,STMN1
,28437,0.18243435,0.0,STMN1
B lymphocytes,27657,0.10341471,0.0,CKS1B
Endothelial cells,2107,0.12548622,0.0,CKS1B
Epithelial cells,36467,0.5787548,0.0,CKS1B
Fibroblasts,3794,0.276899,0.0,CKS1B
MAST cells,3396,0.07035393,0.0,CKS1B
Myeloid cells,42245,0.29296908,0.0,CKS1B
T/NK cells,64403,0.055906825,0.0,CKS1B
,28437,0.058244027,0.0,CKS1B
B lymphocytes,27657,0.3576042,0.0,TUBB
Endothelial cells,2107,0.8057369,0.6931472,TUBB
Epithelial cells,36467,1.0069584,0.6931472,TUBB
Fibroblasts,3794,1.1961304,1.0986123,TUBB
MAST cells,3396,0.50887525,0.6931472,TUBB
Myeloid cells,42245,1.0508882,1.0986123,TUBB
T/NK cells,64403,0.3049054,0.0,TUBB
,28437,0.2854467,0.0,TUBB
B lymphocytes,27657,0.034794394,0.0,TK1
Endothelial cells,2107,0.033562373,0.0,TK1
Epithelial cells,36467,0.23831794,0.0,TK1
Fibroblasts,3794,0.016378991,0.0,TK1
MAST cells,3396,0.0052914345,0.0,TK1
Myeloid cells,42245,0.0747194,0.0,TK1
T/NK cells,64403,0.01746041,0.0,TK1
,28437,0.015442,0.0,TK1
B lymphocytes,27657,0.029764012,0.0,TYMS
Endothelial cells,2107,0.04416046,0.0,TYMS
Epithelial cells,36467,0.1317634,0.0,TYMS
Fibroblasts,3794,0.070851594,0.0,TYMS
MAST cells,3396,0.012627663,0.0,TYMS
Myeloid cells,42245,0.055322163,0.0,TYMS
T/NK cells,64403,0.0241595,0.0,TYMS
,28437,0.024308482,0.0,TYMS
B lymphocytes,27657,0.24416202,0.0,H2AFV
Endothelial cells,2107,0.3515321,0.0,H2AFV
Epithelial cells,36467,1.0010381,0.6931472,H2AFV
Fibroblasts,3794,0.43543944,0.0,H2AFV
MAST cells,3396,0.30177438,0.0,H2AFV
Myeloid cells,42245,0.64208525,0.6931472,H2AFV
T/NK cells,64403,0.302726,0.0,H2AFV
,28437,0.2718463,0.0,H2AFV
B lymphocytes,27657,0.02443307,0.0,UBE2T
Endothelial cells,2107,0.020912407,0.0,UBE2T
Epithelial cells,36467,0.16167782,0.0,UBE2T
Fibroblasts,3794,0.023151936,0.0,UBE2T
MAST cells,3396,0.01418377,0.0,UBE2T
Myeloid cells,42245,0.037484594,0.0,UBE2T
T/NK cells,64403,0.018019302,0.0,UBE2T
,28437,0.013569097,0.0,UBE2T
B lymphocytes,27657,0.21749581,0.0,DEK
Endothelial cells,2107,0.43183047,0.0,DEK
Epithelial cells,36467,0.8578588,0.6931472,DEK
Fibroblasts,3794,0.5402427,0.6931472,DEK
MAST cells,3396,0.1968521,0.0,DEK
Myeloid cells,42245,0.7423228,0.6931472,DEK
T/NK cells,64403,0.27673247,0.0,DEK
,28437,0.24891397,0.0,DEK
B lymphocytes,27657,0.24937592,0.0,NUCKS1
Endothelial cells,2107,0.6885555,0.6931472,NUCKS1
Epithelial cells,36467,1.2358172,1.0986123,NUCKS1
Fibroblasts,3794,1.1604087,1.0986123,NUCKS1
MAST cells,3396,0.31489325,0.0,NUCKS1
Myeloid cells,42245,0.64145476,0.6931472,NUCKS1
T/NK cells,64403,0.26822194,0.0,NUCKS1
,28437,0.26458967,0.0,NUCKS1
B lymphocytes,27657,0.03307497,0.0,UBE2C
Endothelial cells,2107,0.006933714,0.0,UBE2C
Epithelial cells,36467,0.21111032,0.0,UBE2C
Fibroblasts,3794,0.013877282,0.0,UBE2C
MAST cells,3396,0.005859129,0.0,UBE2C
Myeloid cells,42245,0.050839555,0.0,UBE2C
T/NK cells,64403,0.016499314,0.0,UBE2C
,28437,0.014943977,0.0,UBE2C
B lymphocytes,27657,0.24058668,0.0,RANBP1
Endothelial cells,2107,0.42319202,0.0,RANBP1
Epithelial cells,36467,0.861361,0.6931472,RANBP1
Fibroblasts,3794,0.52990013,0.6931472,RANBP1
MAST cells,3396,0.24315195,0.0,RANBP1
Myeloid cells,42245,0.55049175,0.6931472,RANBP1
T/NK cells,64403,0.22902635,0.0,RANBP1
,28437,0.21197812,0.0,RANBP1
B lymphocytes,27657,0.13833003,0.0,CARHSP1
Endothelial cells,2107,0.5515942,0.6931472,CARHSP1
Epithelial cells,36467,0.6438885,0.6931472,CARHSP1
Fibroblasts,3794,0.45350894,0.0,CARHSP1
MAST cells,3396,0.11711039,0.0,CARHSP1
Myeloid cells,42245,0.20568441,0.0,CARHSP1
T/NK cells,64403,0.13630608,0.0,CARHSP1
,28437,0.12687993,0.0,CARHSP1
B lymphocytes,27657,0.28769195,0.0,HMGB2
Endothelial cells,2107,0.23492588,0.0,HMGB2
Epithelial cells,36467,0.4057637,0.0,HMGB2
Fibroblasts,3794,0.32133806,0.0,HMGB2
MAST cells,3396,0.22390449,0.0,HMGB2
Myeloid cells,42245,0.40542042,0.0,HMGB2
T/NK cells,64403,0.3864784,0.0,HMGB2
,28437,0.33825615,0.0,HMGB2
B lymphocytes,27657,0.029263534,0.0,HMGB3
Endothelial cells,2107,0.06979778,0.0,HMGB3
Epithelial cells,36467,0.8452219,0.6931472,HMGB3
Fibroblasts,3794,0.04984267,0.0,HMGB3
MAST cells,3396,0.01161875,0.0,HMGB3
Myeloid cells,42245,0.09488938,0.0,HMGB3
T/NK cells,64403,0.014629626,0.0,HMGB3
,28437,0.014613128,0.0,HMGB3
B lymphocytes,27657,0.43016797,0.0,TUBA1B
Endothelial cells,2107,1.0882348,1.0986123,TUBA1B
Epithelial cells,36467,1.1928806,1.0986123,TUBA1B
Fibroblasts,3794,1.2803319,1.3862944,TUBA1B
MAST cells,3396,0.8393441,0.6931472,TUBA1B
Myeloid cells,42245,1.7778149,1.7917595,TUBA1B
T/NK cells,64403,0.40492767,0.0,TUBA1B
,28437,0.41832763,0.0,TUBA1B
B lymphocytes,27657,0.14190729,0.0,H2AFY
Endothelial cells,2107,0.30781135,0.0,H2AFY
Epithelial cells,36467,0.811845,0.6931472,H2AFY
Fibroblasts,3794,0.35297355,0.0,H2AFY
MAST cells,3396,0.12940018,0.0,H2AFY
Myeloid cells,42245,1.0782311,1.0986123,H2AFY
T/NK cells,64403,0.16874334,0.0,H2AFY
,28437,0.16027331,0.0,H2AFY
B lymphocytes,27657,0.21798247,0.0,SIVA1
Endothelial cells,2107,0.39473146,0.0,SIVA1
Epithelial cells,36467,0.9452421,0.6931472,SIVA1
Fibroblasts,3794,0.5980884,0.6931472,SIVA1
MAST cells,3396,0.24438488,0.0,SIVA1
Myeloid cells,42245,0.5539341,0.6931472,SIVA1
T/NK cells,64403,0.21517041,0.0,SIVA1
,28437,0.2098257,0.0,SIVA1
B lymphocytes,27657,0.03635895,0.0,MYBL2
Endothelial cells,2107,0.007528286,0.0,MYBL2
Epithelial cells,36467,0.08387883,0.0,MYBL2
Fibroblasts,3794,0.004586859,0.0,MYBL2
MAST cells,3396,0.00061232084,0.0,MYBL2
Myeloid cells,42245,0.019720046,0.0,MYBL2
T/NK cells,64403,0.0058405083,0.0,MYBL2
,28437,0.015946586,0.0,MYBL2
B lymphocytes,27657,0.035811067,0.0,ECI1
Endothelial cells,2107,0.08591158,0.0,ECI1
Epithelial cells,36467,0.47025806,0.0,ECI1
Fibroblasts,3794,0.14520733,0.0,ECI1
MAST cells,3396,0.009100101,0.0,ECI1
Myeloid cells,42245,0.10823798,0.0,ECI1
T/NK cells,64403,0.02215932,0.0,ECI1
,28437,0.02380956,0.0,ECI1
B lymphocytes,27657,0.05119742,0.0,RPL39L
Endothelial cells,2107,0.021768153,0.0,RPL39L
Epithelial cells,36467,0.294127,0.0,RPL39L
Fibroblasts,3794,0.098004565,0.0,RPL39L
MAST cells,3396,0.028763734,0.0,RPL39L
Myeloid cells,42245,0.064087935,0.0,RPL39L
T/NK cells,64403,0.034891035,0.0,RPL39L
,28437,0.029905893,0.0,RPL39L
B lymphocytes,27657,0.028802453,0.0,NUSAP1
Endothelial cells,2107,0.0081437025,0.0,NUSAP1
Epithelial cells,36467,0.09485314,0.0,NUSAP1
Fibroblasts,3794,0.011502697,0.0,NUSAP1
MAST cells,3396,0.007836139,0.0,NUSAP1
Myeloid cells,42245,0.052732874,0.0,NUSAP1
T/NK cells,64403,0.023938378,0.0,NUSAP1
,28437,0.017937042,0.0,NUSAP1
B lymphocytes,27657,0.04933624,0.0,TMEM106C
Endothelial cells,2107,0.0477077,0.0,TMEM106C
Epithelial cells,36467,0.46523747,0.0,TMEM106C
Fibroblasts,3794,0.19503483,0.0,TMEM106C
MAST cells,3396,0.02755477,0.0,TMEM106C
Myeloid cells,42245,0.09322555,0.0,TMEM106C
T/NK cells,64403,0.05292416,0.0,TMEM106C
,28437,0.046056192,0.0,TMEM106C
B lymphocytes,27657,0.6547601,0.6931472,HMGN2
Endothelial cells,2107,0.53730774,0.6931472,HMGN2
Epithelial cells,36467,1.1732991,1.0986123,HMGN2
Fibroblasts,3794,1.0888807,1.0986123,HMGN2
MAST cells,3396,0.60278624,0.6931472,HMGN2
Myeloid cells,42245,1.2616092,1.3862944,HMGN2
T/NK cells,64403,0.5590199,0.6931472,HMGN2
,28437,0.50829715,0.6931472,HMGN2
B lymphocytes,27657,0.24123414,0.0,DUT
Endothelial cells,2107,0.44650257,0.0,DUT
Epithelial cells,36467,0.6444322,0.6931472,DUT
Fibroblasts,3794,0.5703822,0.6931472,DUT
MAST cells,3396,0.21000637,0.0,DUT
Myeloid cells,42245,0.4685893,0.0,DUT
T/NK cells,64403,0.2246251,0.0,DUT
,28437,0.20654747,0.0,DUT
B lymphocytes,27657,0.0029261424,0.0,CHI3L1
Endothelial cells,2107,0.0042766556,0.0,CHI3L1
Epithelial cells,36467,0.30674732,0.0,CHI3L1
Fibroblasts,3794,0.09408503,0.0,CHI3L1
MAST cells,3396,0.0022451764,0.0,CHI3L1
Myeloid cells,42245,0.053459294,0.0,CHI3L1
T/NK cells,64403,0.0028447714,0.0,CHI3L1
,28437,0.00420144,0.0,CHI3L1
B lymphocytes,27657,0.009046084,0.0,CHIT1
Endothelial cells,2107,0.0009869206,0.0,CHIT1
Epithelial cells,36467,0.002024146,0.0,CHIT1
Fibroblasts,3794,0.0033953912,0.0,CHIT1
MAST cells,3396,0.00081642775,0.0,CHIT1
Myeloid cells,42245,0.050692867,0.0,CHIT1
T/NK cells,64403,0.0031463525,0.0,CHIT1
,28437,0.0026711156,0.0,CHIT1
B lymphocytes,27657,0.001984178,0.0,OTOA
Endothelial cells,2107,0.0029607615,0.0,OTOA
Epithelial cells,36467,0.0030383447,0.0,OTOA
Fibroblasts,3794,0.0050644455,0.0,OTOA
MAST cells,3396,0.0028574972,0.0,OTOA
Myeloid cells,42245,0.15722148,0.0,OTOA
T/NK cells,64403,0.0014117365,0.0,OTOA
,28437,0.0012918663,0.0,OTOA
B lymphocytes,27657,0.0017836798,0.0,HAMP
Endothelial cells,2107,0.0015083312,0.0,HAMP
Epithelial cells,36467,0.0056527634,0.0,HAMP
Fibroblasts,3794,0.0034712167,0.0,HAMP
MAST cells,3396,0.002345567,0.0,HAMP
Myeloid cells,42245,0.098566145,0.0,HAMP
T/NK cells,64403,0.0008350201,0.0,HAMP
,28437,0.0013429251,0.0,HAMP
B lymphocytes,27657,0.060608648,0.0,HBB
Endothelial cells,2107,0.07460185,0.0,HBB
Epithelial cells,36467,0.10462085,0.0,HBB
Fibroblasts,3794,0.11081263,0.0,HBB
MAST cells,3396,0.042489894,0.0,HBB
Myeloid cells,42245,0.14002965,0.0,HBB
T/NK cells,64403,0.063348606,0.0,HBB
,28437,0.086970046,0.0,HBB
B lymphocytes,27657,0.00030074723,0.0,NCS1
Endothelial cells,2107,0.00065794704,0.0,NCS1
Epithelial cells,36467,0.04665847,0.0,NCS1
Fibroblasts,3794,0.02993461,0.0,NCS1
MAST cells,3396,0.007551957,0.0,NCS1
Myeloid cells,42245,0.007725951,0.0,NCS1
T/NK cells,64403,0.0006565219,0.0,NCS1
,28437,0.0027732332,0.0,NCS1
B lymphocytes,27657,0.010881286,0.0,CTSK
Endothelial cells,2107,0.010719589,0.0,CTSK
Epithelial cells,36467,0.027171869,0.0,CTSK
Fibroblasts,3794,0.89046305,0.6931472,CTSK
MAST cells,3396,0.003589213,0.0,CTSK
Myeloid cells,42245,0.080637515,0.0,CTSK
T/NK cells,64403,0.005390471,0.0,CTSK
,28437,0.004879865,0.0,CTSK
B lymphocytes,27657,0.0045949128,0.0,PLA2G7
Endothelial cells,2107,0.0029607615,0.0,PLA2G7
Epithelial cells,36467,0.02087309,0.0,PLA2G7
Fibroblasts,3794,0.005298173,0.0,PLA2G7
MAST cells,3396,0.0014287486,0.0,PLA2G7
Myeloid cells,42245,0.23776612,0.0,PLA2G7
T/NK cells,64403,0.001954336,0.0,PLA2G7
,28437,0.0018768623,0.0,PLA2G7
B lymphocytes,27657,0.007510653,0.0,ADAMDEC1
Endothelial cells,2107,0.00065794704,0.0,ADAMDEC1
Epithelial cells,36467,0.0023978674,0.0,ADAMDEC1
Fibroblasts,3794,0.0068213115,0.0,ADAMDEC1
MAST cells,3396,0.0,0.0,ADAMDEC1
Myeloid cells,42245,0.07800059,0.0,ADAMDEC1
T/NK cells,64403,0.00065205497,0.0,ADAMDEC1
,28437,0.000798395,0.0,ADAMDEC1
B lymphocytes,27657,0.0014763403,0.0,SDS
Endothelial cells,2107,0.0017507734,0.0,SDS
Epithelial cells,36467,0.0048954315,0.0,SDS
Fibroblasts,3794,0.006969327,0.0,SDS
MAST cells,3396,0.00040821388,0.0,SDS
Myeloid cells,42245,0.17012922,0.0,SDS
T/NK cells,64403,0.0010933238,0.0,SDS
,28437,0.0014624901,0.0,SDS
B lymphocytes,27657,0.0029866686,0.0,FABP3
Endothelial cells,2107,0.0031531989,0.0,FABP3
Epithelial cells,36467,0.03912309,0.0,FABP3
Fibroblasts,3794,0.021086121,0.0,FABP3
MAST cells,3396,0.0024492834,0.0,FABP3
Myeloid cells,42245,0.16065583,0.0,FABP3
T/NK cells,64403,0.0021929434,0.0,FABP3
,28437,0.004109715,0.0,FABP3
B lymphocytes,27657,0.01565462,0.0,MATK
Endothelial cells,2107,0.02656086,0.0,MATK
Epithelial cells,36467,0.0064572114,0.0,MATK
