broad_class,stages,n_cells,n_input_genes,n_network_genes,n_edges,tested_targets,missing_targets
epithelial,"LUAD,MIA",6000,116,111,3268,MIF,
macrophage,"LUAD,MIA",6000,116,115,3940,"CD74,CD44,CXCR4,SPP1,TREM2,PLA2G7",
