reference_number,role,citation_short,year,journal,volume,issue,pages_or_article,doi,url,title,authors
19,cd74_nsclc_expression_context,McClelland et al.,2009,The American Journal of Pathology,174,2,638-646,10.2353/ajpath.2009.080463,https://doi.org/10.2353/ajpath.2009.080463,"Expression of CD74, the receptor for macrophage migration inhibitory factor, in non-small cell lung cancer","McClelland, M.; Zhao, L.; Carskadon, S.; Arenberg, D."
20,trem2_tumor_myeloid_landscape,Molgora et al.,2020,Cell,182,4,886-900.e17,10.1016/j.cell.2020.07.013,https://doi.org/10.1016/j.cell.2020.07.013,TREM2 modulation remodels the tumor myeloid landscape enhancing anti-PD-1 immunotherapy,"Molgora, M.; Esaulova, E.; Vermi, W.; Hou, J.; Chen, Y.; Luo, J."
21,spatial_transcriptomics_foundation,Stahl et al.,2016,Science,353,6294,78-82,10.1126/science.aaf2403,https://doi.org/10.1126/science.aaf2403,Visualization and analysis of gene expression in tissue sections by spatial transcriptomics,"Stahl, P.L.; Salmen, F.; Vickovic, S.; Lundmark, A.; Navarro, J.F.; Magnusson, J."
22,spatial_omics_analysis_framework,Palla et al.,2022,Nature Methods,19,2,171-178,10.1038/s41592-021-01358-2,https://doi.org/10.1038/s41592-021-01358-2,Squidpy: a scalable framework for spatial omics analysis,"Palla, G.; Spitzer, H.; Klein, M.; Fischer, D.; Schaar, A.C.; Kuemmerle, L.B."
23,spatial_toolbox_context,Dries et al.,2021,Genome Biology,22,1,78,10.1186/s13059-021-02286-2,https://doi.org/10.1186/s13059-021-02286-2,Giotto: a toolbox for integrative analysis and visualization of spatial expression data,"Dries, R.; Zhu, Q.; Dong, R.; Eng, C.H.L.; Li, H.; Liu, K."
24,cell_cell_communication_framework,Jin et al.,2021,Nature Communications,12,1,1088,10.1038/s41467-021-21246-9,https://doi.org/10.1038/s41467-021-21246-9,Inference and analysis of cell-cell communication using CellChat,"Jin, S.; Guerrero-Juarez, C.F.; Zhang, L.; Chang, I.; Ramos, R.; Kuan, C.H."
25,ligand_target_communication_framework,Browaeys et al.,2020,Nature Methods,17,2,159-162,10.1038/s41592-019-0667-5,https://doi.org/10.1038/s41592-019-0667-5,NicheNet: modeling intercellular communication by linking ligands to target genes,"Browaeys, R.; Saelens, W.; Saeys, Y."
26,ligand_receptor_database_protocol,Efremova et al.,2020,Nature Protocols,15,4,1484-1506,10.1038/s41596-020-0292-x,https://doi.org/10.1038/s41596-020-0292-x,CellPhoneDB: inferring cell-cell communication from combined expression of multi-subunit ligand-receptor complexes,"Efremova, M.; Vento-Tormo, M.; Teichmann, S.A.; Vento-Tormo, R."
27,cell_interaction_benchmark_spatial,Liu et al.,2022,Genome Biology,23,1,218,10.1186/s13059-022-02783-y,https://doi.org/10.1186/s13059-022-02783-y,Evaluation of cell-cell interaction methods by integrating single-cell RNA sequencing data with spatial information,"Liu, Z.; Sun, D.; Wang, C."
28,multimodal_single_cell_integration,Hao et al.,2021,Cell,184,13,3573-3587.e29,10.1016/j.cell.2021.04.048,https://doi.org/10.1016/j.cell.2021.04.048,Integrated analysis of multimodal single-cell data,"Hao, Y.; Hao, S.; Andersen-Nissen, E.; Mauck, W.M.; Zheng, S.; Butler, A."
29,lung_tme_scrna_context,Lambrechts et al.,2018,Nature Medicine,24,8,1277-1289,10.1038/s41591-018-0096-5,https://doi.org/10.1038/s41591-018-0096-5,Phenotype molding of stromal cells in the lung tumor microenvironment,"Lambrechts, D.; Wauters, E.; Boeckx, B.; Aibar, S.; Nittner, D.; Burton, O."
30,normal_lung_cell_atlas_context,Travaglini et al.,2020,Nature,587,7835,619-625,10.1038/s41586-020-2922-4,https://doi.org/10.1038/s41586-020-2922-4,A molecular cell atlas of the human lung from single-cell RNA sequencing,"Travaglini, K.J.; Nabhan, A.N.; Penland, L.; Sinha, R.; Gillich, A.; Sit, R.V."
31,grn_virtual_perturbation_method,Osorio et al.,2022,Patterns,3,3,100434,10.1016/j.patter.2022.100434,https://doi.org/10.1016/j.patter.2022.100434,scTenifoldKnk: An efficient virtual knockout tool for gene function predictions via single-cell gene regulatory network perturbation,"Osorio, D.; Zhong, Y.; Li, G.; Xu, Q.; Yang, Y.; Tian, Y."
32,celloracle_network_perturbation_context,Kamimoto et al.,2023,Nature,614,7949,742-751,10.1038/s41586-022-05688-9,https://doi.org/10.1038/s41586-022-05688-9,Dissecting cell identity via network inference and in silico gene perturbation,"Kamimoto, K.; Stringa, B.; Hoffmann, C.M.; Jindal, K.; Solnica-Krezel, L.; Morris, S.A."
33,public_perturbseq_resource,Peidli et al.,2024,Nature Methods,21,3,531-540,10.1038/s41592-023-02144-y,https://doi.org/10.1038/s41592-023-02144-y,scPerturb: harmonized single-cell perturbation data,"Peidli, S.; Green, T.D.; Shen, C.; Gross, T.; Min, J.; Garda, S."
34,gears_perturbation_response_model,Roohani et al.,2024,Nature Biotechnology,42,6,927-935,10.1038/s41587-023-01905-6,https://doi.org/10.1038/s41587-023-01905-6,Predicting transcriptional outcomes of novel multigene perturbations with GEARS,"Roohani, Y.; Huang, K.; Leskovec, J."
35,scgen_perturbation_response_model,Lotfollahi et al.,2019,Nature Methods,16,8,715-721,10.1038/s41592-019-0494-8,https://doi.org/10.1038/s41592-019-0494-8,scGen predicts single-cell perturbation responses,"Lotfollahi, M.; Wolf, F.A.; Theis, F.J."
36,cpa_perturbation_response_model,Lotfollahi et al.,2023,Molecular Systems Biology,19,6,e11517,10.15252/msb.202211517,https://doi.org/10.15252/msb.202211517,Predicting cellular responses to complex perturbations in high-throughput screens,"Lotfollahi, M.; Klimovskaia Susmelj, A.; De Donno, C.; Hetzel, L.; Ji, Y.; Ibarra, I.L."
