signature,signature_label,Epithelial cells,Myeloid cells,Fibroblasts,Endothelial cells,MAST cells,B lymphocytes,T/NK cells,Unassigned
epithelial_progenitor_like,Epi progenitor,1.0,0.03558284360808754,0.05075866081818996,0.038775037682029,0.02334621601920859,0.011216435113579505,0.010745923295829303,0.0140404202045953
spp1_macrophage,SPP1 macrophage,0.5976218057971503,1.0,0.48015476044987965,0.2308535608149,0.3507496163553724,0.06279583080558421,0.05940065817830822,0.07689392381553152
refined_spp1_macrophage,Refined SPP1 macrophage,1.0,0.6770037240123865,0.6041769973963932,0.24075445091803604,0.22729058272948688,0.07758244914978375,0.09722158049567414,0.11824731258398828
refined_c1q_macrophage,Refined C1Q macrophage,0.3903410138122738,1.0,0.49601449300150313,0.2208977396418209,0.10660995531826245,0.05341456045854368,0.04707281734398507,0.05493359860050586
refined_inflammatory_macrophage,Refined inflammatory macrophage,0.3962285078117871,1.0,0.2807066616604473,0.17365892120757206,0.2586644298097702,0.24275880218014914,0.30980773141522705,0.2889800494683406
