Sample_Origin,Cell_type.refined,n_cells,mean_score,median_score,sd_score,score
tL/B,T/NK cells,2627,0.041662008,0.0,0.056930948,macrophage
tL/B,,963,0.038733862,0.0,0.052350298,macrophage
tLung,B lymphocytes,5312,0.08911483,0.06931472,0.098954245,macrophage
tLung,Endothelial cells,627,0.11597596,0.06931472,0.17342891,macrophage
tLung,Epithelial cells,7270,0.16105485,0.10986123,0.23170112,macrophage
tLung,Fibroblasts,1654,0.20839953,0.17917594,0.2176988,macrophage
tLung,MAST cells,1809,0.12774931,0.10986123,0.13206439,macrophage
tLung,Myeloid cells,8794,1.8812163,1.9078925,0.9618938,macrophage
tLung,T/NK cells,13941,0.06867466,0.06931472,0.08222582,macrophage
tLung,,5742,0.06403325,0.06931472,0.07987649,macrophage
PE,B lymphocytes,3285,7.033457e-05,0.0,0.0028500692,mast_cell
PE,Epithelial cells,396,0.016722921,0.0,0.050979946,mast_cell
PE,Myeloid cells,3063,0.0043388,0.0,0.079930484,mast_cell
PE,T/NK cells,9192,0.00018851915,0.0,0.004663198,mast_cell
PE,,4368,0.00091919466,0.0,0.012017897,mast_cell
mBrain,B lymphocytes,1311,0.025184672,0.0,0.07643138,mast_cell
mBrain,Endothelial cells,159,0.015246118,0.0,0.052981272,mast_cell
mBrain,Epithelial cells,15463,0.011601926,0.0,0.052636683,mast_cell
mBrain,Fibroblasts,444,0.0028620942,0.0,0.01958139,mast_cell
mBrain,MAST cells,508,2.1388576,2.1717072,0.45975506,mast_cell
mBrain,Myeloid cells,5657,0.013692069,0.0,0.092169695,mast_cell
mBrain,T/NK cells,2683,0.010603206,0.0,0.051782575,mast_cell
mBrain,,2835,0.010383716,0.0,0.053937547,mast_cell
mLN,B lymphocytes,6062,0.0014326212,0.0,0.04735836,mast_cell
mLN,Epithelial cells,3053,0.0085774865,0.0,0.03207464,mast_cell
mLN,Myeloid cells,5442,0.029520523,0.0,0.2643845,mast_cell
mLN,T/NK cells,5069,0.0011167295,0.0,0.011982821,mast_cell
mLN,,1819,0.0018622332,0.0,0.015307342,mast_cell
nLN,B lymphocytes,10584,0.0013602829,0.0,0.038727637,mast_cell
nLN,Myeloid cells,1288,0.010081923,0.0,0.12967606,mast_cell
nLN,T/NK cells,19478,0.0003558616,0.0,0.0067154667,mast_cell
nLN,,6096,0.0047036055,0.0,0.085980214,mast_cell
nLung,B lymphocytes,634,0.010159397,0.0,0.03840941,mast_cell
nLung,Endothelial cells,1295,0.022368796,0.0,0.099810675,mast_cell
nLung,Epithelial cells,3703,0.015688606,0.0,0.102906644,mast_cell
nLung,Fibroblasts,1585,0.0043126675,0.0,0.02263618,mast_cell
nLung,MAST cells,1079,2.0159762,2.0741923,0.48082942,mast_cell
nLung,Myeloid cells,16672,0.014503159,0.0,0.049523417,mast_cell
nLung,T/NK cells,11413,0.0045305556,0.0,0.024176268,mast_cell
nLung,,6614,0.0036594372,0.0,0.021091927,mast_cell
tL/B,B lymphocytes,469,0.006896987,0.0,0.031288,mast_cell
tL/B,Epithelial cells,6582,0.010427898,0.0,0.049429275,mast_cell
tL/B,Myeloid cells,1329,0.16800857,0.0,0.60084945,mast_cell
tL/B,T/NK cells,2627,0.0044493973,0.0,0.04249759,mast_cell
tL/B,,963,0.0057292776,0.0,0.055362493,mast_cell
tLung,B lymphocytes,5312,0.021379992,0.0,0.06352716,mast_cell
tLung,Endothelial cells,627,0.03683169,0.0,0.138778,mast_cell
tLung,Epithelial cells,7270,0.029439073,0.0,0.100777104,mast_cell
tLung,Fibroblasts,1654,0.026838716,0.0,0.12367864,mast_cell
tLung,MAST cells,1809,2.075305,2.0796297,0.51186126,mast_cell
tLung,Myeloid cells,8794,0.029251272,0.0,0.10780351,mast_cell
tLung,T/NK cells,13941,0.0095479945,0.0,0.034627225,mast_cell
tLung,,5742,0.010185326,0.0,0.052537534,mast_cell
PE,B lymphocytes,3285,0.03429583,0.0,0.0699929,neutrophil
PE,Epithelial cells,396,0.18991622,0.12798283,0.2102978,neutrophil
PE,Myeloid cells,3063,0.82649994,0.8889395,0.43946624,neutrophil
PE,T/NK cells,9192,0.033553787,0.0,0.06343224,neutrophil
PE,,4368,0.03714761,0.0,0.06706224,neutrophil
mBrain,B lymphocytes,1311,0.046743926,0.0,0.09611294,neutrophil
mBrain,Endothelial cells,159,0.0759351,0.0,0.11866277,neutrophil
mBrain,Epithelial cells,15463,0.24546798,0.15694462,0.29418895,neutrophil
mBrain,Fibroblasts,444,0.12824239,0.0,0.17808227,neutrophil
mBrain,MAST cells,508,0.02685227,0.0,0.06304424,neutrophil
mBrain,Myeloid cells,5657,0.438289,0.35498667,0.37494633,neutrophil
mBrain,T/NK cells,2683,0.0521272,0.0,0.084461845,neutrophil
mBrain,,2835,0.048477754,0.0,0.100135654,neutrophil
mLN,B lymphocytes,6062,0.023576103,0.0,0.05130733,neutrophil
mLN,Epithelial cells,3053,0.38656414,0.3664213,0.32786608,neutrophil
mLN,Myeloid cells,5442,0.5028476,0.43493178,0.3770773,neutrophil
mLN,T/NK cells,5069,0.022945017,0.0,0.05014876,neutrophil
mLN,,1819,0.029507335,0.0,0.0534649,neutrophil
nLN,B lymphocytes,10584,0.002691636,0.0,0.017022751,neutrophil
nLN,Myeloid cells,1288,0.14167398,0.0,0.21488509,neutrophil
nLN,T/NK cells,19478,0.0013141956,0.0,0.0115423845,neutrophil
nLN,,6096,0.0016026231,0.0,0.014507604,neutrophil
nLung,B lymphocytes,634,0.028220333,0.0,0.066674314,neutrophil
nLung,Endothelial cells,1295,0.03497925,0.0,0.10615564,neutrophil
