accession,filename,url,local_path
GSE307534,GSE307534_RAW.tar,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE307nnn/GSE307534/suppl/GSE307534_RAW.tar,D:\空间转录\luad_epithelial_macrophage_niche\data\raw\GSE307534\GSE307534_RAW.tar
GSE307534,filelist.txt,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE307nnn/GSE307534/suppl/filelist.txt,D:\空间转录\luad_epithelial_macrophage_niche\data\raw\GSE307534\filelist.txt
GSE308103,GSE308103_RAW.tar,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE308nnn/GSE308103/suppl/GSE308103_RAW.tar,D:\空间转录\luad_epithelial_macrophage_niche\data\raw\GSE308103\GSE308103_RAW.tar
GSE308103,filelist.txt,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE308nnn/GSE308103/suppl/filelist.txt,D:\空间转录\luad_epithelial_macrophage_niche\data\raw\GSE308103\filelist.txt
