stage,epithelial_state,n_samples,mean_fraction,sd_fraction,total_cells
Adjacent,at2_mature_like,30,0.19294204721371994,0.0240502832477184,3522
Adjacent,other_epithelial,30,0.4606410947020617,0.03688048309802236,8330
Adjacent,progenitor_like,30,0.15306826512064242,0.03143549728491755,2698
Adjacent,proliferating_epithelial,30,0.19334859296357595,0.04997236787855178,3462
Tumor,at2_mature_like,26,0.17861825174875356,0.0223663922395783,5806
Tumor,other_epithelial,26,0.472476670592117,0.035713668781249215,15410
Tumor,progenitor_like,26,0.12226028070578389,0.026878018418441466,3644
Tumor,proliferating_epithelial,26,0.22664479695334555,0.035917200983222375,7705
