sample,sample_name,stage,broad_class,n_cells,denominator,fraction
GSM9237971,P24_AAH,AAH,b_plasma,232,11843,0.01958963100565735
GSM9237971,P24_AAH,AAH,dendritic,57,11843,0.00481296968673478
GSM9237971,P24_AAH,AAH,endothelial,1844,11843,0.1557037912691041
GSM9237971,P24_AAH,AAH,epithelial,4704,11843,0.39719665625263867
GSM9237971,P24_AAH,AAH,fibroblast,1891,11843,0.15967238030904332
GSM9237971,P24_AAH,AAH,macrophage,1594,11843,0.13459427509921473
GSM9237971,P24_AAH,AAH,mast_cell,172,11843,0.014523347124883897
GSM9237971,P24_AAH,AAH,neutrophil,136,11843,0.011483576796419826
GSM9237971,P24_AAH,AAH,t_nk,877,11843,0.07405218272397196
GSM9237972,P24_LUAD,LUAD,ambiguous,2083,61383,0.03393447697245166
GSM9237972,P24_LUAD,LUAD,b_plasma,4912,61383,0.08002215597152305
GSM9237972,P24_LUAD,LUAD,dendritic,12,61383,0.00019549386637994232
GSM9237972,P24_LUAD,LUAD,endothelial,1378,61383,0.022449212322630044
GSM9237972,P24_LUAD,LUAD,epithelial,9825,61383,0.16006060309857778
GSM9237972,P24_LUAD,LUAD,fibroblast,29202,61383,0.47573432383558967
GSM9237972,P24_LUAD,LUAD,macrophage,7486,61383,0.12195559031002069
GSM9237972,P24_LUAD,LUAD,mast_cell,327,61383,0.005327207858853428
GSM9237972,P24_LUAD,LUAD,neutrophil,256,61383,0.004170535816105436
GSM9237972,P24_LUAD,LUAD,t_nk,5901,61383,0.09613410879233664
GSM9237972,P24_LUAD,LUAD,unassigned,1,61383,1.629115553166186e-05
GSM9237973,P25_Normal,Normal,ambiguous,678,18259,0.03713237307629114
GSM9237973,P25_Normal,Normal,b_plasma,985,18259,0.053945999233254834
GSM9237973,P25_Normal,Normal,dendritic,56,18259,0.003066980667068295
GSM9237973,P25_Normal,Normal,endothelial,2910,18259,0.15937345966372748
GSM9237973,P25_Normal,Normal,epithelial,4752,18259,0.2602552166055096
GSM9237973,P25_Normal,Normal,fibroblast,5572,18259,0.30516457637329536
GSM9237973,P25_Normal,Normal,macrophage,1454,18259,0.0796319623199518
GSM9237973,P25_Normal,Normal,mast_cell,365,18259,0.01999014184785585
GSM9237973,P25_Normal,Normal,neutrophil,248,18259,0.013582342954159592
GSM9237973,P25_Normal,Normal,t_nk,1207,18259,0.06610438687770415
GSM9237973,P25_Normal,Normal,unassigned,32,18259,0.001752560381181883
GSM9237974,P25_AAH,AAH,ambiguous,158,5187,0.030460767302872567
GSM9237974,P25_AAH,AAH,b_plasma,187,5187,0.036051667630615
GSM9237974,P25_AAH,AAH,dendritic,47,5187,0.009061114324272219
GSM9237974,P25_AAH,AAH,endothelial,714,5187,0.13765182186234817
GSM9237974,P25_AAH,AAH,epithelial,1259,5187,0.24272219009061113
GSM9237974,P25_AAH,AAH,fibroblast,1619,5187,0.31212647002120686
GSM9237974,P25_AAH,AAH,macrophage,562,5187,0.10834779255831888
GSM9237974,P25_AAH,AAH,mast_cell,90,5187,0.01735106998264893
GSM9237974,P25_AAH,AAH,neutrophil,41,5187,0.007904376325428958
GSM9237974,P25_AAH,AAH,t_nk,499,5187,0.09620204357046462
GSM9237974,P25_AAH,AAH,unassigned,11,5187,0.002120686331212647
GSM9237975,P25_LUAD,LUAD,ambiguous,1046,26746,0.03910865176101099
GSM9237975,P25_LUAD,LUAD,b_plasma,4257,26746,0.15916398713826366
GSM9237975,P25_LUAD,LUAD,dendritic,27,26746,0.001009496747177148
GSM9237975,P25_LUAD,LUAD,endothelial,748,26746,0.027966798773648396
GSM9237975,P25_LUAD,LUAD,epithelial,4929,26746,0.18428923951245046
GSM9237975,P25_LUAD,LUAD,fibroblast,6994,26746,0.2614970462872953
GSM9237975,P25_LUAD,LUAD,macrophage,3512,26746,0.1313093546698572
GSM9237975,P25_LUAD,LUAD,mast_cell,150,26746,0.0056083152620952665
GSM9237975,P25_LUAD,LUAD,neutrophil,351,26746,0.013123457713302924
GSM9237975,P25_LUAD,LUAD,t_nk,4619,26746,0.17269872130412023
GSM9237975,P25_LUAD,LUAD,unassigned,113,26746,0.004224930830778434
