perturbation_id,axis_id,evidence_type,stage,n_samples,baseline_panel_mean,perturbed_panel_mean,panel_mean_delta_mean,baseline_observed_fraction,perturbed_observed_fraction,observed_fraction_delta_mean
mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0,mif_cd74_cxcr4,source_near_epithelial_progenitor,Normal,1,0.003381702359,0.0,-0.003381702359,0.325730806296,0.0,-0.325730806296
mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0,mif_cd74_cxcr4,target_near_epithelial_progenitor,AAH,11,0.597989103971,0.0,-0.597989103971,0.48640642353,0.0,-0.48640642353
mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0,mif_cd74_cxcr4,target_near_epithelial_progenitor,AIS,14,0.34827856845,0.0,-0.34827856845,0.526843210105,0.0,-0.526843210105
mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0,mif_cd74_cxcr4,target_near_epithelial_progenitor,LUAD,26,0.581349786788,0.0,-0.581349786788,0.572474847366,0.0,-0.572474847366
mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0,mif_cd74_cxcr4,target_near_epithelial_progenitor,MIA,4,0.062023656215,0.0,-0.062023656215,0.601061056327,0.0,-0.601061056327
mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0,mif_cd74_cxcr4,target_near_epithelial_progenitor,Normal,1,0.10942720767,0.0,-0.10942720767,0.46803726309,0.0,-0.46803726309
mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0p5,mif_cd74_cxcr4,source_near_epithelial_progenitor,AAH,11,0.109003606986,0.054501803493,-0.054501803493,0.404228945519,0.404228945519,0.0
mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0p5,mif_cd74_cxcr4,source_near_epithelial_progenitor,AIS,14,0.079465854708,0.039732927354,-0.039732927354,0.464337094508,0.464337094508,0.0
mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0p5,mif_cd74_cxcr4,source_near_epithelial_progenitor,LUAD,26,0.188579489112,0.094289744556,-0.094289744556,0.663461678375,0.663461678375,0.0
mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0p5,mif_cd74_cxcr4,source_near_epithelial_progenitor,MIA,4,0.003925716747,0.001962858374,-0.001962858374,0.466505173515,0.466505173515,0.0
mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0p5,mif_cd74_cxcr4,source_near_epithelial_progenitor,Normal,1,0.003381702359,0.001690851179,-0.001690851179,0.325730806296,0.325730806296,0.0
mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0p5,mif_cd74_cxcr4,target_near_epithelial_progenitor,AAH,11,0.597989103971,0.298994551986,-0.298994551986,0.48640642353,0.48640642353,0.0
mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0p5,mif_cd74_cxcr4,target_near_epithelial_progenitor,AIS,14,0.34827856845,0.174139284225,-0.174139284225,0.526843210105,0.526843210105,0.0
mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0p5,mif_cd74_cxcr4,target_near_epithelial_progenitor,LUAD,26,0.581349786788,0.290674893394,-0.290674893394,0.572474847366,0.572474847366,0.0
mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0p5,mif_cd74_cxcr4,target_near_epithelial_progenitor,MIA,4,0.062023656215,0.031011828108,-0.031011828108,0.601061056327,0.601061056327,0.0
mif_cd74_cxcr4_axis_MIF_CD74_CXCR4_CD44_x0p5,mif_cd74_cxcr4,target_near_epithelial_progenitor,Normal,1,0.10942720767,0.054713603835,-0.054713603835,0.46803726309,0.46803726309,0.0
mif_cd74_cxcr4_gene_CD44_x0,mif_cd74_cxcr4,target_near_epithelial_progenitor,AAH,11,0.597989103971,0.412763931549,-0.185225172423,0.48640642353,0.480770979111,-0.005635444419
mif_cd74_cxcr4_gene_CD44_x0,mif_cd74_cxcr4,target_near_epithelial_progenitor,AIS,14,0.34827856845,0.245838082688,-0.102440485762,0.526843210105,0.509055039619,-0.017788170486
mif_cd74_cxcr4_gene_CD44_x0,mif_cd74_cxcr4,target_near_epithelial_progenitor,LUAD,26,0.581349786788,0.418511827557,-0.162837959232,0.572474847366,0.545923321754,-0.026551525611
mif_cd74_cxcr4_gene_CD44_x0,mif_cd74_cxcr4,target_near_epithelial_progenitor,MIA,4,0.062023656215,0.051221901857,-0.010801754358,0.601061056327,0.593303782491,-0.007757273836
mif_cd74_cxcr4_gene_CD44_x0,mif_cd74_cxcr4,target_near_epithelial_progenitor,Normal,1,0.10942720767,0.095327070604,-0.014100137066,0.46803726309,0.45807902345,-0.00995823964
mif_cd74_cxcr4_gene_CD44_x0p5,mif_cd74_cxcr4,target_near_epithelial_progenitor,AAH,11,0.597989103971,0.50537651776,-0.092612586211,0.48640642353,0.485733797294,-0.000672626236
mif_cd74_cxcr4_gene_CD44_x0p5,mif_cd74_cxcr4,target_near_epithelial_progenitor,AIS,14,0.34827856845,0.297058325569,-0.051220242881,0.526843210105,0.518670568344,-0.008172641761
mif_cd74_cxcr4_gene_CD44_x0p5,mif_cd74_cxcr4,target_near_epithelial_progenitor,LUAD,26,0.581349786788,0.499930807173,-0.081418979616,0.572474847366,0.561384591116,-0.01109025625
