observed_fraction,null_mean,null_sd,enrichment_delta,empirical_p_greater,empirical_p_less,n_permutations,radius,status,sample,sample_name,stage,source,target,quantile,radius_multiplier,n_spots,n_source_high,n_target_high,n_overlap_high,overlap_fraction_of_source,target_to_source_fraction,axis_id,axis_label,evidence_type,gene_panel,genes,patient_id,phase
0.5577380952380953,0.38175,0.008313541569659,0.1759880952380952,0.0099009900990099,1.0,100,395.3239178192992,ok,GSM9226190,P10_LUAD,LUAD,epithelial_progenitor_like,spp1_trem2_macrophage_epithelial_source,0.75,1.0,13441,3360,3360,1600,0.4761904761904761,0.5461309523809523,spp1_trem2_macrophage_epithelial,SPP1/TREM2 macrophage program to epithelial-matrix receptors,source_near_epithelial_progenitor,source,"SPP1,TREM2,PLA2G7,CHIT1,APOE,LGALS3",P10,late
0.8166666666666667,0.381125,0.0077300180769802,0.4355416666666666,0.0099009900990099,1.0,100,395.3239178192992,ok,GSM9226190,P10_LUAD,LUAD,epithelial_progenitor_like,spp1_trem2_macrophage_epithelial_target,0.75,1.0,13441,3360,3360,2563,0.762797619047619,0.8318452380952381,spp1_trem2_macrophage_epithelial,SPP1/TREM2 macrophage program to epithelial-matrix receptors,target_near_epithelial_progenitor,target,"CD44,ITGAV,ITGB1,ITGA5",P10,late
0.4991071428571428,0.3797410714285714,0.0077826278747608,0.1193660714285714,0.0099009900990099,1.0,100,395.3239178192992,ok,GSM9226190,P10_LUAD,LUAD,epithelial_progenitor_like,inflammatory_il1_tnf_cxcl8_source,0.75,1.0,13441,3360,3360,1256,0.3738095238095238,0.4586309523809523,inflammatory_il1_tnf_cxcl8,IL1B/TNF/CXCL8 inflammatory myeloid program,source_near_epithelial_progenitor,source,"IL1B,TNF,CXCL8,CCL3,CCL4,NLRP3",P10,late
0.6416666666666667,0.379764880952381,0.0084560612232862,0.2619017857142857,0.0099009900990099,1.0,100,395.3239178192992,ok,GSM9226190,P10_LUAD,LUAD,epithelial_progenitor_like,inflammatory_il1_tnf_cxcl8_target,0.75,1.0,13441,3360,3360,1791,0.5330357142857143,0.6208333333333333,inflammatory_il1_tnf_cxcl8,IL1B/TNF/CXCL8 inflammatory myeloid program,target_near_epithelial_progenitor,target,"IL1R1,IL1RAP,NFKBIA",P10,late
0.4285714285714285,0.3797291666666667,0.007947874143636,0.0488422619047618,0.0099009900990099,1.0,100,395.3239178192992,ok,GSM9226190,P10_LUAD,LUAD,epithelial_progenitor_like,c1q_apoe_trem2_lgals3_source,0.75,1.0,13441,3360,3360,1183,0.3520833333333333,0.4208333333333333,c1q_apoe_trem2_lgals3,C1Q/APOE/TREM2/LGALS3 immunoregulatory macrophage program,source_near_epithelial_progenitor,source,"C1QA,C1QB,C1QC,APOE,TREM2,LGALS3,MARCO",P10,late
0.7797619047619048,0.3798988095238095,0.0088039869077307,0.3998630952380952,0.0099009900990099,1.0,100,395.3239178192992,ok,GSM9226190,P10_LUAD,LUAD,epithelial_progenitor_like,c1q_apoe_trem2_lgals3_target,0.75,1.0,13441,3360,3360,2433,0.7241071428571428,0.8041666666666667,c1q_apoe_trem2_lgals3,C1Q/APOE/TREM2/LGALS3 immunoregulatory macrophage program,target_near_epithelial_progenitor,target,"LRP1,TREM2,CD44",P10,late
0.8422619047619048,0.3806994047619048,0.0089596196376199,0.4615624999999999,0.0099009900990099,1.0,100,395.3239178192992,ok,GSM9226190,P10_LUAD,LUAD,epithelial_progenitor_like,mif_cd74_cxcr4_source,0.75,1.0,13441,3360,3360,2614,0.7779761904761905,0.8401785714285714,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,source_near_epithelial_progenitor,source,MIF,P10,late
0.7008928571428571,0.3810952380952381,0.0080791297731491,0.3197976190476189,0.0099009900990099,1.0,100,395.3239178192992,ok,GSM9226190,P10_LUAD,LUAD,epithelial_progenitor_like,mif_cd74_cxcr4_target,0.75,1.0,13441,3360,3360,2118,0.6303571428571428,0.7119047619047619,mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,target_near_epithelial_progenitor,target,"CD74,CXCR4,CD44",P10,late
0.537797619047619,0.3816547619047618,0.0088503184581279,0.1561428571428572,0.0099009900990099,1.0,100,395.3239178192992,ok,GSM9226190,P10_LUAD,LUAD,epithelial_progenitor_like,cxcl9_cxcl10_cxcr3_source,0.75,1.0,13441,3360,3360,1457,0.4336309523809524,0.5342261904761905,cxcl9_cxcl10_cxcr3,CXCL9/CXCL10-CXCR3 interferon chemokine axis,source_near_epithelial_progenitor,source,"CXCL9,CXCL10",P10,late
0.1663690476190476,0.1728244047619047,0.0068184161706634,-0.0064553571428571,0.8316831683168316,0.2079207920792079,100,395.3239178192992,ok,GSM9226190,P10_LUAD,LUAD,epithelial_progenitor_like,cxcl9_cxcl10_cxcr3_target,0.75,1.0,13441,3360,1399,325,0.0967261904761904,0.3259471050750536,cxcl9_cxcl10_cxcr3,CXCL9/CXCL10-CXCR3 interferon chemokine axis,target_near_epithelial_progenitor,target,CXCR3,P10,late
