Sample_Origin,Cell_type.refined,n_cells,mean_expression,median_expression,gene
mBrain,MAST cells,508,0.033179823,0.0,TRAC
mBrain,Myeloid cells,5657,0.030606728,0.0,TRAC
mBrain,T/NK cells,2683,1.2672298,1.3862944,TRAC
mBrain,,2835,0.40170118,0.0,TRAC
mLN,B lymphocytes,6062,0.25698724,0.0,TRAC
mLN,Epithelial cells,3053,0.090813875,0.0,TRAC
mLN,Myeloid cells,5442,0.0722645,0.0,TRAC
mLN,T/NK cells,5069,1.5311308,1.609438,TRAC
mLN,,1819,0.7277854,0.6931472,TRAC
nLN,B lymphocytes,10584,0.21330988,0.0,TRAC
nLN,Myeloid cells,1288,0.2490374,0.0,TRAC
nLN,T/NK cells,19478,1.5990705,1.609438,TRAC
nLN,,6096,0.8457625,0.6931472,TRAC
nLung,B lymphocytes,634,0.06756645,0.0,TRAC
nLung,Endothelial cells,1295,0.044643708,0.0,TRAC
nLung,Epithelial cells,3703,0.033877265,0.0,TRAC
nLung,Fibroblasts,1585,0.17246763,0.0,TRAC
nLung,MAST cells,1079,0.016435722,0.0,TRAC
nLung,Myeloid cells,16672,0.037500486,0.0,TRAC
nLung,T/NK cells,11413,0.8016262,0.6931472,TRAC
nLung,,6614,0.44256037,0.0,TRAC
tL/B,B lymphocytes,469,0.16734861,0.0,TRAC
tL/B,Epithelial cells,6582,0.027260408,0.0,TRAC
tL/B,Myeloid cells,1329,0.065087155,0.0,TRAC
tL/B,T/NK cells,2627,1.3377429,1.3862944,TRAC
tL/B,,963,0.6162071,0.6931472,TRAC
tLung,B lymphocytes,5312,0.19064906,0.0,TRAC
tLung,Endothelial cells,627,0.081297785,0.0,TRAC
tLung,Epithelial cells,7270,0.04672525,0.0,TRAC
tLung,Fibroblasts,1654,0.16020846,0.0,TRAC
tLung,MAST cells,1809,0.04032404,0.0,TRAC
tLung,Myeloid cells,8794,0.10614208,0.0,TRAC
tLung,T/NK cells,13941,1.4881334,1.609438,TRAC
tLung,,5742,0.72141856,0.6931472,TRAC
PE,B lymphocytes,3285,0.069178686,0.0,NKG7
PE,Epithelial cells,396,0.34713775,0.0,NKG7
PE,Myeloid cells,3063,0.21958923,0.0,NKG7
PE,T/NK cells,9192,0.7044358,0.0,NKG7
PE,,4368,0.66386724,0.0,NKG7
mBrain,B lymphocytes,1311,0.023783622,0.0,NKG7
mBrain,Endothelial cells,159,0.03011001,0.0,NKG7
mBrain,Epithelial cells,15463,0.013905849,0.0,NKG7
mBrain,Fibroblasts,444,0.047099546,0.0,NKG7
mBrain,MAST cells,508,0.046592597,0.0,NKG7
mBrain,Myeloid cells,5657,0.1506455,0.0,NKG7
mBrain,T/NK cells,2683,0.8776153,0.0,NKG7
mBrain,,2835,0.5892996,0.0,NKG7
mLN,B lymphocytes,6062,0.047321,0.0,NKG7
mLN,Epithelial cells,3053,0.17091669,0.0,NKG7
mLN,Myeloid cells,5442,0.15067439,0.0,NKG7
mLN,T/NK cells,5069,1.050639,0.0,NKG7
mLN,,1819,1.3111706,0.6931472,NKG7
nLN,B lymphocytes,10584,0.031100344,0.0,NKG7
nLN,Myeloid cells,1288,0.07308011,0.0,NKG7
nLN,T/NK cells,19478,0.24054307,0.0,NKG7
nLN,,6096,0.32407248,0.0,NKG7
nLung,B lymphocytes,634,0.24198776,0.0,NKG7
nLung,Endothelial cells,1295,0.1758063,0.0,NKG7
nLung,Epithelial cells,3703,0.20670614,0.0,NKG7
nLung,Fibroblasts,1585,0.12574695,0.0,NKG7
nLung,MAST cells,1079,0.12740326,0.0,NKG7
nLung,Myeloid cells,16672,0.26819402,0.0,NKG7
nLung,T/NK cells,11413,1.9594929,2.3978953,NKG7
nLung,,6614,1.9495962,2.3025851,NKG7
tL/B,B lymphocytes,469,0.18417126,0.0,NKG7
tL/B,Epithelial cells,6582,0.067806505,0.0,NKG7
tL/B,Myeloid cells,1329,0.22241643,0.0,NKG7
tL/B,T/NK cells,2627,1.5106655,1.609438,NKG7
tL/B,,963,1.5569597,1.3862944,NKG7
tLung,B lymphocytes,5312,0.052138574,0.0,NKG7
tLung,Endothelial cells,627,0.06980286,0.0,NKG7
tLung,Epithelial cells,7270,0.05834121,0.0,NKG7
tLung,Fibroblasts,1654,0.05908745,0.0,NKG7
tLung,MAST cells,1809,0.032939784,0.0,NKG7
tLung,Myeloid cells,8794,0.11250927,0.0,NKG7
tLung,T/NK cells,13941,0.73544115,0.0,NKG7
tLung,,5742,0.77293104,0.0,NKG7
PE,B lymphocytes,3285,0.025896942,0.0,GNLY
PE,Epithelial cells,396,0.16334744,0.0,GNLY
PE,Myeloid cells,3063,0.05936503,0.0,GNLY
PE,T/NK cells,9192,0.2027647,0.0,GNLY
PE,,4368,0.27901345,0.0,GNLY
mBrain,B lymphocytes,1311,0.020181065,0.0,GNLY
mBrain,Endothelial cells,159,0.06062593,0.0,GNLY
mBrain,Epithelial cells,15463,0.0562333,0.0,GNLY
mBrain,Fibroblasts,444,0.02836584,0.0,GNLY
mBrain,MAST cells,508,0.005457852,0.0,GNLY
mBrain,Myeloid cells,5657,0.045770623,0.0,GNLY
mBrain,T/NK cells,2683,0.38572153,0.0,GNLY
mBrain,,2835,0.39135197,0.0,GNLY
mLN,B lymphocytes,6062,0.02377869,0.0,GNLY
mLN,Epithelial cells,3053,0.20749296,0.0,GNLY
mLN,Myeloid cells,5442,0.070539534,0.0,GNLY
mLN,T/NK cells,5069,0.67981976,0.0,GNLY
mLN,,1819,1.1816999,0.0,GNLY
nLN,B lymphocytes,10584,0.01905014,0.0,GNLY
nLN,Myeloid cells,1288,0.037662275,0.0,GNLY
nLN,T/NK cells,19478,0.057148416,0.0,GNLY
nLN,,6096,0.13651213,0.0,GNLY
nLung,B lymphocytes,634,0.13579775,0.0,GNLY
nLung,Endothelial cells,1295,0.112981364,0.0,GNLY
nLung,Epithelial cells,3703,0.16092768,0.0,GNLY
nLung,Fibroblasts,1585,0.105330855,0.0,GNLY
nLung,MAST cells,1079,0.0770046,0.0,GNLY
nLung,Myeloid cells,16672,0.18891415,0.0,GNLY
nLung,T/NK cells,11413,1.2295294,0.6931472,GNLY
nLung,,6614,1.2437707,0.6931472,GNLY
tL/B,B lymphocytes,469,0.09779665,0.0,GNLY
tL/B,Epithelial cells,6582,0.06482902,0.0,GNLY
tL/B,Myeloid cells,1329,0.11667727,0.0,GNLY
tL/B,T/NK cells,2627,0.8568361,0.0,GNLY
tL/B,,963,1.2978356,0.6931472,GNLY
tLung,B lymphocytes,5312,0.024299297,0.0,GNLY
tLung,Endothelial cells,627,0.042058,0.0,GNLY
tLung,Epithelial cells,7270,0.17405735,0.0,GNLY
tLung,Fibroblasts,1654,0.040354412,0.0,GNLY
tLung,MAST cells,1809,0.017307576,0.0,GNLY
tLung,Myeloid cells,8794,0.048976306,0.0,GNLY
tLung,T/NK cells,13941,0.33925515,0.0,GNLY
tLung,,5742,0.41812497,0.0,GNLY
PE,B lymphocytes,3285,0.778426,0.6931472,MS4A1
PE,Epithelial cells,396,0.029756319,0.0,MS4A1
PE,Myeloid cells,3063,0.016072348,0.0,MS4A1
PE,T/NK cells,9192,0.015886864,0.0,MS4A1
PE,,4368,0.012695003,0.0,MS4A1
mBrain,B lymphocytes,1311,0.33218548,0.0,MS4A1
mBrain,Endothelial cells,159,0.0,0.0,MS4A1
mBrain,Epithelial cells,15463,0.0011358886,0.0,MS4A1
mBrain,Fibroblasts,444,0.002474352,0.0,MS4A1
mBrain,MAST cells,508,0.005897111,0.0,MS4A1
mBrain,Myeloid cells,5657,0.0008577038,0.0,MS4A1
mBrain,T/NK cells,2683,0.009388321,0.0,MS4A1
mBrain,,2835,0.0058079837,0.0,MS4A1
mLN,B lymphocytes,6062,1.1930724,1.0986123,MS4A1
mLN,Epithelial cells,3053,0.049257036,0.0,MS4A1
mLN,Myeloid cells,5442,0.03569071,0.0,MS4A1
mLN,T/NK cells,5069,0.025047315,0.0,MS4A1
mLN,,1819,0.021843685,0.0,MS4A1
nLN,B lymphocytes,10584,1.0244495,1.0986123,MS4A1
nLN,Myeloid cells,1288,0.07003841,0.0,MS4A1
nLN,T/NK cells,19478,0.029688973,0.0,MS4A1
nLN,,6096,0.033236325,0.0,MS4A1
nLung,B lymphocytes,634,0.3948305,0.0,MS4A1
nLung,Endothelial cells,1295,0.0010704976,0.0,MS4A1
nLung,Epithelial cells,3703,0.0011231118,0.0,MS4A1
nLung,Fibroblasts,1585,0.0,0.0,MS4A1
nLung,MAST cells,1079,0.00064239773,0.0,MS4A1
nLung,Myeloid cells,16672,0.001434017,0.0,MS4A1
nLung,T/NK cells,11413,0.005836134,0.0,MS4A1
nLung,,6614,0.00857784,0.0,MS4A1
tL/B,B lymphocytes,469,0.7757239,0.6931472,MS4A1
tL/B,Epithelial cells,6582,0.0010709898,0.0,MS4A1
tL/B,Myeloid cells,1329,0.0052155545,0.0,MS4A1
tL/B,T/NK cells,2627,0.010972402,0.0,MS4A1
tL/B,,963,0.007917569,0.0,MS4A1
tLung,B lymphocytes,5312,0.72933286,0.6931472,MS4A1
tLung,Endothelial cells,627,0.0061741644,0.0,MS4A1
tLung,Epithelial cells,7270,0.0058483556,0.0,MS4A1
tLung,Fibroblasts,1654,0.008381465,0.0,MS4A1
tLung,MAST cells,1809,0.0088779265,0.0,MS4A1
tLung,Myeloid cells,8794,0.012416183,0.0,MS4A1
tLung,T/NK cells,13941,0.013703069,0.0,MS4A1
tLung,,5742,0.013528806,0.0,MS4A1
PE,B lymphocytes,3285,1.7377625,1.7917595,CD79A
PE,Epithelial cells,396,0.09796692,0.0,CD79A
PE,Myeloid cells,3063,0.042604834,0.0,CD79A
PE,T/NK cells,9192,0.028787004,0.0,CD79A
PE,,4368,0.027348446,0.0,CD79A
mBrain,B lymphocytes,1311,1.2038369,1.0986123,CD79A
mBrain,Endothelial cells,159,0.0,0.0,CD79A
mBrain,Epithelial cells,15463,0.010859141,0.0,CD79A
mBrain,Fibroblasts,444,0.014050281,0.0,CD79A
mBrain,MAST cells,508,0.016039109,0.0,CD79A
mBrain,Myeloid cells,5657,0.009282179,0.0,CD79A
mBrain,T/NK cells,2683,0.020005057,0.0,CD79A
mBrain,,2835,0.014058267,0.0,CD79A
mLN,B lymphocytes,6062,1.5295751,1.609438,CD79A
mLN,Epithelial cells,3053,0.085068986,0.0,CD79A
mLN,Myeloid cells,5442,0.04020138,0.0,CD79A
mLN,T/NK cells,5069,0.04895673,0.0,CD79A
mLN,,1819,0.032020953,0.0,CD79A
nLN,B lymphocytes,10584,1.454412,1.609438,CD79A
nLN,Myeloid cells,1288,0.13662127,0.0,CD79A
nLN,T/NK cells,19478,0.04628617,0.0,CD79A
nLN,,6096,0.046650704,0.0,CD79A
nLung,B lymphocytes,634,0.91290456,0.6931472,CD79A
nLung,Endothelial cells,1295,0.0032114927,0.0,CD79A
nLung,Epithelial cells,3703,0.002433409,0.0,CD79A
nLung,Fibroblasts,1585,0.0013119505,0.0,CD79A
nLung,MAST cells,1079,0.002569591,0.0,CD79A
nLung,Myeloid cells,16672,0.0038815835,0.0,CD79A
nLung,T/NK cells,11413,0.002657371,0.0,CD79A
nLung,,6614,0.006218643,0.0,CD79A
tL/B,B lymphocytes,469,1.3305523,1.3862944,CD79A
tL/B,Epithelial cells,6582,0.027611388,0.0,CD79A
tL/B,Myeloid cells,1329,0.011839538,0.0,CD79A
tL/B,T/NK cells,2627,0.021039428,0.0,CD79A
tL/B,,963,0.011449445,0.0,CD79A
tLung,B lymphocytes,5312,1.6035125,1.609438,CD79A
tLung,Endothelial cells,627,0.023378192,0.0,CD79A
tLung,Epithelial cells,7270,0.018829683,0.0,CD79A
tLung,Fibroblasts,1654,0.0386471,0.0,CD79A
tLung,MAST cells,1809,0.0119075775,0.0,CD79A
tLung,Myeloid cells,8794,0.028838826,0.0,CD79A
tLung,T/NK cells,13941,0.02639759,0.0,CD79A
tLung,,5742,0.02926449,0.0,CD79A
PE,B lymphocytes,3285,1.253361,1.3862944,CD79B
PE,Epithelial cells,396,0.0601075,0.0,CD79B
PE,Myeloid cells,3063,0.08654825,0.0,CD79B
PE,T/NK cells,9192,0.07431101,0.0,CD79B
PE,,4368,0.059525963,0.0,CD79B
mBrain,B lymphocytes,1311,0.56790215,0.6931472,CD79B
mBrain,Endothelial cells,159,0.0668728,0.0,CD79B
mBrain,Epithelial cells,15463,0.002069621,0.0,CD79B
mBrain,Fibroblasts,444,0.08669358,0.0,CD79B
mBrain,MAST cells,508,0.06287011,0.0,CD79B
mBrain,Myeloid cells,5657,0.024873022,0.0,CD79B
mBrain,T/NK cells,2683,0.10198616,0.0,CD79B
mBrain,,2835,0.037897334,0.0,CD79B
mLN,B lymphocytes,6062,0.9650209,1.0986123,CD79B
mLN,Epithelial cells,3053,0.048324615,0.0,CD79B
mLN,Myeloid cells,5442,0.054402597,0.0,CD79B
mLN,T/NK cells,5069,0.10471514,0.0,CD79B
mLN,,1819,0.06526947,0.0,CD79B
nLN,B lymphocytes,10584,0.91217166,1.0986123,CD79B
nLN,Myeloid cells,1288,0.11220219,0.0,CD79B
nLN,T/NK cells,19478,0.07755954,0.0,CD79B
nLN,,6096,0.056425866,0.0,CD79B
nLung,B lymphocytes,634,0.35095745,0.0,CD79B
nLung,Endothelial cells,1295,0.035446327,0.0,CD79B
nLung,Epithelial cells,3703,0.0042878333,0.0,CD79B
nLung,Fibroblasts,1585,0.00962097,0.0,CD79B
nLung,MAST cells,1079,0.03442286,0.0,CD79B
nLung,Myeloid cells,16672,0.031721,0.0,CD79B
nLung,T/NK cells,11413,0.048936196,0.0,CD79B
nLung,,6614,0.030299177,0.0,CD79B
tL/B,B lymphocytes,469,1.0038953,1.0986123,CD79B
tL/B,Epithelial cells,6582,0.003387799,0.0,CD79B
tL/B,Myeloid cells,1329,0.0504921,0.0,CD79B
tL/B,T/NK cells,2627,0.08321475,0.0,CD79B
tL/B,,963,0.054526776,0.0,CD79B
tLung,B lymphocytes,5312,0.5194734,0.6931472,CD79B
tLung,Endothelial cells,627,0.12924212,0.0,CD79B
tLung,Epithelial cells,7270,0.0062459307,0.0,CD79B
tLung,Fibroblasts,1654,0.020819435,0.0,CD79B
tLung,MAST cells,1809,0.050361257,0.0,CD79B
tLung,Myeloid cells,8794,0.02322846,0.0,CD79B
tLung,T/NK cells,13941,0.07242973,0.0,CD79B
tLung,,5742,0.040212184,0.0,CD79B
PE,B lymphocytes,3285,0.24621384,0.0,MZB1
PE,Epithelial cells,396,0.0601075,0.0,MZB1
PE,Myeloid cells,3063,0.022762058,0.0,MZB1
PE,T/NK cells,9192,0.019745467,0.0,MZB1
PE,,4368,0.09376242,0.0,MZB1
mBrain,B lymphocytes,1311,1.399684,0.6931472,MZB1
mBrain,Endothelial cells,159,0.028706593,0.0,MZB1
mBrain,Epithelial cells,15463,0.014671976,0.0,MZB1
mBrain,Fibroblasts,444,0.029926982,0.0,MZB1
mBrain,MAST cells,508,0.040757008,0.0,MZB1
mBrain,Myeloid cells,5657,0.021971075,0.0,MZB1
mBrain,T/NK cells,2683,0.045402102,0.0,MZB1
mBrain,,2835,0.031100122,0.0,MZB1
mLN,B lymphocytes,6062,0.2562974,0.0,MZB1
mLN,Epithelial cells,3053,0.03890001,0.0,MZB1
mLN,Myeloid cells,5442,0.030706827,0.0,MZB1
mLN,T/NK cells,5069,0.035396162,0.0,MZB1
mLN,,1819,0.031665467,0.0,MZB1
nLN,B lymphocytes,10584,0.34217125,0.0,MZB1
nLN,Myeloid cells,1288,0.12586199,0.0,MZB1
nLN,T/NK cells,19478,0.019517377,0.0,MZB1
nLN,,6096,0.077697195,0.0,MZB1
nLung,B lymphocytes,634,0.6859077,0.0,MZB1
nLung,Endothelial cells,1295,0.004454302,0.0,MZB1
nLung,Epithelial cells,3703,0.0077840937,0.0,MZB1
nLung,Fibroblasts,1585,0.00087463367,0.0,MZB1
nLung,MAST cells,1079,0.002302972,0.0,MZB1
nLung,Myeloid cells,16672,0.0028169453,0.0,MZB1
nLung,T/NK cells,11413,0.005339949,0.0,MZB1
nLung,,6614,0.0044915164,0.0,MZB1
tL/B,B lymphocytes,469,0.5666999,0.0,MZB1
tL/B,Epithelial cells,6582,0.0058278125,0.0,MZB1
tL/B,Myeloid cells,1329,0.030571481,0.0,MZB1
tL/B,T/NK cells,2627,0.026604954,0.0,MZB1
tL/B,,963,0.022014413,0.0,MZB1
tLung,B lymphocytes,5312,0.7228734,0.0,MZB1
tLung,Endothelial cells,627,0.029663704,0.0,MZB1
tLung,Epithelial cells,7270,0.02246517,0.0,MZB1
tLung,Fibroblasts,1654,0.034959268,0.0,MZB1
tLung,MAST cells,1809,0.013072221,0.0,MZB1
tLung,Myeloid cells,8794,0.03256082,0.0,MZB1
tLung,T/NK cells,13941,0.031113788,0.0,MZB1
tLung,,5742,0.038123515,0.0,MZB1
PE,B lymphocytes,3285,0.533885,0.0,JCHAIN
PE,Epithelial cells,396,0.33523694,0.0,JCHAIN
PE,Myeloid cells,3063,0.0678517,0.0,JCHAIN
PE,T/NK cells,9192,0.038718373,0.0,JCHAIN
PE,,4368,0.22377852,0.0,JCHAIN
mBrain,B lymphocytes,1311,1.2742497,0.6931472,JCHAIN
mBrain,Endothelial cells,159,0.004359416,0.0,JCHAIN
mBrain,Epithelial cells,15463,0.018997757,0.0,JCHAIN
mBrain,Fibroblasts,444,0.040207047,0.0,JCHAIN
mBrain,MAST cells,508,0.04353577,0.0,JCHAIN
mBrain,Myeloid cells,5657,0.026363244,0.0,JCHAIN
mBrain,T/NK cells,2683,0.023245433,0.0,JCHAIN
mBrain,,2835,0.026951207,0.0,JCHAIN
mLN,B lymphocytes,6062,0.38349393,0.0,JCHAIN
mLN,Epithelial cells,3053,0.06484091,0.0,JCHAIN
mLN,Myeloid cells,5442,0.0614287,0.0,JCHAIN
mLN,T/NK cells,5069,0.016729044,0.0,JCHAIN
mLN,,1819,0.024746621,0.0,JCHAIN
nLN,B lymphocytes,10584,0.6455827,0.0,JCHAIN
nLN,Myeloid cells,1288,0.3952027,0.0,JCHAIN
nLN,T/NK cells,19478,0.09285455,0.0,JCHAIN
nLN,,6096,0.19937685,0.0,JCHAIN
nLung,B lymphocytes,634,1.5322087,0.6931472,JCHAIN
nLung,Endothelial cells,1295,0.017351616,0.0,JCHAIN
nLung,Epithelial cells,3703,0.030091258,0.0,JCHAIN
nLung,Fibroblasts,1585,0.024556927,0.0,JCHAIN
nLung,MAST cells,1079,0.019005314,0.0,JCHAIN
nLung,Myeloid cells,16672,0.03009191,0.0,JCHAIN
nLung,T/NK cells,11413,0.009692094,0.0,JCHAIN
nLung,,6614,0.011887477,0.0,JCHAIN
tL/B,B lymphocytes,469,0.91683173,0.0,JCHAIN
tL/B,Epithelial cells,6582,0.024880754,0.0,JCHAIN
tL/B,Myeloid cells,1329,0.08981302,0.0,JCHAIN
tL/B,T/NK cells,2627,0.043142878,0.0,JCHAIN
tL/B,,963,0.050018776,0.0,JCHAIN
tLung,B lymphocytes,5312,1.4702219,0.6931472,JCHAIN
tLung,Endothelial cells,627,0.13204812,0.0,JCHAIN
tLung,Epithelial cells,7270,0.13609438,0.0,JCHAIN
tLung,Fibroblasts,1654,0.25877428,0.0,JCHAIN
tLung,MAST cells,1809,0.10328023,0.0,JCHAIN
tLung,Myeloid cells,8794,0.22428294,0.0,JCHAIN
tLung,T/NK cells,13941,0.15046218,0.0,JCHAIN
tLung,,5742,0.14539152,0.0,JCHAIN
PE,B lymphocytes,3285,0.045541976,0.0,PECAM1
PE,Epithelial cells,396,0.031804122,0.0,PECAM1
PE,Myeloid cells,3063,0.3213984,0.0,PECAM1
PE,T/NK cells,9192,0.026206372,0.0,PECAM1
PE,,4368,0.042210642,0.0,PECAM1
mBrain,B lymphocytes,1311,0.13986294,0.0,PECAM1
mBrain,Endothelial cells,159,1.4801894,1.3862944,PECAM1
mBrain,Epithelial cells,15463,0.03444825,0.0,PECAM1
mBrain,Fibroblasts,444,0.021855991,0.0,PECAM1
mBrain,MAST cells,508,0.001364463,0.0,PECAM1
mBrain,Myeloid cells,5657,0.21462533,0.0,PECAM1
mBrain,T/NK cells,2683,0.030446192,0.0,PECAM1
mBrain,,2835,0.024747813,0.0,PECAM1
mLN,B lymphocytes,6062,0.023421254,0.0,PECAM1
mLN,Epithelial cells,3053,0.18572058,0.0,PECAM1
mLN,Myeloid cells,5442,0.30664992,0.0,PECAM1
mLN,T/NK cells,5069,0.028042039,0.0,PECAM1
mLN,,1819,0.028327905,0.0,PECAM1
nLN,B lymphocytes,10584,0.04458444,0.0,PECAM1
nLN,Myeloid cells,1288,0.2418384,0.0,PECAM1
nLN,T/NK cells,19478,0.02271158,0.0,PECAM1
nLN,,6096,0.027984487,0.0,PECAM1
nLung,B lymphocytes,634,0.12909423,0.0,PECAM1
nLung,Endothelial cells,1295,1.0360365,1.0986123,PECAM1
nLung,Epithelial cells,3703,0.07566884,0.0,PECAM1
nLung,Fibroblasts,1585,0.01828587,0.0,PECAM1
nLung,MAST cells,1079,0.029333025,0.0,PECAM1
nLung,Myeloid cells,16672,0.7896379,0.6931472,PECAM1
nLung,T/NK cells,11413,0.026243651,0.0,PECAM1
nLung,,6614,0.02774551,0.0,PECAM1
tL/B,B lymphocytes,469,0.088342674,0.0,PECAM1
tL/B,Epithelial cells,6582,0.032988913,0.0,PECAM1
tL/B,Myeloid cells,1329,0.31685156,0.0,PECAM1
tL/B,T/NK cells,2627,0.029860454,0.0,PECAM1
tL/B,,963,0.018836563,0.0,PECAM1
tLung,B lymphocytes,5312,0.08396526,0.0,PECAM1
tLung,Endothelial cells,627,1.3362443,1.3862944,PECAM1
tLung,Epithelial cells,7270,0.05042424,0.0,PECAM1
tLung,Fibroblasts,1654,0.026196176,0.0,PECAM1
tLung,MAST cells,1809,0.008010808,0.0,PECAM1
tLung,Myeloid cells,8794,0.45976993,0.0,PECAM1
tLung,T/NK cells,13941,0.017573757,0.0,PECAM1
tLung,,5742,0.019182252,0.0,PECAM1
PE,B lymphocytes,3285,0.0,0.0,VWF
PE,Epithelial cells,396,0.0017503717,0.0,VWF
PE,Myeloid cells,3063,0.00045259367,0.0,VWF
PE,T/NK cells,9192,0.0,0.0,VWF
PE,,4368,0.0,0.0,VWF
mBrain,B lymphocytes,1311,0.0045390106,0.0,VWF
mBrain,Endothelial cells,159,2.1408844,2.1972246,VWF
mBrain,Epithelial cells,15463,0.008790177,0.0,VWF
mBrain,Fibroblasts,444,0.0078057116,0.0,VWF
mBrain,MAST cells,508,0.001364463,0.0,VWF
mBrain,Myeloid cells,5657,0.006984159,0.0,VWF
mBrain,T/NK cells,2683,0.001291739,0.0,VWF
mBrain,,2835,0.016235847,0.0,VWF
mLN,B lymphocytes,6062,0.00011434298,0.0,VWF
mLN,Epithelial cells,3053,0.0036326088,0.0,VWF
mLN,Myeloid cells,5442,0.0012736993,0.0,VWF
mLN,T/NK cells,5069,0.0002734848,0.0,VWF
mLN,,1819,0.00076211896,0.0,VWF
nLN,B lymphocytes,10584,0.00026196038,0.0,VWF
nLN,Myeloid cells,1288,0.019330177,0.0,VWF
nLN,T/NK cells,19478,0.0001779308,0.0,VWF
nLN,,6096,0.000113705246,0.0,VWF
nLung,B lymphocytes,634,0.0071992874,0.0,VWF
nLung,Endothelial cells,1295,0.98833084,0.6931472,VWF
nLung,Epithelial cells,3703,0.008437717,0.0,VWF
nLung,Fibroblasts,1585,0.0013119505,0.0,VWF
nLung,MAST cells,1079,0.006533137,0.0,VWF
nLung,Myeloid cells,16672,0.01324446,0.0,VWF
nLung,T/NK cells,11413,0.0028899836,0.0,VWF
nLung,,6614,0.0072926376,0.0,VWF
tL/B,B lymphocytes,469,0.0,0.0,VWF
tL/B,Epithelial cells,6582,0.0013690237,0.0,VWF
tL/B,Myeloid cells,1329,0.0031293326,0.0,VWF
tL/B,T/NK cells,2627,0.0005277101,0.0,VWF
tL/B,,963,0.000719779,0.0,VWF
tLung,B lymphocytes,5312,0.003990941,0.0,VWF
tLung,Endothelial cells,627,1.5287392,1.609438,VWF
tLung,Epithelial cells,7270,0.0055065528,0.0,VWF
tLung,Fibroblasts,1654,0.0098838275,0.0,VWF
tLung,MAST cells,1809,0.0026821615,0.0,VWF
tLung,Myeloid cells,8794,0.009045007,0.0,VWF
tLung,T/NK cells,13941,0.0021961308,0.0,VWF
tLung,,5742,0.005190631,0.0,VWF
PE,B lymphocytes,3285,0.0,0.0,KDR
PE,Epithelial cells,396,0.24554962,0.0,KDR
PE,Myeloid cells,3063,0.0006788905,0.0,KDR
PE,T/NK cells,9192,0.00015081531,0.0,KDR
PE,,4368,0.0003173751,0.0,KDR
mBrain,B lymphocytes,1311,0.00052871637,0.0,KDR
mBrain,Endothelial cells,159,0.5718066,0.0,KDR
mBrain,Epithelial cells,15463,0.048510637,0.0,KDR
mBrain,Fibroblasts,444,0.015876701,0.0,KDR
mBrain,MAST cells,508,0.0,0.0,KDR
mBrain,Myeloid cells,5657,0.0016645533,0.0,KDR
mBrain,T/NK cells,2683,0.0,0.0,KDR
mBrain,,2835,0.0075338576,0.0,KDR
mLN,B lymphocytes,6062,0.00045737193,0.0,KDR
mLN,Epithelial cells,3053,0.1037924,0.0,KDR
mLN,Myeloid cells,5442,0.0026747687,0.0,KDR
mLN,T/NK cells,5069,0.00095719675,0.0,KDR
mLN,,1819,0.0,0.0,KDR
nLN,B lymphocytes,10584,0.0,0.0,KDR
nLN,Myeloid cells,1288,0.002152631,0.0,KDR
nLN,T/NK cells,19478,7.117232e-05,0.0,KDR
nLN,,6096,0.00022741049,0.0,KDR
nLung,B lymphocytes,634,0.0010932921,0.0,KDR
nLung,Endothelial cells,1295,0.1952275,0.0,KDR
nLung,Epithelial cells,3703,0.01616521,0.0,KDR
nLung,Fibroblasts,1585,0.030653607,0.0,KDR
nLung,MAST cells,1079,0.0019271933,0.0,KDR
nLung,Myeloid cells,16672,0.0007483595,0.0,KDR
nLung,T/NK cells,11413,0.00036439876,0.0,KDR
nLung,,6614,0.0035614923,0.0,KDR
tL/B,B lymphocytes,469,0.0,0.0,KDR
tL/B,Epithelial cells,6582,0.15903829,0.0,KDR
tL/B,Myeloid cells,1329,0.0010431109,0.0,KDR
tL/B,T/NK cells,2627,0.00026385504,0.0,KDR
tL/B,,963,0.0,0.0,KDR
tLung,B lymphocytes,5312,0.00039146113,0.0,KDR
tLung,Endothelial cells,627,0.29095405,0.0,KDR
tLung,Epithelial cells,7270,0.10738188,0.0,KDR
tLung,Fibroblasts,1654,0.013670646,0.0,KDR
tLung,MAST cells,1809,0.0011494978,0.0,KDR
tLung,Myeloid cells,8794,0.0019705116,0.0,KDR
tLung,T/NK cells,13941,0.0005469205,0.0,KDR
tLung,,5742,0.001690014,0.0,KDR
PE,B lymphocytes,3285,0.0006330111,0.0,CLDN5
PE,Epithelial cells,396,0.0,0.0,CLDN5
PE,Myeloid cells,3063,0.00022629683,0.0,CLDN5
PE,T/NK cells,9192,0.00042114893,0.0,CLDN5
PE,,4368,0.00047606262,0.0,CLDN5
mBrain,B lymphocytes,1311,0.0021148655,0.0,CLDN5
mBrain,Endothelial cells,159,2.8379524,2.7725887,CLDN5
mBrain,Epithelial cells,15463,0.009275649,0.0,CLDN5
mBrain,Fibroblasts,444,0.023417134,0.0,CLDN5
mBrain,MAST cells,508,0.0,0.0,CLDN5
mBrain,Myeloid cells,5657,0.008920032,0.0,CLDN5
mBrain,T/NK cells,2683,0.0019595586,0.0,CLDN5
mBrain,,2835,0.020569613,0.0,CLDN5
mLN,B lymphocytes,6062,0.00022868597,0.0,CLDN5
mLN,Epithelial cells,3053,0.0024031892,0.0,CLDN5
mLN,Myeloid cells,5442,0.0019538358,0.0,CLDN5
