Sample_Origin,Cell_type.refined,n_cells,mean_expression,median_expression,gene
mBrain,Fibroblasts,444,0.43791327,0.0,KRT18
mBrain,MAST cells,508,0.06572608,0.0,KRT18
mBrain,Myeloid cells,5657,0.16012941,0.0,KRT18
mBrain,T/NK cells,2683,0.082296826,0.0,KRT18
mBrain,,2835,0.085882865,0.0,KRT18
mLN,B lymphocytes,6062,0.022801897,0.0,KRT18
mLN,Epithelial cells,3053,2.3990781,2.7080503,KRT18
mLN,Myeloid cells,5442,0.08906924,0.0,KRT18
mLN,T/NK cells,5069,0.034335516,0.0,KRT18
mLN,,1819,0.047278818,0.0,KRT18
nLN,B lymphocytes,10584,0.01405032,0.0,KRT18
nLN,Myeloid cells,1288,0.025882555,0.0,KRT18
nLN,T/NK cells,19478,0.01648581,0.0,KRT18
nLN,,6096,0.012915206,0.0,KRT18
nLung,B lymphocytes,634,0.023415968,0.0,KRT18
nLung,Endothelial cells,1295,0.096758164,0.0,KRT18
nLung,Epithelial cells,3703,1.0713795,1.0986123,KRT18
nLung,Fibroblasts,1585,0.06457456,0.0,KRT18
nLung,MAST cells,1079,0.0044967844,0.0,KRT18
nLung,Myeloid cells,16672,0.05831224,0.0,KRT18
nLung,T/NK cells,11413,0.0069797435,0.0,KRT18
nLung,,6614,0.022801766,0.0,KRT18
tL/B,B lymphocytes,469,0.09779665,0.0,KRT18
tL/B,Epithelial cells,6582,2.1554558,2.0794415,KRT18
tL/B,Myeloid cells,1329,0.15625888,0.0,KRT18
tL/B,T/NK cells,2627,0.06576544,0.0,KRT18
tL/B,,963,0.06393919,0.0,KRT18
tLung,B lymphocytes,5312,0.049217924,0.0,KRT18
tLung,Endothelial cells,627,0.18994024,0.0,KRT18
tLung,Epithelial cells,7270,2.0223527,1.9459101,KRT18
tLung,Fibroblasts,1654,0.12302477,0.0,KRT18
tLung,MAST cells,1809,0.023886507,0.0,KRT18
tLung,Myeloid cells,8794,0.08860329,0.0,KRT18
tLung,T/NK cells,13941,0.05350378,0.0,KRT18
tLung,,5742,0.058295976,0.0,KRT18
PE,B lymphocytes,3285,0.018341457,0.0,KRT19
PE,Epithelial cells,396,2.6690624,2.8332133,KRT19
PE,Myeloid cells,3063,0.040642284,0.0,KRT19
PE,T/NK cells,9192,0.022460142,0.0,KRT19
PE,,4368,0.022428874,0.0,KRT19
mBrain,B lymphocytes,1311,0.107560925,0.0,KRT19
mBrain,Endothelial cells,159,0.23360625,0.0,KRT19
mBrain,Epithelial cells,15463,2.1886067,2.0794415,KRT19
mBrain,Fibroblasts,444,0.29188675,0.0,KRT19
mBrain,MAST cells,508,0.20874189,0.0,KRT19
mBrain,Myeloid cells,5657,0.15031783,0.0,KRT19
mBrain,T/NK cells,2683,0.091591895,0.0,KRT19
mBrain,,2835,0.08594411,0.0,KRT19
mLN,B lymphocytes,6062,0.039810613,0.0,KRT19
mLN,Epithelial cells,3053,2.3874404,2.3978953,KRT19
mLN,Myeloid cells,5442,0.12104161,0.0,KRT19
mLN,T/NK cells,5069,0.043159187,0.0,KRT19
mLN,,1819,0.05051472,0.0,KRT19
nLN,B lymphocytes,10584,0.0,0.0,KRT19
nLN,Myeloid cells,1288,0.0,0.0,KRT19
nLN,T/NK cells,19478,0.0,0.0,KRT19
nLN,,6096,0.0,0.0,KRT19
nLung,B lymphocytes,634,0.012026213,0.0,KRT19
nLung,Endothelial cells,1295,0.010169727,0.0,KRT19
nLung,Epithelial cells,3703,1.0732038,1.0986123,KRT19
nLung,Fibroblasts,1585,0.06810179,0.0,KRT19
nLung,MAST cells,1079,0.13222378,0.0,KRT19
nLung,Myeloid cells,16672,0.017420959,0.0,KRT19
nLung,T/NK cells,11413,0.008234498,0.0,KRT19
nLung,,6614,0.021894285,0.0,KRT19
tL/B,B lymphocytes,469,0.07364755,0.0,KRT19
tL/B,Epithelial cells,6582,2.493228,2.5649493,KRT19
tL/B,Myeloid cells,1329,0.14014307,0.0,KRT19
