"source_dataset","broad_class","target_gene","n_input_genes","n_input_cells","run_mode","gene","distance","Z","FC","p.value","p.adj"
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","CLDN3",1.82035957920881e-13,0.358098644007537,0.151416377878069,0.697185474967008,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","ATP6V0D2",1.76230071607004e-13,0.335883303995508,0.141911804143052,0.706387769140412,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","PPARG",1.74200038019946e-13,0.327957632224134,0.138661207190488,0.709615597474391,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","C1QB",1.62471014912674e-13,0.280441365570842,0.120617486113687,0.728365738695294,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","HMGB2",1.6042059168211e-13,0.271814322073353,0.117592253627009,0.731660699561113,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","ANXA3",1.52011765596421e-13,0.2353464743672,0.105587593695925,0.745224630687775,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","CD1C",1.51151895666798e-13,0.231514083843839,0.104396438386605,0.746616195595097,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","IL1RAP",1.38184182756149e-13,0.171163274525054,0.0872519525948732,0.767700237516266,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","FABP4",1.31204278545877e-13,0.136501359176657,0.078660097612287,0.779121483515133,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","PLA2G7",1.30855099690805e-13,0.134723430769298,0.078241972618313,0.779694123719731,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","GPD1",1.3009314988061e-13,0.130828676927403,0.0773334426880112,0.780944107516271,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","MME",1.29484976931128e-13,0.127704973169725,0.0766120799923085,0.78194222587726,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","CCL4",1.29142573402276e-13,0.125940412294786,0.0762074374839737,0.782504328210757,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","CD24",1.26023269539208e-13,0.109665327977493,0.0725704759537769,0.787630289235927,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","S100A8",1.15835370358865e-13,0.0538164322956968,0.0613113486204459,0.804435178174112,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","GLDN",1.13219828758156e-13,0.0387548275233054,0.0585738098929018,0.80876445878058,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","IL1B",1.12392938062941e-13,0.0339269832802643,0.0577213572482294,0.81013436531873,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","ECI1",1.11619314172011e-13,0.0293806574558767,0.0569294758676959,0.811416551887787,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","ACP5",1.09513931132275e-13,0.0168606122867149,0.0548021028549152,0.814908518446911,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","DEK",1.03338089120734e-13,-0.0211771865110605,0.0487954512903764,0.825172692102718,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","CCL3",1.0019740126542e-13,-0.0413251808182781,0.0458745060919572,0.830404082000703,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","RBP4",1.00121805569081e-13,-0.041817215862619,0.0458053105444968,0.830530094135077,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","PRDM1",9.95300290566963e-14,-0.0456807282176984,0.0452654401461611,0.831516689808479,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","MCEMP1",9.66292948858871e-14,-0.0649277547052355,0.0426654280228389,0.836356537389228,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","RAB11FIP1",9.6125742951481e-14,-0.0683226145113148,0.0422219128394159,0.837197345882544,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","HBB",9.46438135329046e-14,-0.0784086719835888,0.040930113448299,0.839672880923874,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","C1QC",9.40003020784697e-14,-0.0828334446500778,0.0403754136213069,0.840748350231127,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","INHBA",9.38847809795073e-14,-0.0836306951412683,0.0402762363628947,0.840941446542083,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","STMN1",9.33932507229772e-14,-0.0870329671978596,0.0398556108815626,0.841763158102111,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","EMP2",9.1156644415048e-14,-0.102723961186411,0.0379695233932,0.845504349582058,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","DUT",8.78345398206105e-14,-0.126692302905635,0.0352524371150429,0.851067675350828,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","HMGB3",8.2996588713313e-14,-0.163122728684855,0.0314759590120351,0.859182698650784,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","TMEM106C",8.23306319930582e-14,-0.168288646917327,0.0309728653377643,0.860300938822428,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","ADAMDEC1",8.16436299496455e-14,-0.173657990377844,0.0304581202633352,0.861454810804307,0.999561767592545
"GSE308103","macrophage","SPP1",116,90,"original_scTenifoldKnk_expanded_sensitivity","PPIF",8.14077345068607e-14,-0.175511184777387,0.0302823673736478,0.861851083409504,0.999561767592545
