broad_class,target_gene,n_cells,n_genes,output_path
epithelial,MIF,90,116,results\tables\sctenifoldknk_smoke\gse308103_epithelial_mif_counts_for_sctenifoldknk.csv
macrophage,CD74,90,116,results\tables\sctenifoldknk_smoke\gse308103_macrophage_cd74_counts_for_sctenifoldknk.csv
