"source_dataset","broad_class","target_gene","input_csv","output_csv","n_input_genes","n_input_cells","n_diffregulation_rows","top_gene_by_p_adj","top_p_adj","top_non_target_gene_by_p_adj","top_non_target_p_adj","top_non_target_output_csv","r_version","sctenifoldknk_version","seed","qc","nc_nNet","nc_nCells","nc_nComp","td_K","td_maxIter","ma_nDim","nCores"
"GSE308103","epithelial","MIF","results/tables/sctenifoldknk_smoke/gse308103_epithelial_mif_counts_for_sctenifoldknk.csv","results/tables/sctenifoldknk_smoke/gse308103_epithelial_mif_sctenifoldknk_diffregulation.csv",116,90,116,"MIF",0,"KRT8",0.305553118555731,"results/tables/sctenifoldknk_smoke/gse308103_epithelial_mif_sctenifoldknk_top_non_target_genes.csv","R version 4.6.0 (2026-04-24 ucrt)","1.0.3",7,FALSE,2,60,2,2,80,2,1
"GSE308103","macrophage","CD74","results/tables/sctenifoldknk_smoke/gse308103_macrophage_cd74_counts_for_sctenifoldknk.csv","results/tables/sctenifoldknk_smoke/gse308103_macrophage_cd74_sctenifoldknk_diffregulation.csv",116,90,116,"CD74",0,"CYP27A1",0.191555951279658,"results/tables/sctenifoldknk_smoke/gse308103_macrophage_cd74_sctenifoldknk_top_non_target_genes.csv","R version 4.6.0 (2026-04-24 ucrt)","1.0.3",7,FALSE,2,60,2,2,80,2,1
