"source_dataset","broad_class","target_gene","n_input_genes","n_input_cells","run_mode","gene","distance","Z","FC","p.value","p.adj"
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_smoke","ADAMDEC1",1.30000194003881e-06,0.608311213386495,0.0847182528605449,0.771002371314592,0.999999999806093
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_smoke","EPCAM",1.29045318892484e-06,0.606758219981515,0.0834782815480643,0.77263794304623,0.999999999806093
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_smoke","KRT19",1.27868982417686e-06,0.60483054207525,0.0819632948013069,0.774654236733469,0.999999999806093
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_smoke","C1QA",1.24414769048712e-06,0.599074921517958,0.0775948441806615,0.78058365604272,0.999999999806093
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_smoke","MARCO",1.2358354307045e-06,0.59766809736752,0.0765614718645389,0.782012439736178,0.999999999806093
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_smoke","EEPD1",1.09552229140396e-06,0.572514146202466,0.060163269262595,0.80623807267457,0.999999999806093
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_smoke","FAM89A",1.06099985590877e-06,0.565874835617268,0.056431246023508,0.812228104361801,0.999999999806093
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_smoke","CXCL10",1.05334715842851e-06,0.564376377693781,0.0556201359366637,0.813557436140353,0.999999999806093
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_smoke","NFKBIA",9.51684581324418e-07,0.543464857296386,0.0454020075167926,0.83126653874686,0.999999999806093
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_smoke","ITGB1",8.82005285730356e-07,0.52791805937561,0.0389970150006031,0.843454576609027,0.999999999806093
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_smoke","CXCL9",8.54670429446274e-07,0.521510725674569,0.0366173023672899,0.848246314039899,0.999999999806093
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_smoke","ANXA3",8.00821357803807e-07,0.508320772897209,0.0321484681780172,0.85770219463208,0.999999999806093
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_smoke","FOLR2",7.95459373864922e-07,0.506963353623787,0.0317194025054998,0.858644899505592,0.999999999806093
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_smoke","SDS",7.66069655886439e-07,0.499371223512498,0.0294188377031326,0.863815530747986,0.999999999806093
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_smoke","DEK",7.37764362791789e-07,0.491803268861882,0.0272850237479847,0.868800897847958,0.999999999806093
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_smoke","EMP2",6.9317200663788e-07,0.479324512378527,0.0240863515760923,0.876665396713531,0.999999999806093
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_smoke","C1QC",6.2873853737141e-07,0.459931028719858,0.0198166003479004,0.888050500240717,0.999999999806093
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_smoke","ITGA5",5.52575526719577e-07,0.434512696243937,0.0153063726535096,0.901537825998923,0.999999999806093
"GSE308103","macrophage","CD74",116,90,"original_scTenifoldKnk_smoke","SOX4",5.15752778870085e-07,0.421052713952478,0.0133343589922026,0.908069035278554,0.999999999806093
