axis_id,axis_label,evidence_type,analysis_level,n_late,n_precursor,late_mean,precursor_mean,mean_difference,ci_95_low,ci_95_high,late_median,precursor_median,mannwhitney_p,mannwhitney_q_bh
mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,source_near_epithelial_progenitor,sample,30,25,0.24597739362558066,0.11201580548081974,0.13396158814476092,0.08083763338398335,0.18687329923193743,0.2157168152357519,0.1247921029015854,0.00010477556766085854,0.0010477556766085854
spp1_trem2_macrophage_epithelial,SPP1/TREM2 macrophage program to epithelial-matrix receptors,source_near_epithelial_progenitor,sample,30,25,0.10256163290292451,0.026204716404296117,0.0763569164986284,-0.0043296219878347945,0.15446501415134045,0.138849330247044,0.0314037680088659,0.04702083376847332,0.13235207907777985
spp1_trem2_macrophage_epithelial,SPP1/TREM2 macrophage program to epithelial-matrix receptors,target_near_epithelial_progenitor,sample,30,25,0.20259709031585932,0.13326097070685328,0.06933611960900604,-0.012601975195626008,0.14988144848573165,0.2537327797701405,0.1136495238095238,0.024035465831440835,0.12017732915720418
mif_cd74_cxcr4,MIF-CD74/CXCR4 stress-immunoregulatory axis,target_near_epithelial_progenitor,sample,30,25,0.1562806728794432,0.0987780078025251,0.05750266507691809,-0.02160569738353314,0.13774814952896086,0.19344979507617877,0.1052873883928571,0.13032383320596466,0.21720638867660777
c1q_apoe_trem2_lgals3,C1Q/APOE/TREM2/LGALS3 immunoregulatory macrophage program,target_near_epithelial_progenitor,sample,30,25,0.15081657643229426,0.10073096940256787,0.05008560702972639,-0.03216888354205134,0.12906857002874433,0.2024352924501524,0.1223352380952381,0.052940831631111934,0.13235207907777985
c1q_apoe_trem2_lgals3,C1Q/APOE/TREM2/LGALS3 immunoregulatory macrophage program,source_near_epithelial_progenitor,sample,30,25,0.05311221652554003,0.008133385040959418,0.044978831484580616,-0.027393880040753202,0.1159923103586059,0.07202473525230076,0.0119263899765074,0.18454435157969729,0.23774940595683108
inflammatory_il1_tnf_cxcl8,IL1B/TNF/CXCL8 inflammatory myeloid program,source_near_epithelial_progenitor,sample,30,25,0.053999215261589385,0.023225716533905847,0.030773498727683538,-0.03407957836357937,0.09565532036230838,0.0681578816376321,0.0351942446043164,0.42203453491312726,0.4689272610145858
cxcl9_cxcl10_cxcr3,CXCL9/CXCL10-CXCR3 interferon chemokine axis,source_near_epithelial_progenitor,sample,30,25,0.04454711423389492,0.018238237465121057,0.026308876768773866,-0.014499054758578189,0.06431874966273517,0.05213403924206325,0.0117628801986343,0.06665626046296995,0.1333125209259399
inflammatory_il1_tnf_cxcl8,IL1B/TNF/CXCL8 inflammatory myeloid program,target_near_epithelial_progenitor,sample,30,25,0.14033295526050465,0.1269794873878625,0.01335346787264216,-0.05905116416830709,0.08347194746217747,0.16895835579325896,0.1274549725920125,0.5944163153711335,0.5944163153711335
cxcl9_cxcl10_cxcr3,CXCL9/CXCL10-CXCR3 interferon chemokine axis,target_near_epithelial_progenitor,sample,30,25,0.02700160524694748,0.018715347283279175,0.008286257963668307,-0.006786388664853774,0.023361317948735024,0.0280287892262576,0.014608938547486,0.19019952476546487,0.23774940595683108
