target,stage,n_samples,observed_fraction_mean,null_mean_mean,enrichment_delta_mean,empirical_p_greater_median,empirical_p_less_median
c1q_macrophage,LUAD,1,0.7785714285714286,0.38261904761904764,0.39595238095238094,0.09090909090909091,1.0
c1q_macrophage,MIA,1,0.43316912972085386,0.40729064039408874,0.02587848932676512,0.09090909090909091,1.0
inflammatory_macrophage,LUAD,1,0.7098214285714286,0.381577380952381,0.32824404761904763,0.09090909090909091,1.0
inflammatory_macrophage,MIA,1,0.4686371100164204,0.40564860426929383,0.06298850574712656,0.09090909090909091,1.0
resident_macrophage,LUAD,1,0.7547619047619047,0.37994047619047616,0.3748214285714286,0.09090909090909091,1.0
resident_macrophage,MIA,1,0.5041050903119869,0.41313628899835797,0.09096880131362894,0.09090909090909091,1.0
spp1_macrophage,LUAD,1,0.8032738095238096,0.3843154761904762,0.4189583333333334,0.09090909090909091,1.0
spp1_macrophage,MIA,1,0.5458128078817734,0.4090968801313629,0.13671592775041053,0.09090909090909091,1.0
